condition,item,pair,syntax,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
consonant_strings,1,1001,consonant_strings,Pvm,tswngs,vtgjlpdfq,jh,jbgqrqdrn,fsf,fsfjxstr,tjcgh,rs,rxbkt.,fsfjxstr,pjffd
consonant_strings,2,1002,consonant_strings,Sv,qhshqfwnqq,glkxscnjm,nc,zqsmctplvbc,cgt,stxjvq,bfsv,vgq,dcp.,stxjvq,rsfdpscvcgj
consonant_strings,3,1003,consonant_strings,lr,ssnvg,v,ljcsbst,qx,dbbtr,qxqmdfsr,pc,sfhsntkmfh,jszmxsdgqcph.,qxqmdfsr,nrnrsf
consonant_strings,4,1004,consonant_strings,Ns,bnrpb,vqvdcqd,rp,jmcntnr,txgbbwqf,mx,prnklzjjjnq,sx,rrfdttfdmttn.,jmcntnr,gpqrpfl
consonant_strings,5,1005,consonant_strings,Gg,qtscpl,r,tbhvn,nfw,djlbt,pftpfsqsljn,lj,xbkvbvgn,gfjpnfgrlbb.,tbhvn,tmpds
consonant_strings,6,1006,consonant_strings,Kml,ssssspr,nvcsflrk,sqwjbrcrxm,cg,rwpndjvw,snz,qpmjrdwntntm,bt,spm.,qpmjrdwntntm,lcrqr
consonant_strings,7,1007,consonant_strings,Jnssn,r,rfnvdq,grcrtwrf,vzmf,ls,sfsjsj,cbrxv,fd,tbptcbgg.,jnssn,pqnnq
consonant_strings,8,1008,consonant_strings,Jl,rvpvgch,rvzkfv,sjr,nfprppqbqcv,strjj,lvgq,ft,rlbccf,vzqfrrqmplp.,rvzkfv,slcdlh
consonant_strings,9,1009,consonant_strings,Ws,jstd,l,rfvspq,qfvxfflkbgj,fkhgt,hrbffvjk,mpzdscs,tblr,rcmg.,hrbffvjk,pqfkgtb
consonant_strings,10,1010,consonant_strings,Hs,rlrwnbscml,gcsnrbqn,drc,tskcqfplpn,cs,cgxbg,jjjpsp,jr,rmhbsvbhl.,jjjpsp,vdfkst
consonant_strings,11,1011,consonant_strings,Rj,rssjjb,gfqkm,nrxqcd,dqbhj,frlt,fczkbvfbc,tc,dvxpppr,nttrnlrgmjl.,rssjjb,sspshj
consonant_strings,12,1012,consonant_strings,Br,rrnxvbs,h,pjnhnmr,rrt,dntrs,bgpfsxqqgtf,ks,ltjrlmn,plnstskbfm.,dntrs,pfjqncltpb
consonant_strings,13,1013,consonant_strings,Fn,csnmmtnls,p,rnnvhlbr,tgvmr,bn,bnsnfdv,kx,vsjwssvd,ddbx.,csnmmtnls,hmsk
consonant_strings,14,1014,consonant_strings,Dh,thpvljqv,j,sghndrpng,td,knf,sj,fmlxssxn,dz,vtvljjn.,sghndrpng,csjclhtftt
consonant_strings,15,1015,consonant_strings,Dzj,llttscs,cpgnchqj,qj,sdlmnd,pk,lndffp,trsf,sg,lrkjptr.,lndffp,shrljkc
consonant_strings,16,1016,consonant_strings,Drtnd,pjtmcwlm,lqprssdcnq,jpmtwclk,pbkjsdrq,lpnsjgg,vl,jxkdvxprwg,svp,ssszttb.,ssszttb,srgpvstqm
consonant_strings,17,1017,consonant_strings,Vx,dsjzg,ncqnlj,sx,qrtsf,sd,vrtlgnsqn,vrptndh,rs,vlpb.,vrtlgnsqn,sbjbdpptg
consonant_strings,18,1018,consonant_strings,Nf,jnrrcvjvvg,n,ltcdfvmrb,djtnn,td,gcbgbslbmt,srkttxm,hp,lbnbktjqtsq.,ltcdfvmrb,rnrhcmszp
consonant_strings,19,1019,consonant_strings,Vb,nrqcsvrps,t,rvsnsmnzz,fk,ttpfgjxvkskq,nfvr,dstrbvrbj,br,fstnhm.,nrqcsvrps,vstcqkdzj
consonant_strings,20,1020,consonant_strings,Swc,xfnsvc,gtcvptllms,tfb,fkkwlcsdh,jn,pxxdmflrtmh,wkcnvpmtl,gm,lffckhjcv.,wkcnvpmtl,dtgtbsht
consonant_strings,21,1021,consonant_strings,Rv,jhgsb,tqtmqrps,bs,cswbsnp,lr,fbcksdgbhcl,sqcl,tn,svsns.,cswbsnp,glwcnrvkcbj
consonant_strings,22,1022,consonant_strings,Qdl,tcfrlqcnld,vtjckqpdpnt,mfntrlhzt,clnpbjd,lqknt,gbsdmf,rcl,btscvdngt,mxqjbds.,tcfrlqcnld,spgxrvcsjc
consonant_strings,23,1023,consonant_strings,Sq,cpltkq,v,dbfvrljj,pk,gxgnrhkqssg,srgsflqgl,jw,rbsgkvspsd,hnssptsm.,srgsflqgl,tsmxmn
consonant_strings,24,1024,consonant_strings,Wz,ljcrfjf,k,ntpmrl,nf,cjstscrf,pjvk,rdrzhh,bj,sjmqqlt.,rdrzhh,ktgrtnd
consonant_strings,25,1025,consonant_strings,Ps,lfgr,fqqprglt,pq,jjsbcnh,bs,prblgmsj,fchd,ls,hjxjzm.,hjxjzm,gmnfdsrsnr
consonant_strings,26,1026,consonant_strings,Rjnpcb,wsc,lbt,jltsfccshs,xzlzdvpgnb,xtfkbssblcgs,tp,nkdltdmbs,msssfrgj,tldtkp.,nkdltdmbs,zlssl
consonant_strings,27,1027,consonant_strings,Fj,jvfrgql,xgcmtg,xmnrnbrvb,lss,nr,snjgp,bvrtg,ffxjk,fzqrvqfsw.,snjgp,qwjsvcjndp
consonant_strings,28,1028,consonant_strings,Rtt,nmdlsg,tsnmr,lbntjzv,tjqscsbqp,fwqshbf,mpp,lvs,dpjdlrfr,fbclkcb.,lbntjzv,psjthpxbpl
consonant_strings,29,1029,consonant_strings,Cf,brftwt,cmslspf,j,cnnrgbpptkfh,vf,thsdfpv,stc,bgptwc,zsmpdprgr.,brftwt,lwzhnpqxbg
consonant_strings,30,1030,consonant_strings,Rps,ssfjrbb,tjll,nttscprbk,prcjhwgs,hbjznc,rfb,hmd,fllmssrgd,nmtntzdtgd.,fllmssrgd,cfsfsdtq
consonant_strings,31,1031,consonant_strings,Kp,lkqnrxp,vnrghg,tl,fjwstdvbp,tcjqfls,fbs,hc,sbhq,sdbqclf.,vnrghg,mtrsgnhtvd
consonant_strings,32,1032,consonant_strings,Hqs,zrtbd,hsftdpt,cfrsjqnt,lftsbfs,thp,ndx,sslrmx,gftwf,nsmlcgtblbp.,sslrmx,cckbtxpt
consonant_strings,33,1033,consonant_strings,Qhr,kgcm,dqcbvbpdp,mnssxdsrdnt,tsvbdf,gmp,vxk,lkjrnqmnjsb,bsv,sdcxsm.,mnssxdsrdnt,fbdddckplvd
consonant_strings,34,1034,consonant_strings,Ft,fkdrkf,vpc,gdjhspn,rmrqjkb,ltc,blsss,tgxfffd,cprxhhnmf,bdfjgsnms.,rmrqjkb,ptscljv
consonant_strings,35,1035,consonant_strings,Ns,frrksd,ccjdpb,hgrsdp,fn,jtf,nbdblr,npnt,qpxl,xljrmwwj.,nbdblr,qcvczv
consonant_strings,36,1036,consonant_strings,St,fsjlhgrvl,wckbkstr,dcdb,fcm,tn,tbfxrthcm,fmll,dt,vfmffr.,fsjlhgrvl,mpjllr
consonant_strings,37,1037,consonant_strings,Tj,lltvjbv,zrjpb,rpfgppmqqbt,tjfbsjjbjsq,plgcq,rnd,tzg,mfttjpsbnn,xxkfrv.,plgcq,hcxftqwx
consonant_strings,38,1038,consonant_strings,Qlc,svxmhfxspg,vlwrjrrffq,rrbjmbm,rlr,bsjvksqd,dmv,gxct,ncssjslnhsn,pmzhmws.,ncssjslnhsn,gbglj
consonant_strings,39,1039,consonant_strings,lr,jvvslr,wq,pjvmchbg,fj,fjkbtbrssxr,nbrrs,tv,bddq,htnq.,fjkbtbrssxr,jsdccjfzq
consonant_strings,40,1040,consonant_strings,Fs,vzkbsbb,ql,qqrtqnkv,frbcds,kvstnhk,std,wf,vrnkr,qdjcmjpwj.,qqrtqnkv,nsljvrc
consonant_strings,41,1041,consonant_strings,Txs,lsmll,cgdvjlrfn,blhftnrj,xrwn,ngm,ps,mnglns,hdjldv,jwtlfd.,lsmll,tjwhtngpd
consonant_strings,42,1042,consonant_strings,Nc,lzrjttlrjm,lgsrnwjfknbk,rqfl,crb,nz,jtjfl,jrmscd,crs,thbqt.,lzrjttlrjm,vqgjjnfjmspz
consonant_strings,43,1043,consonant_strings,Trjtfg,tdjxqplr,dpq,rlfxvqng,blntmsqbttr,glrp,lm,xj,ljcdgt,hllmcqldbl.,trjtfg,ngpnj
consonant_strings,44,1044,consonant_strings,Rjllsrs,tctffwv,crn,dd,mnbnfltd,jsjrqjcchm,td,pcmpdfcrzd,kv,hptcnxc.,mnbnfltd,hppsdpgdd
consonant_strings,45,1045,consonant_strings,Nqstgqbpn,krr,vcs,ffdzchns,xsds,ltrpwps,cjfsstpz,dfg,ptghvp,bgkprvk.,bgkprvk,bdpftppl
consonant_strings,46,1046,consonant_strings,Fq,rddpg,slnrj,mqmbxpczjb,fvvmv,rb,prgrwxl,bqlpvxq,sp,rfgsvfr.,rddpg,ntxdstzxn
consonant_strings,47,1047,consonant_strings,Kgm,jqgbcsr,rrf,pkkdtjv,cvpjr,tg,nnpstfp,jncrknkld,zr,hltnr.,pkkdtjv,bkdfdq
consonant_strings,48,1048,consonant_strings,Xp,mdtlrsf,vqhgpg,ffgcrtmcq,lrsllsl,mrd,wp,dfggtgd,hthl,kptcgrkkjrbw.,vqhgpg,ptnnczfmkl
consonant_strings,49,1049,consonant_strings,Mv,tcljmrztcp,sjjdfnrl,jbfdvptn,vhvt,wkl,fd,jfkmsvbjj,fc,kbrsfp.,jbfdvptn,mbspvh
consonant_strings,50,1050,consonant_strings,Rs,wxjcbphsbt,wwvb,mxprsfspc,vg,hf,qqnljvgm,hhtzlf,fd,lpvj.,qqnljvgm,vcpjpmdh
consonant_strings,51,1051,consonant_strings,Rf,jptdwspllzv,btxljcnslr,rpv,cl,cfsvjzjn,dx,tf,mnqfqvkslbtt,mfpttss.,jptdwspllzv,xcglczt
consonant_strings,52,1052,consonant_strings,Sb,rjmssd,dnqgjpg,hbd,pbtlqdwl,fb,vft,jjsxprcj,knsgrhnn,vmrj.,rjmssd,jbdphlfsds
consonant_strings,53,1053,consonant_strings,Ibp,qmsnsrpnlb,trdzcrdfjb,tnl,bvgkrpcwlfgf,zx,ttp,pdkpkvlr,fzcvdfskrh,kcgjldbkdnxl.,kcgjldbkdnxl,mlmsbgbtbf
consonant_strings,54,1054,consonant_strings,Pb,prqsxn,kmmfvsz,xs,zfv,ds,lx,sssfmgxgm,dkkftrq,rcxjrbtvldfm.,zfv,bdpbtdqbfpd
consonant_strings,55,1055,consonant_strings,Sn,rnpptlvpb,fjlgrt,ljgxlrstn,sc,sm,xwftsq,c,rfnrscsmc,fshlsbkwrj.,rnpptlvpb,lszsjxffd
consonant_strings,56,1056,consonant_strings,Tj,khjkg,bgn,wcrddmx,xp,bpd,fjgrm,ntldsnpp,ldjqgtvs,cdc.,ntldsnpp,cmtgbtrb
consonant_strings,57,1057,consonant_strings,Cf,jtrctlgc,dmqctqm,f,qqnjgxxbz,qgdplrsfpfg,tn,tv,pfttbjstpps,lsbctgvmsfc.,jtrctlgc,dsdmnqq
consonant_strings,58,1058,consonant_strings,Ht,fssft,lpc,tjwfbdslnx,nnrt,gmrdcmpcjt,tr,vcc,cgjnzfhdfpp,sgdjtqb.,sgdjtqb,dwpsxvb
consonant_strings,59,1059,consonant_strings,Jr,jsjdvbpz,srkdcgs,vcttptfjntc,fs,kq,lktgjscl,rhptgj,kt,dtrrmcxx.,rhptgj,tqptwbc
consonant_strings,60,1060,consonant_strings,Tm,qdfwsds,kbc,vp,vcd,wjskgbvnv,fp,qp,pszpdtphm,stkddfnb.,pszpdtphm,sttfll
