condition,item,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
consonant_strings,1,Jjnj,jtrqdsqqfdn,ffntlxnsjbg,xhdd,gxhszqvkqfqvm,tvv,jxjd,sgtldwlcx,cdjmrltrtbj,svdbqjqlnnrqn.,gxhszqvkqfqvm,ntrnmfhsdg
consonant_strings,2,Pmftxv,nssjbcfdk,pvtmjptpp,crqlfqrnr,tdsqq,rglxs,scm,nsnkxv,ntnddtjvprfr,dbfjgbvb.,rglxs,pmvnpdjj
consonant_strings,3,Gjm,tnpnrxbflmhp,bslzjfrdv,rnpd,dcr,spplmqspr,gmd,sch,mlsnfbqcsblkp,bbpdsmnr.,mlsnfbqcsblkp,tsglgxc
consonant_strings,4,Flc,rjkqfm,stbfmmqr,xsmpjnsbxf,ltc,bts,rlrfjv,cvh,wjhqq,dsdmsclkpp.,xsmpjnsbxf,rqfhvhtnf
consonant_strings,5,Sqr,jsggrjblg,jt,qctgrcplbd,fzn,qqlt,mrv,bblcrbffx,njg,scdxnnvb.,qctgrcplbd,vbrsbgsnmb
consonant_strings,6,Str,bptpvhbcdxp,rszqndcj,ttr,bdgtthrhwbcb,dsbc,sskrjzp,stdql,csqd,bvbc.,sskrjzp,xrsjfqdnzmr
consonant_strings,7,Tnx,xvbfh,kg,lpddztj,pqpbtshxgv,bnbjtb,cgbrvqtdj,mbqfrrtfkpqkdr,jtfgj,fjwtb.,cgbrvqtdj,fskjssf
consonant_strings,8,Nqj,tncmssrxmmm,nt,qlvdwhzbld,ssgfpx,cdh,tsnjclldjkh,bvbdnlws,tpl,ptbndggcmr.,qlvdwhzbld,vfdmccdsg
consonant_strings,9,Kds,smcdhkmr,qdrpgcn,jch,hhgbswqlrq,llbrtmlh,btrd,ndv,ghpfj,msjjslbc.,qdrpgcn,swcnmrsfnw
consonant_strings,10,Ssn,prssptm,brf,vrhdfhdlk,fjs,pwqnlttskhrr,jrrgpg,bcd,dmjpr,pgjfx.,pwqnlttskhrr,lxhzndfsd
consonant_strings,11,Lh,scbrtkr,frsqnm,vgsstttt,qws,lr,vzglx,vqlx,rpmgj,stvrrztg.,vzglx,zftbkkswxpmrjb
consonant_strings,12,Lzs,spldhts,plps,cvgrdgjkx,qvtncbnt,tnndws,qrz,lqs,pffkcvtrs,dmswrtbnt.,cvgrdgjkx,gmrdzvn
