line,condition,item,pair,syntax,probe_type,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,probe_word
25,jabberwocky,6,206,cvp,word_absent,Les,monnons,conquent,l'encibrue,de,l'imais,en,vastritant,le,jau.,laution
23,jabberwocky,59,259,coord,word_present,Le,commitre,accoce,goslimors,et,le,jourtabe,apère,se,gérêtenant.,accoce
35,word_list,44,444,word_list,word_absent,La,futures,s'afflige,basque,l'été,que,sachiez,le,se,affoles.,utile
45,pseudoword_list,16,316,pseudoword_list,word_absent,Scort,en,formin,cette,sertasions,resque,iterdre,guersenre,arpiger,les.,devidé
57,consonant_strings,18,1018,consonant_strings,word_absent,Nf,jnrrcvjvvg,n,ltcdfvmrb,djtnn,td,gcbgbslbmt,srkttxm,hp,lbnbktjqtsq.,rnrhcmszp
39,word_list,21,421,word_list,word_absent,Nouvelles,prive,de,grognon,serbe,ma,vive,en,serrais,le.,bornés
6,simple_sentence,45,45,coord,word_absent,Ce,chien,est,peureux,et,les,chats,sauvages,règnent,ici.,affleure
46,pseudoword_list,17,317,pseudoword_list,word_absent,Du,penné,pouverre,le,en,calouces,abac,vécamait,rassitemps,le.,piergeaient
17,complex_sentence,27,27,SubjRel,word_absent,Au,musée,les,parents,qui,ont,des,enfants,fatigués,râlent.,tôt
58,consonant_strings,55,1055,consonant_strings,word_absent,Sn,rnpptlvpb,fjlgrt,ljgxlrstn,sc,sm,xwftsq,c,rfnrscsmc,fshlsbkwrj.,lszsjxffd
27,jabberwocky,52,252,coord,word_absent,Le,demalu,falors,est,saucoeur,et,son,soustion,moloyal,rèle.,édochoir
44,pseudoword_list,58,358,pseudoword_list,word_present,Bétitel,dumetir,et,en,les,bonc,monconjou,barlais,les,aptétaibia.,monconjou
43,pseudoword_list,34,334,pseudoword_list,word_present,Car,vilégea,les,ichecer,auliloir,épalez,au,égrases,ensiler,parciéte.,parciéte
28,jabberwocky,10,210,cvp,word_absent,Le,fourgaceur,renquice,les,enchisons,de,cette,dorbe,en,mestiètes.,toulustre
40,pseudoword_list,8,308,pseudoword_list,word_present,La,doupira,vece,sa,pour,marruges,le,revertuels,réteaux,cloîte.,revertuels
13,complex_sentence,40,40,SubjRel,word_present,Le,violoniste,soucieux,qui,soigne,bien,sa,tendinite,récidivante,s'apaise.,bien
11,complex_sentence,19,19,ObjClef,word_present,C'est,cet,événement,grandiose,qu'un,voyant,annonce,en,prédisant,l'avenir.,voyant
20,jabberwocky,22,222,coord,word_present,Les,vicliseaux,cettrés,desaient,des,fateurs,et,les,soritions,parpliraient.,parpliraient
33,word_list,50,450,word_list,word_present,Percerez,et,le,math,planifier,au,le,absolument,barre,payais.,math
34,word_list,35,435,word_list,word_present,Donne,les,et,estomper,hilare,braque,la,arme,l'une,colle.,braque
29,jabberwocky,39,239,adj,word_absent,La,totte,se,toure,au,scétrament,quand,le,rilot,puxe.,charque
19,complex_sentence,20,20,ObjClef,word_absent,C'est,le,médecin,que,le,patient,a,salué,en,passant.,déménage
56,consonant_strings,60,1060,consonant_strings,word_absent,Tm,qdfwsds,kbc,vp,vcd,wjskgbvnv,fp,qp,pszpdtphm,stkddfnb.,sttfll
10,complex_sentence,54,54,ObjRel,word_present,La,chanson,que,la,critique,adore,exprime,une,nostalgie,profonde.,nostalgie
0,simple_sentence,46,46,coord,word_present,Ce,cycliste,méconnu,a,triomphé,aujourd'hui,et,le,journaliste,s'interroge.,cycliste
38,word_list,30,430,word_list,word_absent,Sordides,les,que,arme,demandant,copient,pouilleux,envies,Les,comparera.,gérerai
50,consonant_strings,4,1004,consonant_strings,word_present,Ns,bnrpb,vqvdcqd,rp,jmcntnr,txgbbwqf,mx,prnklzjjjnq,sx,rrfdttfdmttn.,jmcntnr
36,word_list,33,433,word_list,word_absent,Que,les,jamais,somptueuse,internement,sous,front,apportés,les,ont.,confus
42,pseudoword_list,57,357,pseudoword_list,word_present,Ésion,arsivait,le,courseaux,ce,et,a,lémoivait,sté,uques.,courseaux
49,pseudoword_list,24,324,pseudoword_list,word_absent,Conchici,percialota,a,d'un,sinracte,cettatalien,le,en,le,clotte.,parde
1,simple_sentence,43,43,coord,word_present,Le,maçon,termine,le,mur,et,l’apprenti,observe,très,sérieusement.,mur
18,complex_sentence,53,53,ObjRel,word_absent,L'exposition,universelle,que,l'UNESCO,apprécie,prône,une,vraie,démarche,écologique.,clou
9,simple_sentence,9,9,cVP,word_absent,La,petite,fille,blonde,court,pour,rejoindre,sa,vieille,grand-mère.,foule
8,simple_sentence,42,42,coord,word_absent,Le,voleur,blessé,est,affaibli,et,son,complice,déloyal,fuit.,klaxonne
59,consonant_strings,1,1001,consonant_strings,word_absent,Pvm,tswngs,vtgjlpdfq,jh,jbgqrqdrn,fsf,fsfjxstr,tjcgh,rs,rxbkt.,pjffd
