line,condition,item,pair,syntax,probe_type,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,probe_word
0,simple_sentence,4,4,cVP,word_absent,Le,joueur,a,sorti,une,carte,dissimulée,en,feignant,d'éternuer.,raide
1,simple_sentence,37,37,adj,word_absent,Le,vieux,moine,s'assoupit,quand,la,chorale,arrête,de,chanter.,déteint
2,simple_sentence,47,47,coord,word_absent,En,hiver,les,autoroutes,sont,dégagées,et,les,cantonales,ferment.,galope
3,simple_sentence,51,51,coord,word_absent,Le,comptable,est,présumé,innocent,mais,le,juge,est,soupçonneux.,follement
4,simple_sentence,32,32,adj,word_absent,Les,vents,dominants,changent,dès,que,la,saison,froide,arrive.,chasseur
5,simple_sentence,28,28,adj,word_present,Le,concierge,s'irrite,dès,que,le,locataire,joue,du,violon.,joue
6,simple_sentence,60,60,coord,word_present,Le,serrurier,monte,mal,la,porte,et,le,propriétaire,s'étonne.,serrurier
7,simple_sentence,18,18,cVP,word_present,Le,romancier,contemporain,publie,en,inventant,des,intrigues,totalement,improbables.,romancier
8,simple_sentence,55,55,coord,word_present,Les,relations,bilatérales,reprennent,lentement,et,la,politique,extérieure,change.,bilatérales
9,simple_sentence,1,1,cVP,word_present,Les,marins,s'agacent,en,entendant,les,mouettes,faire,du,bruit.,mouettes
10,complex_sentence,22,22,SubjRel,word_absent,Les,économies,nationales,qui,ralentissent,empirent,le,problème,des,banques.,maudite
11,complex_sentence,25,25,SubjRel,word_absent,Les,nappes,sales,qui,sèchent,tout,près,des,draps,s'entassent.,marchandise
12,complex_sentence,5,5,ObjClef,word_absent,Ce,sont,ces,escaliers,que,les,clients,grimpent,en,accélérant.,mou
13,complex_sentence,59,59,ObjRel,word_absent,Le,gros,tracteur,que,le,paysan,conduit,trop,lentement,cale.,parquet
14,complex_sentence,11,11,ObjClef,word_absent,C'est,ce,concert,que,la,chanteuse,rata,en,chantant,faux.,dort
15,complex_sentence,6,6,ObjClef,word_present,C'est,Jean,que,Marie,a,informé,en,disant,la,vérité.,informé
16,complex_sentence,14,14,ObjClef,word_present,C'est,le,rôti,que,le,chien,attend,en,reniflant,l'air.,rôti
17,complex_sentence,52,52,ObjRel,word_present,Le,fameux,champion,sortant,que,le,boxeur,adverse,déconcentre,gagne.,déconcentre
18,complex_sentence,10,10,ObjClef,word_present,C'est,l'adolescente,que,le,pompier,a,abritée,en,bravant,l'incendie.,pompier
19,complex_sentence,39,39,SubjRel,word_present,Le,petit,garçon,qui,impatiente,le,maître,d'école,obéit,lentement.,lentement
20,jabberwocky,23,223,cvp,word_absent,Un,délors,a,fainigé,un,crocoup,condreste,en,gatritant,l'ilure.,voyanilé
21,jabberwocky,26,226,adj,word_absent,Depuis,que,les,vitenches,jeurées,parsapulent,le,larverre,repluté,s'insile.,quelluté
22,jabberwocky,36,236,adj,word_absent,Le,prefisité,s'éperlue,dès,que,le,mésençait,abait,du,vésoci.,engeux
23,jabberwocky,50,250,coord,word_absent,Le,codeusonde,nire,sopolament,et,le,pourdèpe,incale,au,lomme.,inetes
24,jabberwocky,35,235,coord,word_absent,La,trèle,crable,atota,et,les,tazons,ronent,les,nocurais.,reriole
25,jabberwocky,44,244,adj,word_present,L'ogé,colvait,que,le,marlais,s'aufère,quand,le,dangistre,restole.,marlais
26,jabberwocky,33,233,adj,word_present,Les,vards,tapornus,conspartrent,dès,que,les,oiraijours,qui,pajent.,vars
27,jabberwocky,29,229,coord,word_present,Un,morleur,rétité,a,boussé,et,la,mirole,éloque,sonarment.,sonarment
28,jabberwocky,30,230,adj,word_present,Les,raspés,sièveux,pépontent,pendant,que,les,ciloirs,les,aquebarent.,sièveux
29,jabberwocky,21,221,cvp,word_present,Le,sigue,rappale,mon,élotion,en,derfonant,le,dile,apège.,rappale
30,word_list,8,408,word_list,word_absent,La,corde,tabous,sa,pour,critiquais,le,consultante,piété,puisses.,votons
31,word_list,15,415,word_list,word_absent,La,le,les,phases,croque,travaux,statues,voudrai,dans,en.,chargiez
32,word_list,57,457,word_list,word_absent,Cuisines,prélèvement,le,entrerai,ce,et,a,s'interroge,brutaux,feuilletons.,toqués
33,word_list,34,434,word_list,word_absent,Car,voudrai,les,disque,blindage,orgue,au,trembler,siestes,niche.,ouvrais
34,word_list,58,458,word_list,word_absent,Brosses,fermer,et,en,le,souffrit,basse-cour,baguette,les,terrestres.,fûts
35,word_list,16,416,word_list,word_present,Théâtres,en,hasardeuse,cette,polluent,bassins,l'atmosphère,adresse,plumes,les.,adresse
36,word_list,17,417,word_list,word_present,Du,erre,l'odeur,le,en,analysent,ampli,tank,butoir,le.,l'odeur
37,word_list,3,403,word_list,word_present,En,scène,a,libéré,galon,adaptateur,lacunes,Pôle-emploi,le,un.,scène
38,word_list,41,441,word_list,word_present,Doudounes,dès,promo,la,tesson,que,missions,devant,les,buteur.,devant
39,word_list,24,424,word_list,word_present,Lires,dosages,a,d'un,amener,cerveau,le,en,le,planète.,cerveau
40,pseudoword_list,46,346,pseudoword_list,word_absent,Porieux,gérie,de,la,peteur,quitrisa,entotait,fervernir,hes,le.,survite
41,pseudoword_list,43,343,pseudoword_list,word_absent,Sorcennes,corile,réradue,dès,routre,le,que,mafine,moué,des.,tondez
42,pseudoword_list,49,349,pseudoword_list,word_absent,Le,sa,pertinjoux,que,dès,soumantité,jum,se,nent,souties.,émavait
43,pseudoword_list,7,307,pseudoword_list,word_absent,A,resernez,amire,acrule,quitritre,réusi,sevele,la,en,Kela.,essence
44,pseudoword_list,13,313,pseudoword_list,word_absent,Ce,a,gosru,détare,en,tuisait,inchis,élitais,che,la.,chauster
45,pseudoword_list,2,302,pseudoword_list,word_present,Apilé,ansémour,la,son,en,cena,dictinre,ramame,dans,une.,cena
46,pseudoword_list,45,345,pseudoword_list,word_present,Conteau,êpit,dations,que,les,photenges,névansualece,les,boidire,caligrès.,névansualece
47,pseudoword_list,48,348,pseudoword_list,word_present,Le,hôtu,arême,drouffle,que,carlon,marponre,parsicond,le,saumoisins.,parsicond
48,pseudoword_list,42,342,pseudoword_list,word_present,Jorgue,têteuil,son,pélé,la,que,dès,isenre,veléle,le.,isenre
49,pseudoword_list,9,309,pseudoword_list,word_present,Diesse,gaurisez,homnice,a,horque,sudras,losé,verle,le,grinnait.,horque
50,consonant_strings,54,1054,consonant_strings,word_absent,Pb,prqsxn,kmmfvsz,xs,zfv,ds,lx,sssfmgxgm,dkkftrq,rcxjrbtvldfm.,bdpbtdqbfpd
51,consonant_strings,19,1019,consonant_strings,word_absent,Vb,nrqcsvrps,t,rvsnsmnzz,fk,ttpfgjxvkskq,nfvr,dstrbvrbj,br,fstnhm.,vstcqkdzj
52,consonant_strings,31,1031,consonant_strings,word_absent,Kp,lkqnrxp,vnrghg,tl,fjwstdvbp,tcjqfls,fbs,hc,sbhq,sdbqclf.,mtrsgnhtvd
53,consonant_strings,40,1040,consonant_strings,word_absent,Fs,vzkbsbb,ql,qqrtqnkv,frbcds,kvstnhk,std,wf,vrnkr,qdjcmjpwj.,nsljvrc
54,consonant_strings,56,1056,consonant_strings,word_absent,Tj,khjkg,bgn,wcrddmx,xp,bpd,fjgrm,ntldsnpp,ldjqgtvs,cdc.,cmtgbtrb
55,consonant_strings,38,1038,consonant_strings,word_present,Qlc,svxmhfxspg,vlwrjrrffq,rrbjmbm,rlr,bsjvksqd,dmv,gxct,ncssjslnhsn,pmzhmws.,ncssjslnhsn
56,consonant_strings,12,1012,consonant_strings,word_present,Br,rrnxvbs,h,pjnhnmr,rrt,dntrs,bgpfsxqqgtf,ks,ltjrlmn,plnstskbfm.,dntrs
57,consonant_strings,27,1027,consonant_strings,word_present,Fj,jvfrgql,xgcmtg,xmnrnbrvb,lss,nr,snjgp,bvrtg,ffxjk,fzqrvqfsw.,snjgp
58,consonant_strings,53,1053,consonant_strings,word_present,Ibp,qmsnsrpnlb,trdzcrdfjb,tnl,bvgkrpcwlfgf,zx,ttp,pdkpkvlr,fzcvdfskrh,kcgjldbkdnxl.,kcgjldbkdnxl
59,consonant_strings,20,1020,consonant_strings,word_present,Swc,xfnsvc,gtcvptllms,tfb,fkkwlcsdh,jn,pxxdmflrtmh,wkcnvpmtl,gm,lffckhjcv.,wkcnvpmtl
