condition,item,pair,syntax,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
jabberwocky,1,201,cvp,Les,veisés,s'arilent,en,compluant,les,licèpres,iriés,du,bavec.,veisés,gronce
jabberwocky,2,202,cvp,La,portalome,s'écharve,en,corvetant,une,masine,dans,son,glé.,s'écharve,encorant
jabberwocky,3,203,cvp,Le,rison,a,gémité,un,blard,éventenu,en,cetréchant,montille.,éventenu,écition
jabberwocky,4,204,cvp,La,giège,apaule,un,notin,duté,en,s'atiant,à,l'intansieur.,apaule,moprené
jabberwocky,5,205,cvp,Le,moneur,a,terti,une,aquelle,jaupouiche,en,imprensé,d'étomésie.,imprensé,ammiche
jabberwocky,6,206,cvp,Les,monnons,conquent,l'encibrue,de,l'imais,en,vastritant,le,jau.,conquent,laution
jabberwocky,7,207,cvp,Tifat,a,jusé,ennitre,en,batrée,vers,la,gaugrée,gitrue.,ennitre,haite
jabberwocky,8,208,adj,Le,chaneur,doirit,la,constaille,frilue,pour,sa,dange,pernutante.,frilue,boutautés
jabberwocky,9,209,cvp,Le,drac,a,harnu,d'auclimer,cette,fiennée,cerfituplée,avec,rèle.,drac,choloute
jabberwocky,10,210,cvp,Le,fourgaceur,renquice,les,enchisons,de,cette,dorbe,en,mestiètes.,enchisons,toulustre
jabberwocky,11,211,adj,La,phusie,très,paburée,jèche,pour,féramifer,sa,vreille,couglarale.,couclarale,zour
jabberwocky,12,212,cvp,Le,houtier,a,dénossé,une,flaie,lérellente,en,remairant,l'arsision.,houtier,drière
jabberwocky,13,213,cvp,La,prégneuse,a,situmant,gêsi,ce,choglot,en,délarant,mune.,choglot,soufagade
jabberwocky,14,214,cvp,La,déluque,a,failerté,le,tru,d'Arbante,en,tontant,cramin.,déluque,jude
jabberwocky,15,215,cvp,Les,amurans,praient,le,jeumon,en,marace,dans,la,relorve.,marace,donsoin
jabberwocky,16,216,cvp,Cette,crielle,palstricante,touprève,l'agaripsic,ratoige,en,diliputant,les,sounés.,sounés,almetait
jabberwocky,17,217,cvp,Le,plort,ortane,le,cesa,en,régartant,l'ortus,du,vaul.,cesa,guir
jabberwocky,18,218,cvp,Le,défiritre,a,ferlisé,dute,ce,soutinant,juilté,en,l'imporlène.,dute,falose
jabberwocky,19,219,coord,La,pasonté,a,malpagé,ce,dévangarteur,et,la,celténier,bolome.,dévangarteur,armoumoles
jabberwocky,20,220,cvp,Cet,asamis,répropoce,un,vauquené,en,pengavant,la,trounette,piémautue.,piémautu,évoir
jabberwocky,21,221,cvp,Le,sigue,rappale,mon,élotion,en,derfonant,le,dile,apège.,rappale,sid
jabberwocky,22,222,coord,Les,vicliseaux,cettrés,desaient,des,fateurs,et,les,soritions,parpliraient.,parpliraient,puxe
jabberwocky,23,223,cvp,Un,délors,a,fainigé,un,crocoup,condreste,en,gatritant,l'ilure.,gatritant,voyanilé
jabberwocky,24,224,cvp,Le,plavient,a,dalvé,le,rébarre,d'un,mafins,en,tontant.,dalvé,pagritant
jabberwocky,25,225,coord,La,vipa,boussait,le,lépavre,et,s'umira,dans,le,cambre.,boussait,mabicoce
jabberwocky,26,226,adj,Depuis,que,les,vitenches,jeurées,parsapulent,le,larverre,repluté,s'insile.,jeurées,quelluté
jabberwocky,27,227,adj,Le,lépavre,dénate,pendant,que,le,cheux,risé,herpi,s'orgice.,herpi,giège
jabberwocky,28,228,adj,Les,dégues,très,supeux,s'ilitent,pendant,que,les,rétices,vourent.,rétices,potre
jabberwocky,29,229,coord,Un,morleur,rétité,a,boussé,et,la,mirole,éloque,sonarment.,sonarment,épins
jabberwocky,30,230,adj,Les,raspés,sièveux,pépontent,pendant,que,les,ciloirs,les,aquebarent.,sièveux,ailtéconsme
jabberwocky,31,231,adj,Le,barneau,dantit,à,l'acattour,de,que,le,fémé,cholète.,dantis,glarpe
jabberwocky,32,232,adj,Les,gners,civères,yapaient,pendant,que,les,queltés,hueurs,s'aigonaient.,hueurs,trounontions
jabberwocky,33,233,adj,Les,vards,tapornus,conspartrent,dès,que,les,oiraijours,qui,pajent.,vars,lérine
jabberwocky,34,234,adj,Au,covée,les,raments,coucinent,car,les,roujoux,silineux,cabbent.,coucinent,fontant
jabberwocky,35,235,coord,La,trèle,crable,atota,et,les,tazons,ronent,les,nocurais.,ronent,reriole
jabberwocky,36,236,adj,Le,prefisité,s'éperlue,dès,que,le,mésençait,abait,du,vésoci.,mésençait,engeux
jabberwocky,37,237,adj,Le,patrine,colte,martente,malgrè,que,son,vitenleur,paute,loute.,martente,rove
