condition,item,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
pseudoword_list,1,Boumés,dans,plarale,aux,exercomme,conné,alon,le,coplenait,ortutir.,exercomme,mailtende
pseudoword_list,2,Biteiltin,satramiments,de,a,sur,novons,masaient,zente,s'éintigare,nouclismé.,novons,élalait
pseudoword_list,3,Dirigartro,à,son,waté,detertre,a,au,Daie,soile,que.,waté,dorfonte
pseudoword_list,4,Coupontige,se,cette,tracrileurs,la,détidias,porcrèce,rudrait,beaurepadio,l'Arium.,beaurepadio,igé
pseudoword_list,5,Binitrons,en,le,hasace,counise,en,mausant,la,l'Arda,vivenrer.,hasace,partopucoup
pseudoword_list,6,Voutain,touplame,d'esbirale,que,méconge,l'exismanle,morif,jint,les,une.,jint,parpisant
pseudoword_list,7,Taplirai,la,crou,les,monefailors,zat,réanuais,la,gétotion,ce.,zat,noméce
pseudoword_list,8,Gomda,ritéce,détidias,de,pime,prérie,s'artrore,régé,répaute,a.,Taplirai,étengloutés
pseudoword_list,9,Les,le,onge,pencopes,et,et,guche,en,et,partrivait.,pencopes,sitermer
pseudoword_list,10,Fauf,et,soumantité,le,fru,prome,le,deveu,le,melitie.,soumantité,glens
pseudoword_list,11,Mertes,cracé,ocbo,flanfale,visamire,reure,que,les,partision,que.,ocbo,timicoup
pseudoword_list,12,Le,cerreau,hédarés,détuce,pencilté,les,cera,marvanles,le,macerreux.,cerreau,lamer
