line,condition,item,pair,syntax,probe_type,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,probe_word
25,jabberwocky,28,228,adj,word_absent,Les,dégues,très,supeux,s'ilitent,pendant,que,les,rétices,vourent.,potre
19,complex_sentence,9,9,ObjClef,word_absent,C'est,sa,grand-mère,que,la,petite,fille,blonde,court,rejoindre.,joliment
39,word_list,20,420,word_list,word_absent,Chemisette,exploses,économise,en,cet,la,idiotisme,projetais,une,crieur.,importées
27,jabberwocky,18,218,cvp,word_absent,Le,défiritre,a,ferlisé,dute,ce,soutinant,juilté,en,l'imporlène.,falose
22,jabberwocky,47,247,coord,word_present,Une,potuire,est,teulée,et,un,brarais,cholure,la,lagne.,cholure
23,jabberwocky,51,251,coord,word_present,Le,promptante,s'enthouce,sur,le,boutret,et,le,difécignoir,délise.,difécignoir
53,consonant_strings,34,1034,consonant_strings,word_present,Ft,fkdrkf,vpc,gdjhspn,rmrqjkb,ltc,blsss,tgxfffd,cprxhhnmf,bdfjgsnms.,rmrqjkb
9,simple_sentence,21,21,adj,word_absent,Le,scooter,double,dès,que,la,moto,s'engage,dans,l’allée.,proviseur
43,pseudoword_list,59,359,pseudoword_list,word_present,Comra,cerréles,se,comnoutete,le,et,mouquoi,otendre,onidre,le.,mouquoi
0,simple_sentence,23,23,adj,word_present,Les,filles,très,actives,s'amusent,pendant,que,les,garçons,dorment.,actives
24,jabberwocky,32,232,adj,word_present,Les,gners,civères,yapaient,pendant,que,les,queltés,hueurs,s'aigonaient.,hueurs
2,simple_sentence,36,36,adj,word_present,Aussitôt,que,les,branches,trop,sèches,craquent,les,arbres,tombent.,sèches
29,jabberwocky,1,201,cvp,word_absent,Les,veisés,s'arilent,en,compluant,les,licèpres,iriés,du,bavec.,gronce
50,consonant_strings,8,1008,consonant_strings,word_present,Jl,rvpvgch,rvzkfv,sjr,nfprppqbqcv,strjj,lvgq,ft,rlbccf,vzqfrrqmplp.,rvzkfv
12,complex_sentence,49,49,ObjRel,word_present,Le,jeune,stagiaire,débutant,que,le,manager,compétent,encadre,s'active.,jeune
34,word_list,56,456,word_list,word_present,Saboter,ce,enclencher,marquise,ampli,les,et,tutoyez,est,bulbe.,ampli
52,consonant_strings,57,1057,consonant_strings,word_present,Cf,jtrctlgc,dmqctqm,f,qqnjgxxbz,qgdplrsfpfg,tn,tv,pfttbjstpps,lsbctgvmsfc.,jtrctlgc
8,simple_sentence,30,30,adj,word_absent,Les,dirigeants,dépriment,lorsque,les,ouvriers,les,plus,compétents,partent.,volontaire
18,complex_sentence,42,42,ObjRel,word_absent,Le,voleur,que,son,complice,déloyal,a,abandonné,est,affaibli.,cache
