«Êtes-vous?»,0,instructions,0,Exercice:,0,0,E1
artiste,positive,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,E1
hilarant,positive,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,E1
joueur,positive,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,E1
aigri,negative,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,E1
coquet,negative,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,E1
modéré,neutral,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,E1
«Zidane est-il?»,0,instructions,0,Exercice:,0,0,E1
méchant,negative,encoding,other,'Zidane est-il?’,OUI(gauche)            NON(droite),0,E1
rationnel,positive,encoding,other,'Zidane est-il?’,OUI(gauche)            NON(droite),0,E1
compétitif,positive,encoding,other,'Zidane est-il?’,OUI(gauche)            NON(droite),0,E1
ingénieux,neutral,encoding,other,'Zidane est-il?’,OUI(gauche)            NON(droite),0,E1
conformiste,negative,encoding,other,'Zidane est-il?’,OUI(gauche)            NON(droite),0,E1
convaincant,neutral,encoding,other,'Zidane est-il?’,OUI(gauche)            NON(droite),0,E1
+,0,rest_pre,0,0,0,0,E1-R1
«Avez-vous vu?»,0,instructions,0,Exercice:,0,0,R1
comique,positive,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R1
artiste,positive,recognition,self,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R1
méchant,negative,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R1
productif,positive,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R1
inutile,negative,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R1
ingénieux,neutral,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R1
rationnel,positive,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R1
angoissé,negative,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R1
joueur,positive,recognition,self,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R1
odieux,negative,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R1
honnête,positive,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R1
conformiste,negative,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R1
équilibré,positive,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R1
convaincant,neutral,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R1
coquet,negative,recognition,self,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R1
individualiste,positive,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R1
optimiste,positive,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,R1
compétitif,positive,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R1
modéré,neutral,recognition,self,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,R1
