Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,1,3,3,0,356.821,23.97,27.149,None,187.527386,192.129316,None,None,207.195517,1.990378
2,1,2,3,0,345.018,1.098,16.08,None,210.404570,215.469504,None,None,230.568640,1.068102
3,1,1,0,0,86.89,5.673,-81.217,None,232.824552,237.634511,None,None,252.717734,2.261534
4,1,0,2,1,251.599,230.29,-21.309,None,256.182455,261.436676,None,None,276.449730,1.620260
5,1,1,2,0,273.702,5.673,91.97,None,279.253483,284.287063,None,None,299.433795,4.838545
6,1,2,2,0,259.8,1.098,101.298,None,305.567882,311.239165,None,None,326.400696,3.767924
7,1,2,3,1,345.018,264.027,-80.991,None,331.453776,336.588968,None,None,351.634516,4.617152
8,1,1,3,0,8.01,5.673,-2.337,None,357.491207,362.667793,None,None,377.736860,3.249536
10,2,2,2,1,259.8,287.922,28.122,0,382.232376,387.796205,None,None,402.919191,3.415263
11,2,2,0,2,74.712,27.5,-47.212,0,407.591327,412.668145,None,None,427.702954,3.729148
12,2,3,0,0,87.519,225.759,138.24,0,432.629601,437.782640,None,None,452.816789,2.789570
13,2,3,3,2,356.821,41.458,44.637,0,456.823358,462.317700,None,None,477.389661,2.033203
13,1,3,0,0,87.519,23.97,-63.549,None,760.524179,765.383113,None,None,780.514069,4.932439
14,1,1,0,1,86.89,242.143,155.253,None,786.648951,791.849016,None,None,806.891282,1.286856
15,1,3,3,1,356.821,267.238,-89.583,None,809.342359,814.211516,None,None,829.292659,2.178936
16,1,2,0,1,74.712,264.027,-170.685,None,832.721137,837.678106,None,None,852.726364,4.270656
17,1,1,0,0,86.89,5.673,-81.217,None,858.176034,863.197592,None,None,878.238051,1.297530
18,1,1,3,1,8.01,242.143,-125.866,None,880.784273,886.262805,None,None,901.285960,4.618820
19,1,1,1,0,185.802,5.673,179.871,None,907.105173,912.449644,None,None,927.510013,2.029439
20,1,2,0,0,74.712,1.098,-73.614,None,930.754439,936.209054,None,None,951.239307,2.712633
22,2,3,2,2,266.607,41.458,134.851,0,955.227397,959.881135,None,None,974.967767,3.882883
23,2,0,3,0,341.687,213.264,-128.423,0,980.072966,985.051079,None,None,1000.117476,1.143704
24,2,1,2,0,273.702,231.509,-42.193,0,1002.491473,1007.195980,None,None,1022.255292,3.428598
25,2,3,1,0,177.932,225.759,47.827,0,1026.909580,1032.444257,None,None,1047.557690,1.793110
25,1,3,2,0,266.607,23.97,117.363,None,1402.977581,1408.294260,None,None,1423.325501,1.507188
26,1,0,0,0,72.393,42.779,-29.614,None,1426.042089,1430.853181,None,None,1445.986946,4.671454
27,1,1,0,1,86.89,242.143,155.253,None,1451.833861,1456.801144,None,None,1471.885198,1.030387
28,1,1,1,1,185.802,242.143,56.341,None,1474.092759,1479.650475,None,None,1494.767619,1.941703
29,1,3,1,0,177.932,23.97,-153.962,None,1497.964342,1503.139446,None,None,1518.156426,3.238209
30,1,2,2,1,259.8,264.027,4.227,None,1522.604904,1527.347881,None,None,1542.418714,3.934625
31,1,3,2,1,266.607,267.238,0.631,None,1547.555565,1552.602294,None,None,1567.726935,2.634488
32,1,3,0,1,87.519,267.238,179.719,None,1571.585432,1576.277382,None,None,1591.356651,1.939007
34,2,1,0,0,86.89,231.509,144.619,0,1594.481727,1599.236039,None,None,1614.272356,1.446482
