Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,2,3,0,1,319.059,316.33,-2.729,1,1.526648,7.172788,16.586706,9.413918,16.595690,2.429530
1,1,1,0,0,5.802,5.673,-0.129,None,270.792395,275.706884,277.730439,2.023555,277.747021,1.429196
2,1,3,1,0,34.908,23.97,-10.938,None,280.405181,286.006597,289.345239,3.338642,289.361549,3.660596
3,1,2,2,1,251.998,264.027,12.029,None,294.300554,299.637120,300.233627,0.596507,300.250165,1.002166
4,1,3,0,1,265.435,267.238,1.803,None,302.580649,307.375230,311.491356,4.116126,311.508254,1.265372
5,1,0,0,1,200.557,230.29,29.732,None,314.002764,319.101118,322.022791,2.921673,322.038083,1.905604
6,1,0,1,1,203.364,230.29,26.926,None,325.221798,330.097253,331.309654,1.212401,331.324460,2.898198
7,1,3,3,0,27.701,23.97,-3.731,None,335.396581,340.121915,340.884711,0.762796,340.899086,1.112346
8,1,0,3,1,204.31,230.29,25.98,None,343.242766,348.808290,352.008264,3.199974,352.023087,2.145052
9,2,2,2,3,125.881,133.004,7.123,1,355.408517,360.821266,363.869507,3.048241,363.881725,4.352081
9,2,1,1,3,151.161,148.822,-2.339,1,369.448140,374.358514,375.216888,0.858374,375.226874,3.513282
9,2,3,3,3,109.648,136.796,27.148,0,379.888550,384.702600,387.292839,2.590239,387.305415,4.373349
9,2,2,3,1,299.715,287.922,-11.792,1,392.915553,398.090640,399.184866,1.094226,399.193365,2.243882
