Number,999
Data type,Time,sPos (x),sPos (y), sPos(z),View Angle,jPos (x),jPos (z)
POSITION,0.018684,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.038027,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.054663,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.071379,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.088055,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.104894,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.121516,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.138184,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.155213,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.172525,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.188578,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.205405,0.000,1.800,-0.000,90.000,0.000,-0.000
EVENT,0.212455,Familiarisation started
EVENT,0.212899,Start displaying intro screen
POSITION,0.252930,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.276490,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.300158,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.323366,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.347214,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.370528,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.393591,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.416876,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.443418,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.466892,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.490151,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.514342,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.537913,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.561307,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.584652,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.608041,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.631184,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.654864,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.677974,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.701232,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.724526,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.747673,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.770998,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.794228,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.817543,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.840909,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.864735,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.887857,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.910955,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.934313,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.957664,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.983048,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.007427,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.031070,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.054448,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.077948,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.101139,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.124722,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.147962,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.171624,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.196886,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.226778,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.258422,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.282420,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.305864,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.328868,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.352088,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.375148,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.398167,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.421218,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.444462,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.467909,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.490968,0.000,1.800,-0.000,90.000,0.000,-0.000
