Number,99
Initials,[]
Gender,[]
Age,[]
Data type,Time,sPos (x),sPos (y), sPos(z),View Angle,jPos (x),jPos (z)
POSITION,0.241403,0.000,1.800,-0.000,90.000,0.000,-0.000
EVENT,0.248289,Test started
EVENT,0.249064,Start displaying intro screen
EVENT,0.252035,"['Starting control trial', '[1, 2, 3]']"
EVENT,0.252326,"['Setting viewpoint position to', '[50.82, 0.533, 39.639]']"
EVENT,0.252543,Rotating to intersection center
POSITION,0.329199,50.820,2.333,39.639,90.000,0.000,-0.000
EVENT,0.399263,"['Displaying control cue to target', '13']"
POSITION,0.402453,50.820,2.333,39.639,176.298,0.000,-0.000
POSITION,0.508149,50.820,2.333,39.639,176.298,0.000,-0.000
POSITION,0.589290,50.820,2.333,39.639,176.298,0.000,-0.000
POSITION,0.668781,50.820,2.333,39.639,176.298,0.000,-0.000
POSITION,0.748150,50.820,2.333,39.639,176.298,0.000,-0.000
POSITION,0.826883,50.820,2.333,39.639,176.298,0.000,-0.000
POSITION,0.905162,50.820,2.333,39.639,176.298,0.000,-0.000
POSITION,0.983175,50.820,2.333,39.639,176.298,0.000,-0.000
POSITION,1.061989,50.820,2.333,39.639,176.298,0.000,-0.000
POSITION,1.140841,50.820,2.333,39.639,176.298,0.000,-0.000
POSITION,1.219846,50.820,2.333,39.639,176.298,0.000,-0.000
POSITION,1.298783,50.820,2.333,39.639,176.298,0.000,-0.000
POSITION,1.376885,50.820,2.333,39.639,176.298,0.000,-0.000
POSITION,1.456581,50.820,2.333,39.639,176.298,0.000,-0.000
EVENT,1.458602,"['Moving subject to center of intersection', '[30.838, 0.396, 40.932]']"
POSITION,1.550193,50.820,2.333,39.639,176.298,0.000,-0.000
POSITION,1.633500,50.402,2.330,39.666,176.298,0.000,-0.000
POSITION,1.712474,50.007,2.327,39.692,176.298,0.000,-0.000
POSITION,1.791986,49.610,2.325,39.717,176.298,0.000,-0.000
POSITION,1.870435,49.219,2.322,39.743,176.298,0.000,-0.000
POSITION,1.948587,48.828,2.319,39.768,176.298,0.000,-0.000
POSITION,2.026740,48.437,2.317,39.793,176.298,0.000,-0.000
POSITION,2.105118,48.046,2.314,39.818,176.298,0.000,-0.000
POSITION,2.183281,47.655,2.311,39.844,176.298,0.000,-0.000
POSITION,2.262510,47.259,2.309,39.869,176.298,0.000,-0.000
POSITION,2.341092,46.867,2.306,39.895,176.298,0.000,-0.000
POSITION,2.424089,46.453,2.303,39.922,176.298,0.000,-0.000
POSITION,2.502471,46.061,2.300,39.947,176.298,0.000,-0.000
POSITION,2.583823,45.656,2.298,39.973,176.298,0.000,-0.000
POSITION,2.671243,45.217,2.295,40.002,176.298,0.000,-0.000
POSITION,2.749685,44.825,2.292,40.027,176.298,0.000,-0.000
POSITION,2.828575,44.432,2.289,40.052,176.298,0.000,-0.000
POSITION,2.907557,44.038,2.286,40.078,176.298,0.000,-0.000
POSITION,2.985983,43.645,2.284,40.103,176.298,0.000,-0.000
POSITION,3.064800,43.251,2.281,40.129,176.298,0.000,-0.000
POSITION,3.143241,42.859,2.278,40.154,176.298,0.000,-0.000
