# 4 Runs (slices), 48 Trials (rows) in each run and 3 factors - search type, array size and ideal response (in columns).

# Run 1 (slice 1)
wm,two_urll,absent
vis,two_urll,present
vis,four,absent
vis,two_urll,absent
wm,two_urll,present
wm,two_ullr,absent
vis,two_ullr,present
wm,two_ullr,present
wm,two_ullr,absent
wm,four,absent
wm,four,present
vis,four,absent
vis,four,absent
wm,two_urll,absent
wm,four,present
wm,two_urll,absent
vis,four,present
vis,four,absent
wm,two_ullr,absent
wm,four,absent
vis,four,present
vis,two_urll,absent
wm,two_ullr,present
vis,two_urll,present
vis,two_ullr,absent
wm,four,present
vis,four,absent
wm,four,present
vis,four,absent
vis,four,present
wm,four,present
wm,four,absent
wm,two_ullr,present
vis,four,present
vis,four,present
vis,two_ullr,present
vis,two_ullr,absent
wm,two_urll,present
wm,two_urll,present
wm,four,present
vis,two_ullr,absent
wm,four,absent
wm,four,absent
vis,four,present
vis,two_ullr,present
wm,four,absent
vis,two_urll,absent
vis,two_urll,present

# Run 2 (slice 2)
vis,two_ullr,present
wm,four,present
wm,two_urll,absent
wm,four,absent
vis,four,absent
vis,four,present
wm,four,absent
vis,four,present
wm,four,present
vis,two_ullr,present
wm,four,absent
wm,four,present
wm,four,absent
vis,two_urll,present
wm,two_ullr,absent
wm,four,present
vis,two_urll,present
vis,two_urll,present
vis,two_ullr,absent
wm,two_ullr,present
vis,two_urll,absent
vis,four,absent
wm,four,absent
wm,two_ullr,present
wm,two_ullr,present
vis,four,present
vis,two_urll,absent
wm,four,present
vis,four,absent
wm,four,present
wm,two_urll,absent
wm,two_urll,present
vis,four,absent
vis,two_urll,absent
vis,two_ullr,present
wm,two_ullr,absent
wm,two_ullr,absent
vis,four,present
wm,four,absent
vis,four,present
wm,two_urll,absent
wm,two_urll,present
vis,four,present
vis,four,absent
wm,two_urll,present
vis,four,absent
vis,two_ullr,absent
vis,two_ullr,absent

# Run 3 (slice 3)
vis,two_urll,absent
vis,two_urll,present
wm,four,present
vis,four,absent
vis,two_ullr,absent
wm,four,absent
vis,two_urll,absent
vis,four,absent
vis,two_urll,absent
vis,four,present
vis,two_ullr,absent
wm,four,absent
wm,two_ullr,absent
wm,four,absent
wm,two_ullr,absent
vis,four,absent
vis,four,present
wm,two_urll,present
wm,four,present
wm,two_ullr,present
wm,two_urll,absent
wm,two_urll,absent
wm,four,absent
wm,four,present
wm,four,absent
vis,four,present
vis,four,present
wm,four,present
wm,two_urll,absent
vis,four,absent
vis,four,present
vis,four,absent
wm,two_ullr,absent
wm,two_urll,present
wm,two_ullr,present
vis,two_urll,present
wm,four,present
wm,four,present
vis,two_ullr,present
vis,two_urll,present
wm,two_urll,present
vis,four,present
vis,two_ullr,present
vis,four,absent
wm,two_ullr,present
vis,two_ullr,absent
vis,two_ullr,present
wm,four,absent

# Run 4 (slice 4)
vis,four,absent
vis,four,absent
wm,two_ullr,present
vis,four,absent
wm,four,present
vis,two_urll,absent
wm,two_urll,present
vis,two_ullr,present
wm,two_ullr,absent
vis,four,present
wm,four,absent
wm,two_ullr,absent
wm,four,present
vis,two_urll,present
wm,four,absent
vis,two_urll,absent
vis,two_urll,present
wm,two_ullr,present
vis,two_urll,present
wm,four,present
vis,four,present
vis,two_urll,absent
wm,two_urll,absent
vis,two_ullr,present
wm,two_urll,absent
wm,two_urll,absent
wm,four,absent
vis,four,present
wm,four,present
wm,two_ullr,absent
wm,four,absent
vis,two_ullr,present
vis,two_ullr,absent
vis,two_ullr,absent
wm,two_ullr,present
vis,four,absent
wm,four,absent
wm,four,absent
vis,four,present
wm,four,present
wm,two_urll,present
wm,four,present
vis,four,present
vis,four,absent
vis,four,absent
vis,four,present
vis,two_ullr,absent
wm,two_urll,present
