onset	duration	trial_type
0.0	5.0	initial_fix
5.0	0.5	fixation_block
5.5	1.5	fixation
7.0	0.5	fixation_block
7.5	1.5	fixation
9.0	0.5	fixation_block
9.5	1.5	fixation
11.0	0.5	fixation_block
11.5	1.5	fixation
13.0	0.5	fixation_block
13.5	1.5	fixation
15.0	0.5	fixation_block
15.5	1.5	fixation
17.0	0.5	fixation_block
17.5	1.5	fixation
19.0	0.5	fixation_block
19.5	1.5	fixation
21.0	0.5	modified_upright
21.5	1.5	fixation
23.0	0.5	modified_upright
23.5	1.5	fixation
25.0	0.5	modified_upright
25.5	1.5	fixation
27.0	0.5	modified_upright
27.5	1.5	fixation
29.0	0.5	modified_upright
29.5	1.5	fixation
31.0	0.5	modified_upright
31.5	1.5	fixation
33.0	0.5	modified_upright
33.5	1.5	fixation
35.0	0.5	modified_upright
35.5	1.5	fixation
37.0	0.5	fixation_block
37.5	1.5	fixation
39.0	0.5	fixation_block
39.5	1.5	fixation
41.0	0.5	fixation_block
41.5	1.5	fixation
43.0	0.5	fixation_block
43.5	1.5	fixation
45.0	0.5	fixation_block
45.5	1.5	fixation
47.0	0.5	fixation_block
47.5	1.5	fixation
49.0	0.5	fixation_block
49.5	1.5	fixation
51.0	0.5	fixation_block
51.5	1.5	fixation
53.0	0.5	natural_upright
53.5	1.5	fixation
55.0	0.5	natural_upright
55.5	1.5	fixation
57.0	0.5	natural_upright
57.5	1.5	fixation
59.0	0.5	natural_upright
59.5	1.5	fixation
61.0	0.5	natural_upright
61.5	1.5	fixation
63.0	0.5	natural_upright
63.5	1.5	fixation
65.0	0.5	natural_upright
65.5	1.5	fixation
67.0	0.5	natural_upright
67.5	1.5	fixation
69.0	0.5	fixation_block
69.5	1.5	fixation
71.0	0.5	fixation_block
71.5	1.5	fixation
73.0	0.5	fixation_block
73.5	1.5	fixation
75.0	0.5	fixation_block
75.5	1.5	fixation
77.0	0.5	fixation_block
77.5	1.5	fixation
79.0	0.5	fixation_block
79.5	1.5	fixation
81.0	0.5	fixation_block
81.5	1.5	fixation
83.0	0.5	fixation_block
83.5	1.5	fixation
85.0	0.5	natural_upright
85.5	1.5	fixation
87.0	0.5	natural_upright
87.5	1.5	fixation
89.0	0.5	natural_upright
89.5	1.5	fixation
91.0	0.5	natural_upright
91.5	1.5	fixation
93.0	0.5	natural_upright
93.5	1.5	fixation
95.0	0.5	natural_upright
95.5	1.5	fixation
97.0	0.5	natural_upright
97.5	1.5	fixation
99.0	0.5	natural_upright
99.5	1.5	fixation
101.0	0.5	fixation_block
101.5	1.5	fixation
103.0	0.5	fixation_block
103.5	1.5	fixation
105.0	0.5	fixation_block
105.5	1.5	fixation
107.0	0.5	fixation_block
107.5	1.5	fixation
109.0	0.5	fixation_block
109.5	1.5	fixation
111.0	0.5	fixation_block
111.5	1.5	fixation
113.0	0.5	fixation_block
113.5	1.5	fixation
115.0	0.5	fixation_block
115.5	1.5	fixation
117.0	0.5	modified_upright
117.5	1.5	fixation
119.0	0.5	modified_upright
119.5	1.5	fixation
121.0	0.5	modified_upright
121.5	1.5	fixation
123.0	0.5	modified_upright
123.5	1.5	fixation
125.0	0.5	modified_upright
125.5	1.5	fixation
127.0	0.5	modified_upright
127.5	1.5	fixation
129.0	0.5	modified_upright
129.5	1.5	fixation
131.0	0.5	modified_upright
131.5	1.5	fixation
133.0	0.5	fixation_block
133.5	1.5	fixation
135.0	0.5	fixation_block
135.5	1.5	fixation
137.0	0.5	fixation_block
137.5	1.5	fixation
139.0	0.5	fixation_block
139.5	1.5	fixation
141.0	0.5	fixation_block
141.5	1.5	fixation
143.0	0.5	fixation_block
143.5	1.5	fixation
145.0	0.5	fixation_block
145.5	1.5	fixation
147.0	0.5	fixation_block
147.5	1.5	fixation
149.0	0.5	modified_inverted
149.5	1.5	fixation
151.0	0.5	modified_inverted
151.5	1.5	fixation
153.0	0.5	modified_inverted
153.5	1.5	fixation
155.0	0.5	modified_inverted
155.5	1.5	fixation
157.0	0.5	modified_inverted
157.5	1.5	fixation
159.0	0.5	modified_inverted
159.5	1.5	fixation
161.0	0.5	modified_inverted
161.5	1.5	fixation
163.0	0.5	modified_inverted
163.5	1.5	fixation
165.0	0.5	fixation_block
165.5	1.5	fixation
167.0	0.5	fixation_block
167.5	1.5	fixation
169.0	0.5	fixation_block
169.5	1.5	fixation
171.0	0.5	fixation_block
171.5	1.5	fixation
173.0	0.5	fixation_block
173.5	1.5	fixation
175.0	0.5	fixation_block
175.5	1.5	fixation
177.0	0.5	fixation_block
177.5	1.5	fixation
179.0	0.5	fixation_block
179.5	1.5	fixation
181.0	0.5	modified_inverted
181.5	1.5	fixation
183.0	0.5	modified_inverted
183.5	1.5	fixation
185.0	0.5	modified_inverted
185.5	1.5	fixation
187.0	0.5	modified_inverted
187.5	1.5	fixation
189.0	0.5	modified_inverted
189.5	1.5	fixation
191.0	0.5	modified_inverted
191.5	1.5	fixation
193.0	0.5	modified_inverted
193.5	1.5	fixation
195.0	0.5	modified_inverted
195.5	1.5	fixation
197.0	0.5	fixation_block
197.5	1.5	fixation
199.0	0.5	fixation_block
199.5	1.5	fixation
201.0	0.5	fixation_block
201.5	1.5	fixation
203.0	0.5	fixation_block
203.5	1.5	fixation
205.0	0.5	fixation_block
205.5	1.5	fixation
207.0	0.5	fixation_block
207.5	1.5	fixation
209.0	0.5	fixation_block
209.5	1.5	fixation
211.0	0.5	fixation_block
211.5	1.5	fixation
213.0	0.5	modified_inverted
213.5	1.5	fixation
215.0	0.5	modified_inverted
215.5	1.5	fixation
217.0	0.5	modified_inverted
217.5	1.5	fixation
219.0	0.5	modified_inverted
219.5	1.5	fixation
221.0	0.5	modified_inverted
221.5	1.5	fixation
223.0	0.5	modified_inverted
223.5	1.5	fixation
225.0	0.5	modified_inverted
225.5	1.5	fixation
227.0	0.5	modified_inverted
227.5	1.5	fixation
229.0	0.5	fixation_block
229.5	1.5	fixation
231.0	0.5	fixation_block
231.5	1.5	fixation
233.0	0.5	fixation_block
233.5	1.5	fixation
235.0	0.5	fixation_block
235.5	1.5	fixation
237.0	0.5	fixation_block
237.5	1.5	fixation
239.0	0.5	fixation_block
239.5	1.5	fixation
241.0	0.5	fixation_block
241.5	1.5	fixation
243.0	0.5	fixation_block
243.5	1.5	fixation
245.0	0.5	natural_inverted
245.5	1.5	fixation
247.0	0.5	natural_inverted
247.5	1.5	fixation
249.0	0.5	natural_inverted
249.5	1.5	fixation
251.0	0.5	natural_inverted
251.5	1.5	fixation
253.0	0.5	natural_inverted
253.5	1.5	fixation
255.0	0.5	natural_inverted
255.5	1.5	fixation
257.0	0.5	natural_inverted
257.5	1.5	fixation
259.0	0.5	natural_inverted
259.5	1.5	fixation
261.0	0.5	fixation_block
261.5	1.5	fixation
263.0	0.5	fixation_block
263.5	1.5	fixation
265.0	0.5	fixation_block
265.5	1.5	fixation
267.0	0.5	fixation_block
267.5	1.5	fixation
269.0	0.5	fixation_block
269.5	1.5	fixation
271.0	0.5	fixation_block
271.5	1.5	fixation
273.0	0.5	fixation_block
273.5	1.5	fixation
275.0	0.5	fixation_block
275.5	1.5	fixation
277.0	0.5	modified_upright
277.5	1.5	fixation
279.0	0.5	modified_upright
279.5	1.5	fixation
281.0	0.5	modified_upright
281.5	1.5	fixation
283.0	0.5	modified_upright
283.5	1.5	fixation
285.0	0.5	modified_upright
285.5	1.5	fixation
287.0	0.5	modified_upright
287.5	1.5	fixation
289.0	0.5	modified_upright
289.5	1.5	fixation
291.0	0.5	modified_upright
291.5	1.5	fixation
293.0	0.5	fixation_block
293.5	1.5	fixation
295.0	0.5	fixation_block
295.5	1.5	fixation
297.0	0.5	fixation_block
297.5	1.5	fixation
299.0	0.5	fixation_block
299.5	1.5	fixation
301.0	0.5	fixation_block
301.5	1.5	fixation
303.0	0.5	fixation_block
303.5	1.5	fixation
305.0	0.5	fixation_block
305.5	1.5	fixation
307.0	0.5	fixation_block
307.5	1.5	fixation
309.0	0.5	natural_upright
309.5	1.5	fixation
311.0	0.5	natural_upright
311.5	1.5	fixation
313.0	0.5	natural_upright
313.5	1.5	fixation
315.0	0.5	natural_upright
315.5	1.5	fixation
317.0	0.5	natural_upright
317.5	1.5	fixation
319.0	0.5	natural_upright
319.5	1.5	fixation
321.0	0.5	natural_upright
321.5	1.5	fixation
323.0	0.5	natural_upright
323.5	1.5	fixation
325.0	0.5	fixation_block
325.5	1.5	fixation
327.0	0.5	fixation_block
327.5	1.5	fixation
329.0	0.5	fixation_block
329.5	1.5	fixation
331.0	0.5	fixation_block
331.5	1.5	fixation
333.0	0.5	fixation_block
333.5	1.5	fixation
335.0	0.5	fixation_block
335.5	1.5	fixation
337.0	0.5	fixation_block
337.5	1.5	fixation
339.0	0.5	fixation_block
339.5	1.5	fixation
341.0	0.5	natural_inverted
341.5	1.5	fixation
343.0	0.5	natural_inverted
343.5	1.5	fixation
345.0	0.5	natural_inverted
345.5	1.5	fixation
347.0	0.5	natural_inverted
347.5	1.5	fixation
349.0	0.5	natural_inverted
349.5	1.5	fixation
351.0	0.5	natural_inverted
351.5	1.5	fixation
353.0	0.5	natural_inverted
353.5	1.5	fixation
355.0	0.5	natural_inverted
355.5	1.5	fixation
357.0	0.5	fixation_block
357.5	1.5	fixation
359.0	0.5	fixation_block
359.5	1.5	fixation
361.0	0.5	fixation_block
361.5	1.5	fixation
363.0	0.5	fixation_block
363.5	1.5	fixation
365.0	0.5	fixation_block
365.5	1.5	fixation
367.0	0.5	fixation_block
367.5	1.5	fixation
369.0	0.5	fixation_block
369.5	1.5	fixation
371.0	0.5	fixation_block
371.5	1.5	fixation
373.0	0.5	natural_inverted
373.5	1.5	fixation
375.0	0.5	natural_inverted
375.5	1.5	fixation
377.0	0.5	natural_inverted
377.5	1.5	fixation
379.0	0.5	natural_inverted
379.5	1.5	fixation
381.0	0.5	natural_inverted
381.5	1.5	fixation
383.0	0.5	natural_inverted
383.5	1.5	fixation
385.0	0.5	natural_inverted
385.5	1.5	fixation
387.0	0.5	natural_inverted
387.5	1.5	fixation
389.0	0.5	fixation_block
389.5	1.5	fixation
391.0	0.5	fixation_block
391.5	1.5	fixation
393.0	0.5	fixation_block
393.5	1.5	fixation
395.0	0.5	fixation_block
395.5	1.5	fixation
397.0	0.5	fixation_block
397.5	1.5	fixation
399.0	0.5	fixation_block
399.5	1.5	fixation
401.0	0.5	fixation_block
401.5	1.5	fixation
403.0	0.5	fixation_block
403.5	1.5	fixation
