subj,ntrial,nbloc,langue,sent_dur,fname,sent_onset
1,1,1,french,1948,localizer_01A.wav,2000
1,2,1,french,2516,localizer_01B.wav,4448
1,3,1,french,1640,localizer_01C.wav,7464
1,4,2,control,2358,localizer_r_02A.wav,15104
1,5,2,control,3094,localizer_r_02B.wav,17962
1,6,2,control,2139,localizer_r_02C.wav,21556
1,7,3,french,2292,localizer_03A.wav,29695
1,8,3,french,3145,localizer_03B.wav,32487
1,9,3,french,2227,localizer_03C.wav,36132
1,10,2,control,2013,localizer_r_04A.wav,44359
1,11,2,control,2674,localizer_r_04B.wav,46872
1,12,2,control,1696,localizer_r_04C.wav,50046
1,13,3,french,2805,localizer_05A.wav,57742
1,14,3,french,2386,localizer_05B.wav,61047
1,15,3,french,2400,localizer_05C.wav,63933
1,16,4,control,2241,localizer_r_06A.wav,72333
1,17,4,control,2455,localizer_r_06B.wav,75074
1,18,4,control,2521,localizer_r_06C.wav,78029
1,19,,french,2288,localizer_07A.wav,86550
1,20,,french,2292,localizer_07B.wav,89338
1,21,,french,2115,localizer_07C.wav,92130
1,22,,control,2698,localizer_r_08A.wav,100245
1,23,,control,3028,localizer_r_08B.wav,103443
1,24,,control,2311,localizer_r_08C.wav,106971
1,25,,french,2260,localizer_09A.wav,115282
1,26,,french,2842,localizer_09B.wav,118042
1,27,,french,1519,localizer_09C.wav,121384
1,28,,control,2609,localizer_r_10A.wav,128903
1,29,,control,2959,localizer_r_10B.wav,132012
1,30,,control,2288,localizer_r_10C.wav,135471
1,31,,french,1924,localizer_11A.wav,143759
1,32,,french,2656,localizer_11B.wav,146183
1,33,,french,1924,localizer_11C.wav,149339
1,34,,control,1948,localizer_r_01A.wav,157263
1,35,,control,2516,localizer_r_01B.wav,159711
1,36,,control,1640,localizer_r_01C.wav,162727
1,37,,french,2260,localizer_r_09A.wav,170367
1,38,,french,2842,localizer_r_09B.wav,173127
1,39,,french,1519,localizer_r_09C.wav,176469
1,40,,control,2358,localizer_02A.wav,183988
1,41,,control,3094,localizer_02B.wav,186846
1,42,,control,2139,localizer_02C.wav,190440
1,43,,french,2292,localizer_r_03A.wav,198579
1,44,,french,3145,localizer_r_03B.wav,201371
1,45,,french,2227,localizer_r_03C.wav,205016
1,46,,control,2013,localizer_04A.wav,213243
1,47,,control,2674,localizer_04B.wav,215756
1,48,,control,1696,localizer_04C.wav,218930
1,49,,french,2805,localizer_r_05A.wav,226626
1,50,,french,2386,localizer_r_05B.wav,229931
1,51,,french,2400,localizer_r_05C.wav,232817
1,52,,control,2241,localizer_06A.wav,241217
1,53,,control,2455,localizer_06B.wav,243958
1,54,,control,2521,localizer_06C.wav,246913
1,55,,french,2288,localizer_r_07A.wav,255434
1,56,,french,2292,localizer_r_07B.wav,258222
1,57,,french,2115,localizer_r_07C.wav,261014
1,58,,control,2609,localizer_10A.wav,269129
1,59,,control,2959,localizer_10B.wav,272238
1,60,,control,2288,localizer_10C.wav,275697
1,61,,french,1924,localizer_r_11A.wav,283985
1,62,,french,2656,localizer_r_11B.wav,286409
1,63,,french,1924,localizer_r_11C.wav,289565
1,64,,control,2111,localizer_12A.wav,297489
1,65,,control,1761,localizer_12B.wav,300100
1,66,,control,1701,localizer_12C.wav,302361
1,67,,french,2698,localizer_08A.wav,310062
1,68,,french,3028,localizer_08B.wav,313260
1,69,,french,2311,localizer_08C.wav,316788
1,70,,control,2111,localizer_r_12A.wav,325099
1,71,,control,1761,localizer_r_12B.wav,327710
1,72,,control,1701,localizer_r_12C.wav,329971
