onset,duration,trial_type
0.0227,0.0,cut
0.5227,0.0,cut
4.0338,17.0554,start_sound
5.8956,0.0,pleur
6.0338,0.0,pleur
6.5338,0.0,pleur
7.0338,0.0,pleur
7.5338,0.0,pleur
8.0338,0.0,pleur
8.5338,0.0,pleur
9.0338,0.0,pleur
9.5338,0.0,pleur
10.0338,0.0,pleur
10.5338,0.0,pleur
11.0338,0.0,pleur
11.5338,0.0,pleur
12.0338,0.0,pleur
12.5338,0.0,pleur
13.0338,0.0,pleur
13.5338,0.0,pleur
14.0338,0.0,pleur
14.5338,0.0,pleur
15.0338,0.0,pleur
21.0892,17.0555,start_sound
22.5892,0.0,suomi
23.0892,0.0,suomi
23.5892,0.0,suomi
24.0892,0.0,suomi
24.5892,0.0,suomi
25.0892,0.0,suomi
25.5892,0.0,suomi
26.0892,0.0,suomi
26.5892,0.0,suomi
27.0892,0.0,suomi
27.5892,0.0,suomi
28.0892,0.0,suomi
28.5892,0.0,suomi
29.0892,0.0,suomi
29.5892,0.0,suomi
30.0892,0.0,suomi
30.5892,0.0,suomi
31.0892,0.0,suomi
31.5892,0.0,suomi
32.0892,0.0,suomi
38.1447,17.0553,start_sound
39.6447,0.0,yawny
40.1447,0.0,yawny
40.6447,0.0,yawny
41.1447,0.0,yawny
41.6447,0.0,yawny
42.1447,0.0,yawny
42.6447,0.0,yawny
43.1447,0.0,yawny
43.6447,0.0,yawny
44.1447,0.0,yawny
44.6447,0.0,yawny
45.1447,0.0,yawny
45.6447,0.0,yawny
46.1447,0.0,yawny
46.6447,0.0,yawny
47.1447,0.0,yawny
47.6447,0.0,yawny
48.1447,0.0,yawny
48.6447,0.0,yawny
49.1447,0.0,yawny
55.2,17.0554,start_sound
56.7,0.0,human
57.2,0.0,human
57.7,0.0,human
58.2,0.0,human
58.7,0.0,human
59.2,0.0,human
59.7,0.0,human
60.2,0.0,human
60.7,0.0,human
61.2,0.0,human
61.7,0.0,human
62.2,0.0,human
62.7,0.0,human
63.2,0.0,human
63.7,0.0,human
64.2,0.0,human
64.7,0.0,human
65.2,0.0,human
65.7,0.0,human
66.2,0.0,human
72.2554,17.0554,start_sound
73.7554,0.0,silen
74.2554,0.0,silen
74.7554,0.0,silen
75.2554,0.0,silen
75.7554,0.0,silen
76.2554,0.0,silen
76.7554,0.0,silen
77.2554,0.0,silen
77.7554,0.0,silen
78.2554,0.0,silen
78.7554,0.0,silen
79.2554,0.0,silen
79.7554,0.0,silen
80.2554,0.0,silen
80.7554,0.0,silen
81.2554,0.0,silen
81.7554,0.0,silen
82.2554,0.0,silen
82.7554,0.0,silen
83.2554,0.0,silen
89.3108,17.0555,start_sound
90.8108,0.0,music
91.3108,0.0,music
91.8108,0.0,music
92.3108,0.0,music
92.8108,0.0,music
93.3108,0.0,music
