onset,duration,trial_type,response
0.0235,2.5231,start_pseudoword,other
3.049,2.0231,pseudoword,hit
5.5747,2.0231,pseudoword,hit
8.1005,2.0226,pseudoword,hit
10.6483,2.0231,pseudoword,hit
13.174,2.0228,pseudoword,hit
15.1968,2.5226,start_word,other
18.244,2.0231,word,hit
20.7695,2.023,word,incorrect
23.2952,2.0231,word,hit
25.8207,2.0231,word,hit
28.3463,2.0226,word,hit
30.3856,2.523,start_random_string,other
33.4113,2.0226,random_string,hit
35.9592,2.023,random_string,hit
38.4849,2.0226,random_string,hit
41.0328,2.023,random_string,hit
43.5585,2.0226,random_string,hit
45.5978,20.0228,Bfix,other
65.6206,2.5231,start_word,other
68.6463,2.0231,word,hit
71.172,2.0226,word,hit
73.7197,2.0231,word,hit
76.2454,2.0231,word,hit
78.7712,2.0228,word,hit
80.7939,2.5231,start_random_string,other
83.8197,2.023,random_string,hit
86.3453,2.023,random_string,hit
88.8708,2.023,random_string,hit
91.3965,2.023,random_string,hit
93.922,2.0228,random_string,hit
95.9448,2.5232,start_pseudoword,other
98.9705,2.0226,pseudoword,hit
101.5182,2.0231,pseudoword,hit
104.044,2.0226,pseudoword,hit
106.5915,2.0226,pseudoword,hit
109.1391,2.0227,pseudoword,hit
111.1618,20.0228,Bfix,other
131.1846,2.5231,start_random_string,other
134.2103,2.0226,random_string,hit
136.7576,2.0231,random_string,hit
139.2839,2.0231,random_string,hit
141.8096,2.0232,random_string,hit
144.3353,2.0228,random_string,hit
146.3581,2.5226,start_word,other
149.4057,2.0231,word,incorrect
151.9313,2.0231,word,hit
154.4569,2.0231,word,hit
156.9826,2.0231,word,hit
159.5081,2.0228,word,hit
161.5309,2.523,start_pseudoword,other
164.5566,2.023,pseudoword,hit
167.0821,2.0231,pseudoword,hit
169.6079,2.0231,pseudoword,hit
172.1277,2.0231,pseudoword,hit
174.6535,2.0227,pseudoword,hit
176.6761,20.0226,Bfix,other
196.7154,2.5232,start_word,other
199.7413,2.023,word,miss
202.267,2.023,word,hit
204.7927,2.023,word,hit
207.3184,2.0231,word,hit
209.8441,2.0227,word,hit
211.8835,2.5231,start_pseudoword,other
214.9092,2.0226,pseudoword,hit
217.4568,2.0231,pseudoword,hit
219.9825,2.023,pseudoword,hit
222.5083,2.0231,pseudoword,hit
225.0338,2.0228,pseudoword,hit
227.0566,2.5231,start_random_string,other
230.0823,2.0231,random_string,hit
232.6081,2.023,random_string,hit
235.1338,2.023,random_string,hit
237.6594,2.0231,random_string,hit
240.1852,2.0227,random_string,hit
242.2078,20.0228,Bfix,other
262.2306,2.5231,start_pseudoword,other
265.2564,2.0231,pseudoword,hit
267.7822,2.0231,pseudoword,hit
270.3079,2.0231,pseudoword,hit
272.8336,2.023,pseudoword,hit
275.3593,2.0228,pseudoword,hit
277.3821,2.523,start_random_string,other
280.4078,2.0226,random_string,hit
282.9555,2.023,random_string,hit
285.4811,2.0226,random_string,hit
288.0287,2.0231,random_string,hit
290.5544,2.0228,random_string,hit
292.5772,2.523,start_word,other
295.6029,2.0231,word,hit
298.1284,2.023,word,hit
300.6539,2.0231,word,hit
303.1797,2.0226,word,miss
305.7272,2.0227,word,hit
307.7499,20.0228,Bfix,other
327.7727,2.5231,start_random_string,other
330.7985,2.0231,random_string,hit
333.3242,2.0231,random_string,hit
335.8498,2.0226,random_string,hit
338.3973,2.0227,random_string,hit
340.945,2.0228,random_string,hit
342.9678,2.523,start_pseudoword,other
345.9936,2.0226,pseudoword,hit
348.5413,2.0231,pseudoword,hit
351.067,2.023,pseudoword,hit
353.5927,2.0231,pseudoword,hit
356.1183,2.0228,pseudoword,hit
358.1412,2.523,start_word,other
361.1667,2.0231,word,incorrect
363.6924,2.023,word,hit
366.218,2.0231,word,hit
368.7438,2.0231,word,hit
371.2694,2.0227,word,hit
373.292,7.2039,Bfix,other
