onset,duration,trial_type
1.0463,0.2226,unattend
2.3081,0.2226,attend
3.57,0.2226,attend
4.9318,0.2226,attend
6.2937,0.2226,unattend
7.5555,0.2226,unattend
8.8174,0.2226,unattend
10.0792,0.2226,attend
11.3429,0.2226,unattend
12.6048,0.2226,unattend
13.7667,0.2226,attend
15.0285,0.2226,attend
16.3904,0.2226,unattend
17.5522,0.2226,unattend
18.9141,0.2226,attend
20.076,0.2226,unattend
21.4379,0.2226,attend
22.6997,0.2226,attend
24.0616,0.2226,attend
25.2234,0.2226,unattend
26.5852,0.2226,attend
27.7471,0.2226,unattend
29.1089,0.2226,attend
30.3707,0.2226,unattend
31.5326,0.2226,attend
32.8944,0.2226,attend
34.2564,0.2226,unattend
35.4183,0.2226,attend
36.5801,0.2226,unattend
37.942,0.2226,unattend
39.1039,0.2226,unattend
40.4658,0.2226,unattend
41.8277,0.2226,unattend
43.0895,15.0238,Bfix
58.1133,0.2226,attend
59.3752,0.2226,attend
60.6371,0.2226,unattend
61.9989,0.2226,unattend
63.2608,0.2226,attend
64.5227,0.2226,unattend
65.7845,0.2226,attend
67.1464,0.2226,unattend
68.5082,0.2226,attend
69.8701,0.2226,attend
71.032,0.2167,unattend
72.288,0.2226,unattend
73.5498,0.2226,attend
74.7117,0.2226,attend
76.0736,0.2226,unattend
77.3355,0.2226,attend
78.6974,0.2226,unattend
80.0595,0.2226,unattend
81.2213,0.2226,attend
82.4832,0.2226,unattend
83.7451,0.2226,attend
84.907,0.2226,unattend
86.0688,0.2226,unattend
87.2307,0.2226,attend
88.4925,0.2226,unattend
89.7544,0.2226,unattend
91.1163,0.2226,unattend
92.3781,0.2226,attend
93.6399,0.2226,unattend
95.0018,0.2226,attend
96.1636,0.2226,unattend
97.4254,0.2226,unattend
98.7873,0.2226,attend
100.1492,15.0232,Bfix
115.1724,0.2226,unattend
116.5342,0.2226,unattend
117.6961,0.2226,unattend
118.9579,0.2226,unattend
120.1198,0.2226,unattend
121.2817,0.2226,unattend
122.5435,0.2226,unattend
123.9054,0.2226,attend
125.2672,0.2226,attend
126.5291,0.2226,unattend
127.791,0.2226,attend
129.0529,0.2226,unattend
130.3147,0.2226,unattend
131.5766,0.2226,attend
132.9384,0.2226,unattend
134.3003,0.2226,attend
135.4621,0.2226,attend
136.724,0.2226,attend
138.0858,0.2226,unattend
139.3477,0.2226,attend
140.7095,0.2226,unattend
141.8714,0.2226,attend
143.1333,0.2226,unattend
144.3952,0.2226,attend
145.5571,0.2226,attend
146.719,0.2226,unattend
147.8808,0.2226,attend
149.0427,0.2226,attend
150.4045,0.2226,unattend
151.6664,0.2226,attend
153.0282,0.2226,unattend
154.2901,15.0232,Bfix
169.3133,0.2226,unattend
170.6752,0.2226,attend
172.037,0.2226,unattend
173.2989,0.2226,attend
174.4607,0.2226,unattend
175.8226,0.2226,unattend
177.0845,0.2227,unattend
178.2464,0.2226,attend
179.5083,0.2226,attend
180.8702,0.2226,unattend
182.032,0.2226,unattend
183.3939,0.2226,attend
184.6558,0.2226,unattend
185.8176,0.2226,unattend
187.1795,0.2226,attend
188.3413,0.2226,unattend
189.6032,0.2226,unattend
190.765,0.2226,attend
192.1269,0.2226,unattend
193.3887,0.2226,unattend
194.5506,0.2226,attend
195.7125,0.2226,unattend
196.9744,0.2226,unattend
198.2362,0.2226,unattend
199.4981,0.2226,attend
200.76,0.2226,attend
201.9219,0.2226,unattend
203.0837,0.2226,attend
204.4456,0.2226,unattend
205.8074,0.2226,attend
207.1693,0.2226,unattend
208.4312,0.2226,unattend
209.793,15.0241,Bfix
224.8171,0.2226,attend
226.1789,0.2226,unattend
227.5408,0.2226,attend
228.7027,0.2226,unattend
230.0645,0.2226,attend
231.2264,0.2226,attend
232.3882,0.2226,unattend
233.6501,0.2226,attend
235.012,0.2226,unattend
236.1738,0.2226,unattend
237.3357,0.2226,unattend
238.4976,0.2226,attend
239.8594,0.2226,unattend
241.0213,0.2226,attend
242.2832,0.2226,attend
243.545,0.2226,unattend
244.7069,0.2226,attend
245.9687,0.2226,unattend
247.1305,0.2226,attend
248.3924,0.2226,attend
249.6542,0.2226,attend
250.8161,0.2226,unattend
252.1779,0.2226,unattend
253.4397,0.2226,attend
254.6016,0.2226,attend
255.9634,0.2226,attend
257.2253,0.2226,attend
258.5871,0.2226,attend
259.949,0.2226,unattend
261.1109,0.2226,attend
262.2728,0.2226,unattend
263.4346,0.2226,unattend
264.7965,0.2226,attend
266.1584,0.2226,unattend
267.3203,0.2226,attend
268.5821,0.2226,unattend
269.844,0.2226,attend
271.0058,5.0226,Suite
278.0285,7.1267,Bfix
