,onset,duration,trial_type
1,1.0472,20.0725,Bfix
13,22.1196,2.5226,hi_salience_left
15,25.7145,2.5226,hi_salience_left
18,29.3094,2.5226,hi_salience_right
21,32.9045,2.5226,hi_salience_left
24,36.4992,2.5226,hi_salience_left
27,40.0942,2.5226,hi_salience_left
29,43.6889,2.5226,hi_salience_left
32,47.2839,2.5226,hi_salience_right
35,50.8793,2.5226,hi_salience_left
38,54.4742,2.5226,hi_salience_left
40,57.0134,20.0725,Bfix
52,78.0858,2.5226,low_salience_left
54,81.6866,2.5226,low_salience_right
57,85.2812,2.5226,low_salience_left
60,88.8778,2.5226,low_salience_left
63,92.4726,2.5226,low_salience_left
66,96.0674,2.5226,low_salience_right
68,99.6619,2.5226,low_salience_right
71,103.2565,2.5226,low_salience_left
74,106.8517,2.5226,low_salience_left
77,110.4463,2.5226,low_salience_right
79,112.9855,20.0728,Bfix
91,134.0583,2.5226,hi_salience_left
93,137.6531,2.5226,hi_salience_left
96,141.2482,2.5226,hi_salience_left
99,144.843,2.5226,hi_salience_right
102,148.4378,2.5226,hi_salience_left
105,152.0331,2.5226,hi_salience_left
107,155.628,2.5226,hi_salience_left
110,159.2228,2.5226,hi_salience_right
113,162.8177,2.5226,hi_salience_left
116,166.4126,2.5226,hi_salience_right
118,168.9518,20.0729,Bfix
130,190.0246,2.5226,low_salience_left
132,193.6194,2.5226,low_salience_right
135,197.2184,2.5226,low_salience_left
138,200.8131,2.5226,low_salience_left
141,204.4103,2.5226,low_salience_right
144,208.0048,2.5226,low_salience_left
146,211.6002,2.5226,low_salience_right
149,215.195,2.5226,low_salience_left
152,218.7897,2.5226,low_salience_right
155,222.3843,2.5226,low_salience_left
157,224.9235,20.0724,Bfix
168,245.9959,2.5226,hi_salience_right
171,249.5907,2.5226,hi_salience_left
174,253.1855,2.5226,hi_salience_left
177,256.7807,2.5226,hi_salience_right
180,260.3754,2.5226,hi_salience_right
182,263.9703,2.5226,hi_salience_right
185,267.5651,2.5226,hi_salience_right
188,271.1594,2.5226,hi_salience_right
191,274.7544,2.5226,hi_salience_right
193,277.2937,20.0726,Bfix
205,298.3662,2.5226,low_salience_right
207,301.9611,2.5226,low_salience_left
210,305.5557,2.5226,low_salience_left
213,309.1506,2.5226,low_salience_right
216,312.7467,2.5226,low_salience_right
219,316.3413,2.5226,low_salience_right
221,319.9386,2.5226,low_salience_right
224,323.5342,2.5226,low_salience_right
227,327.1314,2.5226,low_salience_left
230,330.726,2.5226,low_salience_left
232,333.2653,21.1665,Bfix
