onset,duration,trial_type
0.0228,20.0226,Bfix
21.1296,2.5226,hi_salience_left
24.7392,2.5226,hi_salience_left
28.3489,2.5226,hi_salience_right
31.9588,2.5226,hi_salience_left
35.5685,2.5226,hi_salience_left
39.1783,2.5226,hi_salience_left
42.7876,2.5226,hi_salience_left
46.3984,2.5226,hi_salience_right
50.0099,2.5226,hi_salience_left
53.6061,2.5226,hi_salience_left
56.1454,20.0856,Bfix
77.2308,2.5226,low_salience_left
80.8403,2.5226,low_salience_right
84.4508,2.5226,low_salience_left
88.0755,2.5226,low_salience_left
91.6714,2.5226,low_salience_left
95.2799,2.5226,low_salience_right
98.8897,2.5226,low_salience_right
102.4993,2.5226,low_salience_left
106.1083,2.5226,low_salience_left
109.7182,2.5226,low_salience_right
112.2574,20.1042,Bfix
133.3615,2.5226,hi_salience_left
136.9723,2.5226,hi_salience_left
140.5837,2.5226,hi_salience_left
144.1951,2.5226,hi_salience_right
147.8037,2.5226,hi_salience_left
151.4127,2.5226,hi_salience_left
155.0243,2.5226,hi_salience_left
158.6209,2.5226,hi_salience_right
162.2266,2.5226,hi_salience_left
165.8377,2.5226,hi_salience_right
168.377,20.0877,Bfix
189.4646,2.5226,low_salience_left
193.0763,2.5226,low_salience_right
196.6852,2.5226,low_salience_left
200.2939,2.5226,low_salience_left
203.9051,2.5226,low_salience_right
207.5149,2.5226,low_salience_left
211.1237,2.5226,low_salience_right
214.7328,2.5226,low_salience_left
218.3437,2.5226,low_salience_right
221.9535,2.5226,low_salience_left
224.4928,20.0901,Bfix
245.5828,2.5226,hi_salience_right
249.1899,2.5226,hi_salience_left
252.7865,2.5226,hi_salience_left
256.3949,2.5226,hi_salience_right
260.0041,2.5226,hi_salience_right
263.6133,2.5226,hi_salience_right
267.2239,2.5226,hi_salience_right
270.8332,2.5226,hi_salience_right
274.4294,2.5226,hi_salience_right
276.9686,20.0881,Bfix
298.0566,2.5226,low_salience_right
301.6663,2.5226,low_salience_left
305.2632,2.5226,low_salience_left
308.8715,2.5226,low_salience_right
312.4818,2.5226,low_salience_right
316.0899,2.5226,low_salience_right
319.7,2.5226,low_salience_right
323.3096,2.5226,low_salience_right
326.9196,2.5226,low_salience_left
330.529,2.5226,low_salience_left
333.0683,21.2337,Bfix
