,onset,duration,trial_type
1,0.0228,4.0226,Ins_repos
5,6.0455,1.0226,fixation_left
7,8.5682,1.0226,fixation_left
9,11.0909,1.0226,fixation_left
11,13.6135,1.0226,fixation_left
14,16.1362,1.0226,fixation_left
16,18.6589,1.0226,fixation_left
18,21.1815,1.0226,fixation_left
20,23.7042,1.0226,fixation_left
23,26.2269,1.0226,fixation_left
25,28.7496,1.0226,fixation_left
27,31.2723,1.0226,fixation_right
29,33.7949,1.0226,fixation_right
32,36.3176,1.0226,fixation_right
34,38.8403,1.0226,fixation_right
36,41.3629,1.0226,fixation_right
38,43.8856,1.0226,fixation_right
41,46.4083,1.0226,fixation_right
43,48.931,1.0226,fixation_right
45,51.4537,1.0226,fixation_right
47,53.9763,1.0226,fixation_right
50,56.499,3.0228,Bfix
52,59.5218,4.0226,Ins_bouche
56,65.5445,1.0226,tongue_left
59,68.0672,1.0226,tongue_left
61,70.5898,1.0226,tongue_left
63,73.1125,1.0226,tongue_left
65,75.6352,1.0226,tongue_left
68,78.1579,1.0226,tongue_left
70,80.6805,1.0226,tongue_left
72,83.2032,1.0226,tongue_left
74,85.7259,1.0226,tongue_left
77,88.2486,1.0226,tongue_left
79,90.7713,1.0226,tongue_right
81,93.2939,1.0225,tongue_right
83,95.8166,1.0226,tongue_right
86,98.3393,1.0226,tongue_right
88,100.8619,1.0226,tongue_right
90,103.3846,1.0226,tongue_right
92,105.9073,1.0226,tongue_right
95,108.4299,1.0226,tongue_right
97,110.9526,1.0226,tongue_right
99,113.4753,1.0226,tongue_right
101,115.998,3.0226,Bfix
104,119.0372,4.0226,Ins_jambe
108,125.0599,1.0226,foot_left
110,127.5826,1.0226,foot_left
113,130.1052,1.0226,foot_left
115,132.6279,1.0226,foot_left
117,135.1506,1.0226,foot_left
119,137.6732,1.0226,foot_left
122,140.1959,1.0226,foot_left
124,142.7186,1.0226,foot_left
126,145.2412,1.0226,foot_left
128,147.7639,1.0226,foot_left
131,150.2866,1.0226,foot_right
133,152.8092,1.0226,foot_right
135,155.3319,1.0225,foot_right
137,157.8546,1.0225,foot_right
140,160.3773,1.0226,foot_right
142,162.8999,1.0226,foot_right
144,165.4226,1.0226,foot_right
146,167.9453,1.0226,foot_right
149,170.468,1.0226,foot_right
151,172.9907,1.0226,foot_right
153,175.5133,3.0226,Bfix
156,178.5526,4.0226,Ins_yeux
160,184.5752,1.0226,saccade_left
162,187.0979,1.0226,saccade_left
164,189.6206,1.0226,saccade_left
167,192.1432,1.0226,saccade_left
169,194.6659,1.0226,saccade_left
171,197.1886,1.0226,saccade_left
173,199.7112,1.0226,saccade_left
176,202.2339,1.0226,saccade_left
178,204.7566,1.0226,saccade_left
180,207.2793,1.0226,saccade_left
182,209.8019,1.0226,sacaade_right
185,212.3246,1.0225,sacaade_right
187,214.8473,1.0226,sacaade_right
189,217.3699,1.0226,sacaade_right
191,219.8926,1.0226,sacaade_right
194,222.4153,1.0226,sacaade_right
196,224.9379,1.0226,sacaade_right
198,227.4606,1.0226,sacaade_right
200,229.9833,1.0226,sacaade_right
203,232.506,1.0226,sacaade_right
205,235.0287,3.0226,Bfix
208,238.068,4.0226,Ins_index
212,244.0906,1.0226,finger_left
215,246.6133,1.0226,finger_left
218,249.136,1.0226,finger_left
221,251.6586,1.0226,finger_left
225,254.1813,1.0226,finger_left
228,256.7039,1.0226,finger_left
231,259.2266,1.0226,finger_left
234,261.7493,1.0226,finger_left
238,264.272,1.0226,finger_left
241,266.7947,1.0225,finger_left
244,269.3173,1.0225,finger_right
247,271.84,1.0226,finger_right
251,274.3627,1.0226,finger_right
254,276.8853,1.0226,finger_right
257,279.408,1.0226,finger_right
260,281.9307,1.0226,finger_right
264,284.4534,1.0226,finger_right
267,286.9761,1.0226,finger_right
270,289.4988,1.0226,finger_right
274,292.0214,1.0226,finger_right
277,294.5441,3.0228,Bfix
279,297.5669,4.0226,Ins_main
283,303.5896,1.0226,hand_left
286,306.1123,1.0226,hand_left
288,308.6349,1.0226,hand_left
290,311.1576,1.0226,hand_left
292,313.6803,1.0226,hand_left
295,316.2029,1.0226,hand_left
297,318.7256,1.0226,hand_left
299,321.2483,1.0226,hand_left
301,323.7709,1.0226,hand_left
304,326.2936,1.0226,hand_left
306,328.8163,1.0226,hand_right
308,331.3389,1.0225,hand_right
310,333.8616,1.0226,hand_right
313,336.3843,1.0225,hand_right
315,338.907,1.0226,hand_right
317,341.4297,1.0226,hand_right
319,343.9524,1.0226,hand_right
322,346.475,1.0226,hand_right
324,348.9977,1.0226,hand_right
326,351.5204,1.0226,hand_right
329,354.0431,3.0226,Bfix
331,357.0823,4.0226,Ins_repos
335,363.105,1.0226,fixation_left
337,365.6277,1.0226,fixation_left
340,368.1503,1.0226,fixation_left
342,370.673,1.0226,fixation_left
344,373.1957,1.0226,fixation_left
346,375.7184,1.0226,fixation_left
349,378.241,1.0226,fixation_left
351,380.7637,1.0226,fixation_left
353,383.2864,1.0226,fixation_left
355,385.8091,1.0226,fixation_left
358,388.3317,1.0226,fixation_right
360,390.8544,1.0225,fixation_right
362,393.3771,1.0226,fixation_right
364,395.8997,1.0226,fixation_right
367,398.4224,1.0226,fixation_right
369,400.9451,1.0226,fixation_right
371,403.4678,1.0226,fixation_right
373,405.9904,1.0226,fixation_right
376,408.5131,1.0226,fixation_right
378,411.0358,1.0226,fixation_right
380,413.5585,3.0226,Bfix
383,416.5977,4.0226,Ins_bouche
387,422.6204,1.0226,tongue_left
389,425.1431,1.0226,tongue_left
391,427.6658,1.0226,tongue_left
394,430.1884,1.0226,tongue_left
396,432.7111,1.0226,tongue_left
398,435.2338,1.0226,tongue_left
400,437.7564,1.0226,tongue_left
403,440.2791,1.0226,tongue_left
405,442.8018,1.0226,tongue_left
407,445.3245,1.0226,tongue_left
409,447.8471,1.0226,tongue_right
412,450.3698,1.0226,tongue_right
