onset,duration,trial_type
0.0128,4.0179,Ins_repos
6.0313,1.017,fixation_left
8.5488,1.017,fixation_left
11.0662,1.017,fixation_left
13.5836,1.017,fixation_left
16.1011,1.017,fixation_left
18.6185,1.017,fixation_left
21.136,1.017,fixation_left
23.6534,1.017,fixation_left
26.1708,1.017,fixation_left
28.6883,1.017,fixation_left
31.2057,1.017,fixation_right
33.7231,1.017,fixation_right
36.2406,1.017,fixation_right
38.758,1.017,fixation_right
41.2754,1.017,fixation_right
43.7929,1.017,fixation_right
46.3103,1.017,fixation_right
48.8278,1.017,fixation_right
51.3452,1.017,fixation_right
53.8626,1.017,fixation_right
56.3801,3.0176,Bfix
59.3977,4.0179,Ins_bouche
65.4162,1.017,tongue_left
67.9336,1.017,tongue_left
70.451,1.017,tongue_left
72.9685,1.017,tongue_left
75.4859,1.017,tongue_left
78.0033,1.017,tongue_left
80.5208,1.017,tongue_left
83.0382,1.017,tongue_left
85.5557,1.017,tongue_left
88.0731,1.017,tongue_left
90.5905,1.017,tongue_right
93.108,1.017,tongue_right
95.6254,1.017,tongue_right
98.1428,1.017,tongue_right
100.6603,1.017,tongue_right
103.1777,1.017,tongue_right
105.6951,1.017,tongue_right
108.2126,1.017,tongue_right
110.73,1.017,tongue_right
113.2475,1.017,tongue_right
115.7649,3.0176,Bfix
118.7992,4.0179,Ins_jambe
124.8177,1.017,foot_left
127.3351,1.017,foot_left
129.8525,1.017,foot_left
132.37,1.017,foot_left
134.8874,1.017,foot_left
137.4048,1.017,foot_left
139.9223,1.017,foot_left
142.4397,1.017,foot_left
144.9572,1.017,foot_left
147.4746,1.017,foot_left
149.992,1.017,foot_right
152.5095,1.017,foot_right
155.0269,1.017,foot_right
157.5443,1.017,foot_right
160.0618,1.017,foot_right
162.5792,1.017,foot_right
165.0966,1.017,foot_right
167.6141,1.017,foot_right
170.1315,1.017,foot_right
172.649,1.017,foot_right
175.1664,3.0176,Bfix
178.184,4.0179,Ins_yeux
184.2025,1.017,saccade_left
186.7199,1.017,saccade_left
189.2374,1.017,saccade_left
191.7548,1.017,saccade_left
194.2722,1.017,saccade_left
196.7897,1.017,saccade_left
199.3071,1.017,saccade_left
201.8245,1.017,saccade_left
204.342,1.017,saccade_left
206.8594,1.017,saccade_left
209.3768,1.017,sacaade_right
211.8943,1.017,sacaade_right
214.4117,1.017,sacaade_right
216.9292,1.017,sacaade_right
219.4466,1.017,sacaade_right
221.9628,1.017,sacaade_right
224.4803,1.017,sacaade_right
226.9977,1.017,sacaade_right
229.5151,1.017,sacaade_right
232.0326,1.017,sacaade_right
234.55,3.0176,Bfix
237.5676,4.0179,Ins_index
243.5861,1.017,finger_left
246.1035,1.017,finger_left
248.621,1.017,finger_left
251.1384,1.017,finger_left
253.6559,1.017,finger_left
256.1733,1.017,finger_left
258.6907,1.017,finger_left
261.2082,1.017,finger_left
263.7256,1.017,finger_left
266.243,1.017,finger_left
268.7605,1.017,finger_right
271.2779,1.017,finger_right
273.7953,1.017,finger_right
276.3128,1.017,finger_right
278.8302,1.017,finger_right
281.3477,1.017,finger_right
283.8651,1.017,finger_right
286.3825,1.017,finger_right
288.9,1.017,finger_right
291.4174,1.017,finger_right
293.9348,3.0176,Bfix
296.9691,4.0179,Ins_main
302.9876,1.017,hand_left
305.505,1.017,hand_left
308.0225,1.017,hand_left
310.5399,1.017,hand_left
313.0573,1.017,hand_left
315.5748,1.017,hand_left
318.0922,1.017,hand_left
320.6097,1.017,hand_left
323.1271,1.017,hand_left
325.6445,1.017,hand_left
328.162,1.017,hand_right
330.6794,1.017,hand_right
333.1968,1.017,hand_right
335.7143,1.017,hand_right
338.2317,1.017,hand_right
340.7492,1.017,hand_right
343.2666,1.017,hand_right
345.784,1.017,hand_right
348.3015,1.017,hand_right
350.8189,1.017,hand_right
353.3363,3.0176,Bfix
356.3539,4.0179,Ins_repos
362.3724,1.017,fixation_left
364.8899,1.017,fixation_left
367.4073,1.017,fixation_left
369.9247,1.017,fixation_left
372.4422,1.017,fixation_left
374.9596,1.017,fixation_left
377.477,1.017,fixation_left
379.9945,1.017,fixation_left
382.5119,1.017,fixation_left
385.0294,1.017,fixation_left
387.5468,1.017,fixation_right
390.0642,1.017,fixation_right
