onset,duration,trial_type
0.0123,4.0179,Ins_main
6.0308,1.017,hand_left
8.5482,1.017,hand_left
11.0657,1.017,hand_left
13.5831,1.017,hand_left
16.1005,1.017,hand_left
18.618,1.017,hand_left
21.1354,1.017,hand_left
23.6529,1.017,hand_left
26.1703,1.017,hand_left
28.6877,1.017,hand_left
31.2052,1.017,hand_right
33.7226,1.017,hand_right
36.24,1.017,hand_right
38.7575,1.017,hand_right
41.2749,1.017,hand_right
43.7924,1.017,hand_right
46.3098,1.017,hand_right
48.8272,1.017,hand_right
51.3447,1.017,hand_right
53.8621,1.017,hand_right
56.3795,3.0176,Bfix
59.3971,4.0179,Ins_index
65.4156,1.017,finger_left
67.9331,1.017,finger_left
70.4505,1.017,finger_left
72.968,1.017,finger_left
75.4854,1.017,finger_left
78.0028,1.017,finger_left
80.5203,1.017,finger_left
83.0377,1.017,finger_left
85.5551,1.017,finger_left
88.0726,1.017,finger_left
90.59,1.017,finger_right
93.1075,1.017,finger_right
95.6249,1.017,finger_right
98.1423,1.017,finger_right
100.6598,1.017,finger_right
103.1772,1.017,finger_right
105.6946,1.017,finger_right
108.2121,1.017,finger_right
110.7295,1.017,finger_right
113.247,1.017,finger_right
115.7644,3.0176,Bfix
118.782,4.0179,Ins_yeux
124.8005,1.017,saccade_left
127.3179,1.017,saccade_left
129.8354,1.017,saccade_left
132.3528,1.017,saccade_left
134.8702,1.017,saccade_left
137.3877,1.017,saccade_left
139.9051,1.017,saccade_left
142.4225,1.017,saccade_left
144.94,1.017,saccade_left
147.4574,1.017,saccade_left
149.9749,1.017,sacaade_right
152.4923,1.017,sacaade_right
155.0097,1.017,sacaade_right
157.5272,1.017,sacaade_right
160.0446,1.017,sacaade_right
162.562,1.017,sacaade_right
165.0795,1.017,sacaade_right
167.5969,1.017,sacaade_right
170.1144,1.017,sacaade_right
172.6318,1.017,sacaade_right
175.1492,3.0176,Bfix
178.1835,4.0179,Ins_jambe
184.202,1.017,foot_left
186.7194,1.017,foot_left
189.2369,1.017,foot_left
191.7543,1.017,foot_left
194.2718,1.017,foot_left
196.7892,1.017,foot_left
199.3066,1.017,foot_left
201.8241,1.017,foot_left
204.3415,1.017,foot_left
206.8589,1.017,foot_left
209.3764,1.017,foot_right
211.8938,1.017,foot_right
214.4113,1.017,foot_right
216.9287,1.017,foot_right
219.4461,1.017,foot_right
221.9636,1.017,foot_right
224.481,1.017,foot_right
226.9984,1.017,foot_right
229.5159,1.017,foot_right
232.0333,1.017,foot_right
234.5508,3.0176,Bfix
237.5683,4.0179,Ins_bouche
243.5868,1.017,tongue_left
246.1043,1.017,tongue_left
248.6217,1.017,tongue_left
251.1392,1.017,tongue_left
253.6566,1.017,tongue_left
256.174,1.017,tongue_left
258.6915,1.017,tongue_left
261.2089,1.017,tongue_left
263.7263,1.017,tongue_left
266.2438,1.017,tongue_left
268.7612,1.017,tongue_right
271.2787,1.017,tongue_right
273.7961,1.017,tongue_right
276.3135,1.017,tongue_right
278.831,1.017,tongue_right
281.3484,1.017,tongue_right
283.8658,1.017,tongue_right
286.3833,1.017,tongue_right
288.9007,1.017,tongue_right
291.4182,1.017,tongue_right
293.9356,3.0176,Bfix
296.9532,4.0179,Ins_repos
302.9717,1.017,fixation_left
305.4891,1.017,fixation_left
308.0066,1.017,fixation_left
310.524,1.017,fixation_left
313.0414,1.017,fixation_left
315.5589,1.017,fixation_left
318.0763,1.017,fixation_left
320.5938,1.017,fixation_left
323.1112,1.017,fixation_left
325.6286,1.017,fixation_left
328.1461,1.017,fixation_right
330.6635,1.017,fixation_right
333.1809,1.017,fixation_right
335.6984,1.017,fixation_right
338.2158,1.017,fixation_right
340.7333,1.017,fixation_right
343.2507,1.017,fixation_right
345.7681,1.017,fixation_right
348.2856,1.017,fixation_right
350.803,1.017,fixation_right
353.3204,3.0176,Bfix
356.338,4.0179,Ins_main
362.3565,1.017,hand_left
364.874,1.017,hand_left
367.3914,1.017,hand_left
369.9089,1.017,hand_left
372.4263,1.017,hand_left
374.9437,1.017,hand_left
377.4612,1.017,hand_left
379.9786,1.017,hand_left
382.496,1.017,hand_left
385.0135,1.017,hand_left
387.5309,1.017,hand_right
390.0484,1.017,hand_right
392.5658,1.017,hand_right
395.0832,1.017,hand_right
397.6007,1.017,hand_right
400.1181,1.017,hand_right
402.6355,1.017,hand_right
405.153,1.017,hand_right
407.6704,1.017,hand_right
410.1879,1.017,hand_right
412.7053,3.0176,Bfix
415.7229,4.0179,Ins_index
421.7414,1.017,finger_left
424.2588,1.017,finger_left
426.7763,1.017,finger_left
429.2937,1.017,finger_left
431.8111,1.017,finger_left
434.3286,1.017,finger_left
436.846,1.017,finger_left
439.3634,1.017,finger_left
441.8809,1.017,finger_left
444.3983,1.017,finger_left
446.9158,1.017,finger_right
449.4332,1.017,finger_right
451.9506,1.017,finger_right
454.4681,1.017,finger_right
456.9855,1.017,finger_right
459.5029,1.017,finger_right
462.0204,1.017,finger_right
464.5378,1.017,finger_right
467.0553,1.017,finger_right
469.5727,1.017,finger_right
472.0901,3.0176,Bfix
475.1244,4.0179,Ins_yeux
481.1429,1.017,saccade_left
483.6603,1.017,saccade_left
486.1778,1.017,saccade_left
488.6952,1.017,saccade_left
491.2127,1.017,saccade_left
493.7301,1.017,saccade_left
496.2475,1.017,saccade_left
498.765,1.017,saccade_left
501.2824,1.017,saccade_left
503.7998,1.017,saccade_left
506.3173,1.017,sacaade_right
508.8347,1.017,sacaade_right
511.3522,1.017,sacaade_right
513.8696,1.017,sacaade_right
516.387,1.017,sacaade_right
518.9045,1.017,sacaade_right
521.4219,1.017,sacaade_right
523.9393,1.017,sacaade_right
526.4568,1.017,sacaade_right
528.9742,1.017,sacaade_right
531.4917,3.0176,Bfix
534.5259,4.0179,Ins_jambe
540.5444,1.017,foot_left
543.0619,1.017,foot_left
545.5793,1.017,foot_left
548.0967,1.017,foot_left
550.6142,1.017,foot_left
553.1316,1.017,foot_left
555.649,1.017,foot_left
558.1665,1.017,foot_left
560.6839,1.017,foot_left
563.2014,1.017,foot_left
565.7188,1.017,foot_right
568.2362,1.017,foot_right
570.7537,1.017,foot_right
573.2711,1.017,foot_right
575.7885,1.017,foot_right
578.306,1.017,foot_right
580.8234,1.017,foot_right
583.3409,1.017,foot_right
585.8583,1.017,foot_right
588.3757,1.017,foot_right
590.8932,3.0176,Bfix
593.9108,4.0179,Ins_bouche
599.9293,1.017,tongue_left
602.4467,1.017,tongue_left
604.9641,1.017,tongue_left
607.4815,1.0171,tongue_left
609.999,1.017,tongue_left
612.5165,1.017,tongue_left
615.0339,1.017,tongue_left
617.5513,1.017,tongue_left
620.0688,1.017,tongue_left
622.5862,1.017,tongue_left
625.1036,1.017,tongue_right
627.6211,1.017,tongue_right
630.1385,1.017,tongue_right
632.656,1.017,tongue_right
635.1734,1.017,tongue_right
637.6908,1.017,tongue_right
640.2083,1.017,tongue_right
642.7257,1.017,tongue_right
645.2431,1.017,tongue_right
647.7606,1.017,tongue_right
650.278,3.0176,Bfix
653.2956,4.0179,Ins_repos
659.3141,1.017,fixation_left
661.8316,1.017,fixation_left
664.349,1.017,fixation_left
666.8664,1.017,fixation_left
669.3839,1.017,fixation_left
671.9013,1.017,fixation_left
674.4187,1.017,fixation_left
676.9362,1.017,fixation_left
679.4536,1.017,fixation_left
681.971,1.017,fixation_left
684.4885,1.017,fixation_right
687.0059,1.017,fixation_right
689.5234,1.017,fixation_right
692.0408,1.017,fixation_right
694.5582,1.017,fixation_right
697.0757,1.017,fixation_right
699.5931,1.017,fixation_right
702.1105,1.017,fixation_right
704.628,1.017,fixation_right
707.1454,1.017,fixation_right
