,onset,duration,trial_type,response
1,0.0227,10.0226,p_startup,other
7,10.062,0.4226,cross,other
8,10.5846,1.5226,6_letters_same,other
10,12.1071,3.0227,cross,other
14,16.6297,1.5226,response,hit
17,18.1523,1.5226,blank2,other
18,19.6916,0.4226,cross,other
20,20.2142,1.5226,4_letters_different,other
21,21.7368,3.0227,cross,other
26,26.2593,1.5225,response,hit
28,27.7819,2.5226,blank2,other
31,30.3211,0.4226,cross,other
32,30.8438,1.5226,6_letters_different,other
34,32.3663,3.0227,cross,other
38,36.8889,1.5226,response,hit
41,38.4115,1.5226,blank2,other
42,39.9507,0.4226,cross,other
44,40.4733,1.5226,2_letters_different,other
45,41.9959,3.0227,cross,other
50,46.5185,1.5226,response,hit
53,48.0411,2.0226,blank2,other
55,50.0804,0.4226,cross,other
56,50.6029,1.5226,6_letters_different,other
58,52.1255,3.0227,cross,other
62,56.6481,1.5226,response,hit
64,58.1706,4.5226,blank2,other
68,62.7099,0.4226,cross,other
69,63.2325,1.5226,2_letters_different,other
71,64.7551,3.0227,cross,other
75,69.2777,1.5226,response,hit
78,70.8002,3.5226,blank2,other
81,74.3395,0.4226,cross,other
82,74.8621,1.5226,6_letters_same,other
84,76.3847,3.0227,cross,other
88,80.9072,1.5226,response,hit
91,82.4298,4.5226,blank2,other
94,86.9691,0.4226,cross,other
95,87.475,1.5226,4_letters_same,other
97,88.9976,3.0227,cross,other
101,93.5201,1.5226,response,hit
104,95.0427,1.0226,blank2,other
106,96.082,0.4226,cross,other
107,96.6046,1.5226,2_letters_different,other
109,98.1271,3.0227,cross,other
113,102.6497,1.5226,response,hit
116,104.1723,2.0226,blank2,other
118,106.2115,0.4226,cross,other
119,106.7341,1.5226,4_letters_same,other
121,108.2567,3.0227,cross,other
125,112.7793,1.5226,response,hit
128,114.3019,3.0226,blank2,other
130,117.3411,0.4226,cross,other
131,117.8637,1.5226,4_letters_different,other
133,119.3863,3.0227,cross,other
137,123.9089,1.5226,response,hit
140,125.4315,4.0226,blank2,other
143,129.4707,0.4226,cross,other
144,129.9933,1.5226,2_letters_same,other
146,131.5159,3.0227,cross,other
151,136.0385,1.5226,response,hit
153,137.561,1.0226,blank2,other
155,138.6003,0.4226,cross,other
156,139.1229,1.5226,6_letters_different,other
158,140.6454,3.0227,cross,other
162,145.168,1.5226,response,hit
165,146.6906,3.0226,blank2,other
167,149.7298,0.4226,cross,other
169,150.2524,1.5226,6_letters_same,other
170,151.775,3.0227,cross,other
175,156.2976,1.5226,response,hit
177,157.8202,1.5226,blank2,other
179,159.3594,0.4226,cross,other
180,159.882,1.5226,6_letters_same,other
182,161.4046,3.0227,cross,other
186,165.9272,1.5226,response,hit
189,167.4498,2.0226,blank2,other
191,169.489,0.4226,cross,other
192,169.995,1.5226,2_letters_different,other
194,171.5175,3.0227,cross,other
199,176.0401,1.5226,response,hit
201,177.5627,4.0226,blank2,other
204,181.6019,0.4226,cross,other
206,182.1245,1.5226,2_letters_different,other
207,183.6471,3.0227,cross,other
212,188.1697,1.5226,response,hit
213,189.6922,1.5226,blank2,other
216,191.2315,0.4226,cross,other
217,191.7541,1.5226,6_letters_same,other
219,193.2767,3.0226,cross,other
223,197.7992,1.5226,response,hit
226,199.3218,2.0226,blank2,other
228,201.361,0.4226,cross,other
229,201.8836,1.5226,4_letters_different,other
231,203.4062,3.0227,cross,other
235,207.9288,1.5226,response,hit
238,209.4514,3.0226,blank2,other
241,212.4906,0.4226,cross,other
242,213.0132,1.5226,6_letters_same,other
244,214.5358,3.0227,cross,other
248,219.0584,1.5226,response,hit
251,220.5809,4.0226,blank2,other
254,224.6202,0.4226,cross,other
255,225.1428,1.5226,2_letters_different,other
257,226.6654,3.0227,cross,other
261,231.1879,1.5226,response,hit
264,232.7105,2.5226,blank2,other
266,235.2498,0.4226,cross,other
267,235.7724,1.5226,4_letters_same,other
269,237.295,3.0227,cross,other
273,241.8175,1.5226,response,hit
276,243.3401,1.0226,blank2,other
278,244.3793,0.4226,cross,other
279,244.902,1.5226,6_letters_different,other
281,246.4245,3.0227,cross,other
285,250.9471,1.5226,response,hit
288,252.4697,1.5226,blank2,other
290,254.0089,0.4226,cross,other
291,254.5149,1.5226,2_letters_same,other
293,256.0374,3.0227,cross,other
297,260.56,1.5226,response,hit
300,262.0826,6.0226,blank2,other
304,268.1218,0.4226,cross,other
305,268.6444,1.5226,4_letters_same,other
307,270.167,3.0227,cross,other
311,274.6896,1.5226,response,hit
314,276.2121,4.0226,blank2,other
317,280.2514,0.4226,cross,other
318,280.774,1.5226,4_letters_different,other
320,282.2966,3.0227,cross,other
324,286.8192,1.5226,response,hit
327,288.3417,1.5226,blank2,other
328,289.881,0.4226,cross,other
330,290.4036,1.5226,2_letters_same,other
331,291.9262,3.0226,cross,other
336,296.4487,1.5226,response,hit
338,297.9713,5.0226,blank2,other
342,303.0106,0.4226,cross,other
343,303.5332,1.5226,6_letters_different,other
345,305.0558,3.0227,cross,other
349,309.5783,1.5226,response,hit
352,311.1009,1.0226,blank2,other
354,312.1402,0.4226,cross,other
355,312.6628,1.5226,4_letters_same,other
357,314.1853,3.0226,cross,other
361,318.7079,1.5226,response,hit
364,320.2305,3.0226,blank2,other
366,323.2697,0.4226,cross,other
367,323.7923,1.5226,2_letters_same,other
369,325.3149,3.0228,cross,other
373,329.8375,1.5226,response,hit
376,331.36,6.0226,blank2,other
380,337.3993,0.4226,cross,other
381,337.9219,1.5226,2_letters_same,other
383,339.4445,3.0227,cross,other
387,343.9671,1.5226,response,hit
390,345.4897,3.0182,blank2,other
393,348.5246,0.4226,cross,other
394,349.0472,1.5226,2_letters_same,other
396,350.5697,3.0227,cross,other
400,355.0923,1.5226,response,hit
403,356.6149,1.5226,blank2,other
405,358.1541,0.4226,cross,other
406,358.6767,1.5226,4_letters_different,other
408,360.1993,3.0227,cross,other
412,364.7219,1.5226,response,hit
415,366.2444,5.5226,blank2,other
418,371.7837,0.4226,cross,other
420,372.3063,1.5226,4_letters_different,other
421,373.8289,3.0227,cross,other
426,378.3514,1.5226,response,hit
428,379.874,4.0226,blank2,other
431,383.9132,0.4226,cross,other
433,384.4358,1.5226,6_letters_different,other
434,385.9584,3.0227,cross,other
439,390.481,1.5226,response,hit
442,392.0036,4.0226,blank2,other
445,396.0428,0.4226,cross,other
446,396.5654,1.5226,4_letters_same,other
448,398.088,3.0227,cross,other
452,402.6106,1.5226,response,hit
455,404.1331,1.5226,blank2,other
