onset,duration,trial_type,response
0.0117,10.0197,p_startup,other
10.0481,0.4168,cross,other
10.5649,1.5171,6_letters_same,other
12.082,3.0176,cross,other
16.6001,1.5171,response,hit
18.1172,1.5171,blank2,other
19.651,0.4168,cross,other
20.1678,1.5171,4_letters_different,other
21.685,3.0176,cross,other
26.203,1.5171,response,hit
27.7201,2.5174,blank2,other
30.2543,0.4168,cross,other
30.7711,1.5171,6_letters_different,other
32.2882,3.0176,cross,other
36.8063,1.5171,response,hit
38.3234,1.5171,blank2,other
39.8572,0.4168,cross,other
40.374,1.5171,2_letters_different,other
41.8912,3.0176,cross,other
46.4092,1.5171,response,miss
47.9263,2.0173,blank2,other
49.9603,0.4168,cross,other
50.4771,1.5171,6_letters_different,other
51.9942,3.0176,cross,other
56.5123,1.5171,response,hit
58.0294,4.518,blank2,other
62.5641,0.4168,cross,other
63.081,1.5171,2_letters_different,other
64.5981,3.0176,cross,other
69.1162,1.5171,response,hit
70.6333,3.5177,blank2,other
74.1677,0.4168,cross,other
74.6845,1.5171,6_letters_same,other
76.2017,3.0176,cross,other
80.7197,1.5171,response,hit
82.2368,4.518,blank2,other
86.7716,0.4168,cross,other
87.2884,1.5171,4_letters_same,other
88.8055,3.0176,cross,other
93.3236,1.5171,response,hit
94.8407,1.017,blank2,other
95.8743,0.4168,cross,other
96.3912,1.5171,2_letters_different,other
97.9083,3.0176,cross,other
102.4263,1.5171,response,hit
103.9435,2.0173,blank2,other
105.9774,0.4168,cross,other
106.4943,1.5171,4_letters_same,other
108.0114,3.0176,cross,other
112.5294,1.5171,response,hit
114.0466,3.0176,blank2,other
117.0808,0.4168,cross,other
117.5977,1.5171,4_letters_different,other
119.1148,3.0176,cross,other
123.6328,1.5171,response,hit
125.15,4.0179,blank2,other
129.1845,0.4168,cross,other
129.7014,1.5171,2_letters_same,other
131.2185,3.0176,cross,other
135.7365,1.5171,response,hit
137.2537,1.017,blank2,other
138.2873,0.4168,cross,other
138.8042,1.5171,6_letters_different,other
140.3213,3.0176,cross,other
144.8393,1.5171,response,hit
146.3565,3.0176,blank2,other
149.3907,0.4168,cross,other
149.9076,1.5171,6_letters_same,other
151.4247,3.0176,cross,other
155.9427,1.5171,response,hit
157.4599,1.5171,blank2,other
158.9937,0.4168,cross,other
159.5105,1.5171,6_letters_same,other
161.0276,3.0176,cross,other
165.5457,1.5171,response,hit
167.0628,2.0173,blank2,other
169.0968,0.4168,cross,other
169.6136,1.5171,2_letters_different,other
171.1307,3.0176,cross,other
175.6488,1.5171,response,hit
177.1659,4.0179,blank2,other
181.2005,0.4168,cross,other
181.7173,1.5171,2_letters_different,other
183.2344,3.0176,cross,other
187.7525,1.5171,response,hit
189.2696,1.5171,blank2,other
190.8034,0.4168,cross,other
191.3202,1.5171,6_letters_same,other
192.8374,3.0176,cross,other
197.3554,1.5171,response,hit
198.8725,2.0173,blank2,other
200.9065,0.4168,cross,other
201.4233,1.5171,4_letters_different,other
202.9405,3.0176,cross,other
207.4585,1.5171,response,hit
208.9756,3.0176,blank2,other
212.0099,0.4168,cross,other
212.5267,1.5171,6_letters_same,other
214.0439,3.0176,cross,other
218.5619,1.5171,response,hit
220.079,4.0179,blank2,other
224.1136,0.4168,cross,other
224.6304,1.5171,2_letters_different,other
226.1476,3.0176,cross,other
230.6656,1.5171,response,hit
232.1827,2.5174,blank2,other
234.7168,0.4168,cross,other
235.2337,1.5171,4_letters_same,other
236.7508,3.0176,cross,other
241.2689,1.5171,response,hit
242.786,1.017,blank2,other
243.8196,0.4168,cross,other
244.3365,1.5171,6_letters_different,other
245.8536,3.0176,cross,other
250.3716,1.5171,response,hit
251.8888,1.5171,blank2,other
253.4226,0.4168,cross,other
253.9394,1.5171,2_letters_same,other
255.4565,3.0176,cross,other
259.9746,1.5171,response,hit
261.4917,6.0185,blank2,other
267.5269,0.4168,cross,other
268.0437,1.5171,4_letters_same,other
269.5608,3.0176,cross,other
274.0789,1.5171,response,hit
275.596,4.0179,blank2,other
279.6306,0.4168,cross,other
280.1474,1.5171,4_letters_different,other
281.6646,3.0176,cross,other
286.1826,1.5171,response,hit
287.6997,1.5171,blank2,other
289.2335,0.4168,cross,other
289.7504,1.5171,2_letters_same,other
291.2675,3.0176,cross,other
295.7855,1.5171,response,hit
297.3027,5.0182,blank2,other
302.3375,0.4168,cross,other
302.8544,1.5171,6_letters_different,other
304.3715,3.0176,cross,other
308.8896,1.5171,response,hit
310.4067,1.017,blank2,other
311.4403,0.4168,cross,other
311.9572,1.5171,4_letters_same,other
313.4743,3.0176,cross,other
317.9923,1.5171,response,hit
319.5095,3.0176,blank2,other
322.5437,0.4168,cross,other
323.0606,1.5171,2_letters_same,other
324.5777,3.0176,cross,other
329.0957,1.5171,response,hit
330.6129,6.0185,blank2,other
336.648,0.4168,cross,other
337.1649,1.5171,2_letters_same,other
338.682,3.0176,cross,other
343.2001,1.5171,response,hit
344.7172,3.0176,blank2,other
347.7514,0.4168,cross,other
348.2683,1.5171,2_letters_same,other
349.7854,3.0176,cross,other
354.3035,1.5171,response,hit
355.8206,1.5171,blank2,other
357.3544,0.4168,cross,other
357.8712,1.5171,4_letters_different,other
359.3883,3.0176,cross,other
363.9064,1.5171,response,hit
365.4235,5.5184,blank2,other
370.9586,0.4168,cross,other
371.4754,1.5171,4_letters_different,other
372.9925,3.0176,cross,other
377.5106,1.5171,response,hit
379.0277,4.0179,blank2,other
383.0623,0.4168,cross,other
383.5791,1.5171,6_letters_different,other
385.0962,3.0176,cross,other
389.6143,1.5171,response,hit
391.1314,4.0179,blank2,other
395.166,0.4168,cross,other
395.6828,1.5171,4_letters_same,other
397.1999,3.0176,cross,other
401.718,1.5171,response,hit
403.2351,1.5171,blank2,other
