,onset,duration,trial_type,response
1,0.0227,8.8226,p_startup,other
6,8.8619,0.4226,grid,other
7,9.2845,1.5226,61,other
9,10.8071,3.0226,maintenance,other
13,15.2845,1.5226,response,hit
16,16.8238,0.4226,grid,other
17,17.2464,1.5226,20,other
19,18.7689,3.0226,maintenance,other
23,23.2464,2.5226,response,hit
26,25.7856,0.4226,grid,other
28,26.2082,1.5226,20,other
29,27.7308,3.0226,maintenance,other
34,32.2082,4.5226,response,hit
38,36.7474,0.4226,grid,other
39,37.17,1.5226,41,other
41,38.6926,3.0226,maintenance,other
45,43.17,6.0226,response,miss
50,49.2093,0.4226,grid,other
51,49.6318,1.5226,21,other
53,51.1544,3.0226,maintenance,other
57,55.6318,2.0226,response,hit
60,57.6711,0.4226,grid,other
62,58.0936,1.5226,40,other
63,59.6162,3.0226,maintenance,other
68,64.0937,1.5226,response,hit
70,65.6329,0.4226,grid,other
72,66.0555,1.5226,21,other
73,67.5781,3.0226,maintenance,other
78,72.0555,1.5226,response,hit
80,73.5947,0.4226,grid,other
82,74.0173,1.5226,60,other
83,75.5399,3.0226,maintenance,other
88,80.0173,4.5226,response,hit
92,84.5565,0.4226,grid,other
93,84.9791,1.5226,21,other
95,86.5017,3.0226,maintenance,other
99,90.9791,1.0226,response,hit
102,92.0184,0.4226,grid,other
103,92.4409,1.5226,61,other
104,93.9635,3.0226,maintenance,other
109,98.4409,4.5226,response,hit
113,102.9802,0.4226,grid,other
114,103.4028,1.5226,60,other
116,104.9253,3.0226,maintenance,other
120,109.4028,3.5226,response,hit
124,112.942,0.4226,grid,other
125,113.3646,1.5226,21,other
127,114.8872,3.0226,maintenance,other
131,119.3646,1.5226,response,hit
134,120.9039,0.4226,grid,other
135,121.3265,1.5226,41,other
137,122.849,3.0226,maintenance,other
141,127.3265,1.5226,response,hit
144,128.8657,0.4226,grid,other
145,129.2883,1.5226,60,other
147,130.8108,3.0226,maintenance,other
151,135.2883,2.5226,response,hit
154,137.8275,0.4226,grid,other
156,138.2501,1.5226,41,other
157,139.7727,3.0226,maintenance,other
162,144.2501,3.5226,response,hit
165,147.7894,0.4226,grid,other
167,148.2119,1.5226,61,other
168,149.7345,3.0226,maintenance,other
173,154.2119,1.5226,response,hit
175,155.7512,0.4226,grid,other
177,156.1738,1.5226,41,other
178,157.6964,3.0226,maintenance,other
183,162.1738,2.0226,response,hit
186,164.213,0.4226,grid,other
187,164.6356,1.5226,40,other
189,166.1582,3.0226,maintenance,other
193,170.6356,4.0226,response,hit
197,174.6748,0.4226,grid,other
198,175.0974,1.5226,60,other
200,176.62,3.0226,maintenance,other
204,181.0974,6.0226,response,hit
209,187.1366,0.4226,grid,other
210,187.5592,1.5226,61,other
212,189.0818,3.0226,maintenance,other
216,193.5593,3.0226,response,hit
220,196.5985,0.4226,grid,other
221,197.0211,1.5226,61,other
223,198.5436,3.0226,maintenance,other
227,203.0211,2.5226,response,hit
230,205.5603,0.4226,grid,other
231,205.9829,1.5226,20,other
233,207.5055,3.0226,maintenance,other
237,211.9829,1.5226,response,hit
240,213.5222,0.4226,grid,other
241,213.9448,1.5226,40,other
243,215.4673,3.0226,maintenance,other
247,219.9448,1.5226,response,hit
250,221.484,0.4226,grid,other
251,221.9066,1.5226,41,other
253,223.4292,3.0226,maintenance,other
257,227.9066,3.5226,response,hit
261,231.4459,0.4226,grid,other
262,231.8684,1.5226,41,other
264,233.391,3.0226,maintenance,other
268,237.8684,2.5226,response,hit
272,240.4077,0.4226,grid,other
273,240.8303,1.5226,40,other
275,242.3529,3.0226,maintenance,other
279,246.8303,3.0226,response,hit
282,249.8696,0.4226,grid,other
284,250.2922,1.5226,20,other
285,251.8148,3.0226,maintenance,other
290,256.2922,4.5226,response,hit
294,260.8314,0.4226,grid,other
295,261.254,1.5226,40,other
297,262.7766,3.0226,maintenance,other
301,267.254,4.5226,response,hit
305,271.7932,0.4226,grid,other
307,272.2158,1.5226,61,other
308,273.7384,3.0226,maintenance,other
313,278.2158,3.0226,response,hit
316,281.2551,0.4226,grid,other
317,281.6776,1.5226,21,other
319,283.2002,3.0226,maintenance,other
323,287.6776,1.5226,response,hit
326,289.2169,0.4226,grid,other
327,289.6395,1.5226,60,other
329,291.162,3.0226,maintenance,other
333,295.6395,1.5226,response,hit
336,297.1787,0.4226,grid,other
337,297.6013,1.5226,20,other
339,299.1239,3.0226,maintenance,other
343,303.6013,5.0226,response,hit
348,308.6405,0.4226,grid,other
349,309.0631,1.5226,20,other
351,310.5857,3.0225,maintenance,other
355,315.0631,6.0226,response,hit
360,321.1024,0.4226,grid,other
361,321.5249,1.5226,40,other
363,323.0475,3.0226,maintenance,other
367,327.5249,4.5226,response,hit
372,332.0642,0.4226,grid,other
373,332.4868,1.5226,60,other
375,334.0093,3.0226,maintenance,other
379,338.4868,4.0226,response,hit
383,342.5261,0.4226,grid,other
384,342.9486,1.5226,21,other
386,344.4712,3.0226,maintenance,other
390,348.9486,1.5226,response,hit
