onset,duration,trial_type,response
0.0228,8.8226,p_startup,other
8.8621,0.4226,grid,other
9.2847,1.5226,6_dots,other
10.8072,3.0226,maintenance,other
15.2847,1.0225,response,miss
16.3239,0.4226,grid,other
16.7464,1.5226,2_dots_control,other
18.269,3.0226,maintenance,other
22.7465,2.0226,response,miss
24.7857,0.4226,grid,other
25.2083,1.5226,2_dots,other
26.7309,3.0226,maintenance,other
31.2083,3.0226,response,miss
34.2475,0.4226,grid,other
34.6701,1.5226,4_dots,other
36.1927,3.0226,maintenance,other
40.6701,2.0226,response,miss
42.7094,0.4226,grid,other
43.1319,1.5226,6_dots_control,other
44.6545,3.0226,maintenance,other
49.1319,1.5226,response,miss
50.6712,0.4226,grid,other
51.0938,1.5226,4_dots,other
52.6164,3.0226,maintenance,other
57.0938,1.0226,response,miss
58.133,0.4226,grid,other
58.5556,1.5226,4_dots_control,other
60.0781,3.0226,maintenance,other
64.5556,1.5226,response,miss
66.0948,0.4226,grid,other
66.5174,1.5226,6_dots_control,other
68.0399,3.0225,maintenance,other
72.5174,2.5226,response,miss
75.0566,0.4226,grid,other
75.4792,1.5226,4_dots_control,other
77.0018,3.0226,maintenance,other
81.4792,3.5226,response,miss
85.0185,0.4226,grid,other
85.4411,1.5226,6_dots_control,other
86.9637,3.0226,maintenance,other
91.4411,4.5226,response,miss
95.9803,0.4226,grid,other
96.4029,1.5226,2_dots,other
97.9255,3.0226,maintenance,other
102.4029,1.5226,response,miss
103.9421,0.4226,grid,other
104.3647,1.5226,4_dots,other
105.8873,3.0226,maintenance,other
110.3647,3.0225,response,miss
113.4039,0.4226,grid,other
113.8265,1.5226,4_dots_control,other
115.3491,3.0226,maintenance,other
119.8265,2.0226,response,miss
121.8658,0.4226,grid,other
122.2883,1.5226,6_dots,other
123.8109,3.0226,maintenance,other
128.2883,1.5226,response,miss
129.8276,0.4226,grid,other
130.2501,1.5226,2_dots,other
131.7727,3.0226,maintenance,other
136.2501,4.0226,response,miss
140.2894,0.4226,grid,other
140.712,1.5226,2_dots_control,other
142.2346,3.0226,maintenance,other
146.712,2.0226,response,miss
148.7512,0.4226,grid,other
149.1738,1.5226,2_dots,other
150.6964,3.0226,maintenance,other
155.1738,3.0226,response,miss
158.213,0.4226,grid,other
158.6356,1.5226,6_dots,other
160.1582,3.0226,maintenance,other
164.6356,1.0226,response,miss
165.6749,0.4226,grid,other
166.0974,1.5226,2_dots,other
167.62,3.0225,maintenance,other
172.0974,3.5226,response,miss
175.6367,0.4226,grid,other
176.0592,1.5226,2_dots,other
177.5819,3.0226,maintenance,other
182.0593,2.5226,response,miss
184.5985,0.4226,grid,other
185.0211,1.5226,4_dots_control,other
186.5437,3.0225,maintenance,other
191.0211,5.5226,response,miss
196.5604,0.4226,grid,other
196.9829,1.5226,4_dots,other
198.5055,3.0226,maintenance,other
202.9829,1.5226,response,miss
204.5222,0.4226,grid,other
204.9448,1.5226,6_dots_control,other
206.4674,3.0225,maintenance,other
210.9448,5.0226,response,miss
215.984,0.4226,grid,other
216.4066,1.5226,6_dots,other
217.9292,3.0226,maintenance,other
222.4066,6.0226,response,miss
228.4459,0.4226,grid,other
228.8684,1.5226,4_dots_control,other
230.391,3.0226,maintenance,other
234.8684,2.0226,response,miss
236.9077,0.4226,grid,other
237.3303,1.5226,2_dots_control,other
238.8529,3.0226,maintenance,other
243.3303,1.5226,response,miss
244.8695,0.4226,grid,other
245.2921,1.5226,6_dots,other
246.8147,3.0226,maintenance,other
251.2921,4.0226,response,miss
255.3314,0.4226,grid,other
255.7539,1.5226,6_dots_control,other
257.2765,3.0226,maintenance,other
261.754,6.0226,response,miss
267.7932,0.4226,grid,other
268.2158,1.5226,4_dots,other
269.7383,3.0226,maintenance,other
274.2158,3.0226,response,miss
277.255,0.4226,grid,other
277.6776,1.5226,6_dots,other
279.2002,3.0226,maintenance,other
283.6776,4.0226,response,miss
287.7169,0.4226,grid,other
288.1395,1.5226,2_dots_control,other
289.662,3.0226,maintenance,other
294.1395,3.5226,response,miss
297.6787,0.4226,grid,other
298.1013,1.5226,2_dots_control,other
299.6239,3.0226,maintenance,other
304.1013,1.5226,response,miss
305.6405,0.4226,grid,other
306.0631,1.5226,4_dots_control,other
307.5857,3.0226,maintenance,other
312.0631,2.0226,response,miss
314.1023,0.4226,grid,other
314.5249,1.5226,2_dots_control,other
316.0475,3.0226,maintenance,other
320.5249,5.5226,response,miss
326.0642,0.4226,grid,other
326.4867,1.5226,2_dots,other
328.0093,3.0226,maintenance,other
332.4868,6.0226,response,miss
338.526,0.4226,grid,other
338.9486,1.5226,6_dots_control,other
340.4712,3.0225,maintenance,other
344.9486,3.0226,response,miss
347.9879,7.1974,Bfix,other
