onset,duration,trial_type,response
0.0228,5.0453,Bfix,other
5.0681,0.2226,10,other
6.5466,0.2226,30,other
7.9085,0.2226,6_dots,other
9.2703,0.2226,6_dots,other
10.7488,0.2226,10,other
12.2106,0.2226,6_dots,other
13.5891,0.2226,10,other
14.9509,0.2226,6_dots,other
16.3127,0.2226,6_dots,other
17.7913,0.2226,30,other
19.1698,0.2226,10,other
20.5316,0.2226,6_dots,other
21.8101,0.2226,30,other
23.1719,0.2226,70,other
24.6504,0.2226,10,other
26.1289,0.2226,80,other
27.3907,0.2226,70,other
28.8692,0.2226,30,other
30.1477,0.2167,30,other
31.6037,0.2226,6_dots,other
33.0655,0.2226,70,other
34.4273,0.2225,70,other
35.8058,0.2226,10,other
37.1843,0.2226,10,other
38.5628,0.2226,30,other
39.9246,5.0266,Bfix,other
44.9512,0.2226,70,other
46.2297,0.2226,10,other
47.5082,0.2226,80,other
48.7867,0.2226,10,other
50.2485,0.2226,70,other
51.6104,0.2226,6_dots,other
52.8722,0.2226,70,other
54.1507,0.2226,30,other
55.4292,0.2226,30,other
56.891,0.2226,70,other
58.3695,0.2226,30,other
59.6313,0.2226,6_dots,other
61.0931,0.2226,6_dots,other
62.5716,0.2226,30,other
64.0335,0.2225,6_dots,other
65.4119,0.2226,10,other
66.8904,0.2226,10,other
68.1689,0.2226,30,other
69.5474,0.2226,80,other
70.8092,0.2226,6_dots,other
72.071,5.0228,Bfix,other
77.0939,0.2226,70,other
78.3557,0.2226,6_dots,other
79.8509,0.2226,30,other
81.3127,0.2226,70,other
82.5912,0.2226,80,other
84.053,0.2226,6_dots,other
85.3148,0.2226,6_dots,other
86.6933,0.2226,30,other
88.0718,0.2226,10,other
89.3503,0.2226,30,other
90.8121,0.2226,6_dots,other
92.274,0.2226,6_dots,other
93.5691,0.2226,30,other
94.931,0.2226,6_dots,other
96.2094,0.2226,10,other
97.4712,0.2227,6_dots,other
98.9331,0.2226,70,other
100.3116,0.2226,10,other
101.7734,0.2226,70,other
103.1519,0.2226,30,other
104.4304,0.2226,30,other
105.6922,0.2226,6_dots,other
107.0707,0.2226,30,other
108.5492,0.2226,30,other
109.8277,0.2226,30,other
111.2061,0.2226,30,other
112.668,0.2226,6_dots,other
114.0298,0.2226,70,other
115.3916,0.2226,6_dots,other
116.7701,0.2226,10,other
118.0319,5.0263,Bfix,other
123.0583,0.2226,70,other
124.3368,0.2226,10,other
125.5986,0.2226,70,other
126.9604,0.2226,70,other
128.4222,0.2226,70,other
129.8007,0.2226,30,other
131.0625,0.2226,70,other
