Scenario - loca_mcse_ts
Logfile written - 06/12/2018 09:19:35

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sub-12_ts	0	Pulse	255	1150142	1150142	0
sub-12_ts	2	Picture	Bfix	1160290	0	1	201169	1	0	200000	other	0
sub-12_ts	3	Picture	11	1371459	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	4	Picture	12	1407530	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	5	Picture	11	1443592	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	6	Picture	12	1479434	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	7	Picture	11	1515436	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	8	Picture	Bfix	1540667	0	1	200819	1	0	200000	other	0
sub-12_ts	9	Picture	61	1751485	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	10	Picture	62	1787647	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	11	Picture	61	1823409	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	12	Picture	61	1859241	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	13	Picture	61	1895071	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	14	Picture	Bfix	1920302	0	1	200065	1	0	200000	other	0
sub-12_ts	15	Picture	11	2131354	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	16	Picture	11	2167325	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	17	Picture	11	2203437	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	18	Picture	12	2239484	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	19	Picture	11	2275324	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	20	Picture	Bfix	2300556	0	1	200931	1	0	200000	other	0
sub-12_ts	21	Picture	61	2511486	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	22	Picture	62	2547652	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	23	Picture	61	2583543	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	24	Picture	61	2619686	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	25	Picture	62	2655457	10000	1	25065	1	10000	25000	miss	0
sub-12_ts	26	Picture	Bfix	2680688	0	1	206163	1	0	200000	other	0
