Scenario - loca_mcse_ts
Logfile written - 11/12/2018 13:53:22

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

training	0	Pulse	255	18989	18989	0
training	2	Picture	Bfix	29270	0	1	200664	1	0	200000	other	0
training	3	Picture	11	239934	10000	1	25065	1	10000	25000	miss	0
training	4	Picture	12	275732	10000	1	25065	1	10000	25000	miss	0
training	5	Picture	11	311458	10000	1	25065	1	10000	25000	miss	0
training	6	Picture	12	347186	10000	1	25065	1	10000	25000	miss	0
training	7	Picture	11	383002	10000	1	25065	1	10000	25000	miss	0
training	8	Picture	Bfix	408233	0	1	200868	1	0	200000	other	0
training	9	Picture	61	619100	10000	1	25065	1	10000	25000	miss	0
training	10	Picture	62	654870	10000	1	25065	1	10000	25000	miss	0
training	11	Picture	61	690599	10000	1	25065	1	10000	25000	miss	0
training	12	Picture	61	726333	10000	1	25065	1	10000	25000	miss	0
training	13	Picture	61	762060	10000	1	25065	1	10000	25000	miss	0
training	14	Picture	Bfix	787291	0	1	200708	1	0	200000	other	0
training	15	Picture	11	997998	10000	1	25065	1	10000	25000	miss	0
training	16	Picture	11	1033723	10000	1	25065	1	10000	25000	miss	0
training	17	Picture	11	1069452	10000	1	25065	1	10000	25000	miss	0
training	18	Picture	12	1105182	10000	1	25065	1	10000	25000	miss	0
training	19	Picture	11	1140833	10000	1	25065	1	10000	25000	miss	0
training	20	Picture	Bfix	1166065	0	1	200700	1	0	200000	other	0
training	21	Picture	61	1376764	10000	1	25065	1	10000	25000	miss	0
training	22	Picture	62	1412563	10000	1	25068	1	10000	25000	miss	0
training	23	Picture	61	1448244	10000	1	25065	1	10000	25000	miss	0
training	24	Picture	61	1483966	10000	1	25065	1	10000	25000	miss	0
training	25	Picture	62	1519764	10000	1	25065	1	10000	25000	miss	0
training	26	Picture	Bfix	1544995	0	1	206093	1	0	200000	other	0
