Scenario - loca_moto
Logfile written - 06/12/2018 09:14:15

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sub-12_ts	0	Pulse	255	29402	29402	0
sub-12_ts	1	Picture	Ins_main	29469	0	1	40065	1	0	40000	other	0
sub-12_ts	2	Picture	11	89535	0	1	10065	1	0	10000	other	0
sub-12_ts	3	Picture	11	114601	0	1	10065	1	0	10000	other	0
sub-12_ts	4	Picture	11	139666	0	1	10065	1	0	10000	other	0
sub-12_ts	5	Picture	12	164732	0	1	10065	1	0	10000	other	0
sub-12_ts	6	Picture	12	189798	0	1	10065	1	0	10000	other	0
sub-12_ts	7	Picture	12	214864	0	1	10065	1	0	10000	other	0
sub-12_ts	8	Picture	Bfix	239930	0	1	30067	1	0	30000	other	0
sub-12_ts	9	Picture	Ins_index	269997	0	1	40065	1	0	40000	other	0
sub-12_ts	10	Picture	21	330063	0	1	10065	1	0	10000	other	0
sub-12_ts	11	Picture	21	355129	0	1	10065	1	0	10000	other	0
sub-12_ts	12	Picture	21	380195	0	1	10065	1	0	10000	other	0
sub-12_ts	13	Picture	22	405261	0	1	10065	1	0	10000	other	0
sub-12_ts	14	Picture	22	430327	0	1	10065	1	0	10000	other	0
sub-12_ts	15	Picture	22	455393	0	1	10065	1	0	10000	other	0
sub-12_ts	16	Picture	Bfix	480458	0	1	30065	1	0	30000	other	0
sub-12_ts	17	Picture	Ins_yeux	510690	0	1	40065	1	0	40000	other	0
sub-12_ts	18	Picture	31	570756	0	1	10065	1	0	10000	other	0
sub-12_ts	19	Picture	31	595822	0	1	10065	1	0	10000	other	0
sub-12_ts	20	Picture	31	620888	0	1	10065	1	0	10000	other	0
sub-12_ts	21	Picture	32	645955	0	1	10065	1	0	10000	other	0
sub-12_ts	22	Picture	32	671021	0	1	10065	1	0	10000	other	0
sub-12_ts	23	Picture	32	696088	0	1	10065	1	0	10000	other	0
sub-12_ts	24	Picture	Bfix	721154	0	1	30068	1	0	30000	other	0
sub-12_ts	25	Picture	Ins_jambe	751222	0	1	40065	1	0	40000	other	0
sub-12_ts	26	Picture	51	811288	0	1	10065	1	0	10000	other	0
sub-12_ts	27	Picture	51	836354	0	1	10065	1	0	10000	other	0
sub-12_ts	28	Picture	51	861420	0	1	10065	1	0	10000	other	0
sub-12_ts	29	Picture	52	886486	0	1	10065	1	0	10000	other	0
sub-12_ts	30	Picture	52	911552	0	1	10065	1	0	10000	other	0
sub-12_ts	31	Picture	52	936618	0	1	10065	1	0	10000	other	0
sub-12_ts	32	Picture	Bfix	961684	0	1	30065	1	0	30000	other	0
sub-12_ts	33	Picture	Ins_bouche	991916	0	1	40065	1	0	40000	other	0
sub-12_ts	34	Picture	61	1051982	0	1	10065	1	0	10000	other	0
sub-12_ts	35	Picture	61	1077048	0	1	10065	1	0	10000	other	0
sub-12_ts	36	Picture	61	1102114	0	1	10065	1	0	10000	other	0
sub-12_ts	37	Picture	62	1127181	0	1	10065	1	0	10000	other	0
sub-12_ts	38	Picture	62	1152247	0	1	10065	1	0	10000	other	0
sub-12_ts	39	Picture	62	1177313	0	1	10065	1	0	10000	other	0
sub-12_ts	40	Picture	Bfix	1202379	0	1	30068	1	0	30000	other	0
sub-12_ts	41	Picture	Ins_repos	1232447	0	1	40065	1	0	40000	other	0
sub-12_ts	42	Picture	71	1292513	0	1	10065	1	0	10000	other	0
sub-12_ts	43	Picture	71	1317579	0	1	10065	1	0	10000	other	0
sub-12_ts	44	Picture	71	1342646	0	1	10065	1	0	10000	other	0
sub-12_ts	45	Picture	72	1367711	0	1	10065	1	0	10000	other	0
sub-12_ts	46	Picture	72	1392778	0	1	10065	1	0	10000	other	0
sub-12_ts	47	Picture	72	1417844	0	1	10065	1	0	10000	other	0
