Scenario - loca_moto
Logfile written - 11/12/2018 13:58:13

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

training	0	Pulse	255	278584	278584	0
training	1	Picture	Ins_main	278652	0	1	40065	1	0	40000	other	0
training	2	Picture	11	338717	0	1	10065	1	0	10000	other	0
training	3	Picture	11	363783	0	1	10065	1	0	10000	other	0
training	4	Picture	11	388849	0	1	10065	1	0	10000	other	0
training	5	Picture	12	413914	0	1	10065	1	0	10000	other	0
training	6	Picture	12	438980	0	1	10065	1	0	10000	other	0
training	7	Picture	12	464046	0	1	10065	1	0	10000	other	0
training	8	Picture	Bfix	489112	0	1	30067	1	0	30000	other	0
training	9	Picture	Ins_index	519179	0	1	40065	1	0	40000	other	0
training	10	Picture	21	579245	0	1	10065	1	0	10000	other	0
training	11	Picture	21	604310	0	1	10065	1	0	10000	other	0
training	12	Picture	21	629376	0	1	10065	1	0	10000	other	0
training	13	Picture	22	654442	0	1	10065	1	0	10000	other	0
training	14	Picture	22	679507	0	1	10065	1	0	10000	other	0
training	15	Picture	22	704573	0	1	10065	1	0	10000	other	0
training	16	Picture	Bfix	729639	0	1	30065	1	0	30000	other	0
training	17	Picture	Ins_yeux	759870	0	1	40075	1	0	40000	other	0
training	18	Picture	31	819936	0	1	10065	1	0	10000	other	0
training	19	Picture	31	845002	0	1	10065	1	0	10000	other	0
training	20	Picture	31	870067	0	1	10065	1	0	10000	other	0
training	21	Picture	32	895133	0	1	10065	1	0	10000	other	0
training	22	Picture	32	920199	0	1	10065	1	0	10000	other	0
training	23	Picture	32	945264	0	1	10065	1	0	10000	other	0
training	24	Picture	Bfix	970369	0	1	30067	1	0	30000	other	0
training	25	Picture	Ins_jambe	1000436	0	1	40065	1	0	40000	other	0
training	26	Picture	51	1060502	0	1	10065	1	0	10000	other	0
training	27	Picture	51	1085568	0	1	10065	1	0	10000	other	0
training	28	Picture	51	1110633	0	1	10065	1	0	10000	other	0
training	29	Picture	52	1135699	0	1	10065	1	0	10000	other	0
training	30	Picture	52	1160765	0	1	10065	1	0	10000	other	0
training	31	Picture	52	1185831	0	1	10065	1	0	10000	other	0
training	32	Picture	Bfix	1210897	0	1	30067	1	0	30000	other	0
training	33	Picture	Ins_bouche	1240965	0	1	40065	1	0	40000	other	0
training	34	Picture	61	1301031	0	1	10065	1	0	10000	other	0
training	35	Picture	61	1326096	0	1	10065	1	0	10000	other	0
training	36	Picture	61	1351162	0	1	10065	1	0	10000	other	0
training	37	Picture	62	1376228	0	1	10065	1	0	10000	other	0
training	38	Picture	62	1401294	0	1	10065	1	0	10000	other	0
training	39	Picture	62	1426360	0	1	10065	1	0	10000	other	0
training	40	Picture	Bfix	1451426	0	1	30068	1	0	30000	other	0
training	41	Picture	Ins_repos	1481494	0	1	40065	1	0	40000	other	0
training	42	Picture	71	1541560	0	1	10065	1	0	10000	other	0
training	43	Picture	71	1566626	0	1	10065	1	0	10000	other	0
training	44	Picture	71	1591692	0	1	10065	1	0	10000	other	0
training	45	Picture	72	1616758	0	1	10067	1	0	10000	other	0
training	46	Picture	72	1641824	0	1	10065	1	0	10000	other	0
training	47	Picture	72	1666890	0	1	10065	1	0	10000	other	0
