Scenario - loca_mveb_ts
Logfile written - 06/12/2018 09:23:05

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sub-12_ts	1	Picture	p_startup	10167	0	1	100065	1	0	100000	other	0
sub-12_ts	1	Pulse	255	635575	625409	0
sub-12_ts	2	Picture	p_startup	635641	0	1	100065	1	0	100000	other	0
sub-12_ts	3	Picture	cross	735873	0	1	4065	1	0	4000	other	0
sub-12_ts	3	Picture	61	740939	5065	1	15065	1	5000	15000	other	0
sub-12_ts	3	Picture	cross	756004	20131	1	30066	1	20000	30000	other	0
sub-12_ts	3	Nothing	90	786004	50131	1			50000		other	0
sub-12_ts	3	Picture	response	801069	65196	1	15065	1	65000	15000	miss	0
sub-12_ts	3	Picture	blank2	816134	80261	1	15065	1	80000	15000	other	0
sub-12_ts	4	Picture	cross	831366	0	1	4065	1	0	4000	other	0
sub-12_ts	4	Picture	40	836431	5065	1	15065	1	5000	15000	other	0
sub-12_ts	4	Picture	cross	851496	20131	1	30066	1	20000	30000	other	0
sub-12_ts	4	Nothing	45	881496	50131	1			50000		other	0
sub-12_ts	4	Picture	response	896562	65196	1	15065	1	65000	15000	miss	0
sub-12_ts	4	Picture	blank2	911627	80261	1	15065	1	80000	15000	other	0
sub-12_ts	5	Picture	cross	926858	0	1	4065	1	0	4000	other	0
sub-12_ts	5	Picture	60	931924	5065	1	15065	1	5000	15000	other	0
sub-12_ts	5	Picture	cross	946989	20131	1	30066	1	20000	30000	other	0
sub-12_ts	5	Nothing	65	976989	50131	1			50000		other	0
sub-12_ts	5	Picture	response	992054	65196	1	15065	1	65000	15000	miss	0
sub-12_ts	5	Picture	blank2	1007119	80261	1	15065	1	80000	15000	other	0
sub-12_ts	6	Picture	cross	1022351	0	1	4065	1	0	4000	other	0
sub-12_ts	6	Picture	40	1027417	5066	1	15065	1	5000	15000	other	0
sub-12_ts	6	Picture	cross	1042482	20131	1	30066	1	20000	30000	other	0
sub-12_ts	6	Nothing	45	1072482	50131	1			50000		other	0
sub-12_ts	6	Picture	response	1087548	65196	1	15065	1	65000	15000	miss	0
sub-12_ts	6	Picture	blank2	1102613	80262	1	30065	1	80000	30000	other	0
sub-12_ts	7	Picture	cross	1132845	0	1	4065	1	0	4000	other	0
sub-12_ts	7	Picture	60	1137910	5065	1	15065	1	5000	15000	other	0
sub-12_ts	7	Picture	cross	1152975	20131	1	30066	1	20000	30000	other	0
sub-12_ts	7	Nothing	65	1182975	50131	1			50000		other	0
sub-12_ts	7	Picture	response	1198040	65196	1	15065	1	65000	15000	miss	0
sub-12_ts	7	Picture	blank2	1213106	80261	1	45065	1	80000	45000	other	0
sub-12_ts	8	Picture	cross	1258338	0	1	4065	1	0	4000	other	0
sub-12_ts	8	Picture	40	1263403	5065	1	15065	1	5000	15000	other	0
sub-12_ts	8	Picture	cross	1278468	20131	1	30066	1	20000	30000	other	0
sub-12_ts	8	Nothing	45	1308468	50131	1			50000		other	0
sub-12_ts	8	Picture	response	1323533	65196	1	15065	1	65000	15000	miss	0
sub-12_ts	8	Picture	blank2	1338598	80261	1	40065	1	80000	40000	other	0
sub-12_ts	9	Picture	cross	1378830	0	1	4065	1	0	4000	other	0
sub-12_ts	9	Picture	61	1383896	5066	1	15065	1	5000	15000	other	0
sub-12_ts	9	Picture	cross	1398961	20131	1	30066	1	20000	30000	other	0
sub-12_ts	9	Nothing	90	1428961	50131	1			50000		other	0
sub-12_ts	9	Picture	response	1444026	65196	1	15065	1	65000	15000	miss	0
sub-12_ts	9	Picture	blank2	1459091	80261	1	45065	1	80000	45000	other	0
sub-12_ts	10	Picture	cross	1504323	0	1	4065	1	0	4000	other	0
sub-12_ts	10	Picture	40	1509388	5065	1	15065	1	5000	15000	other	0
sub-12_ts	10	Picture	cross	1524453	20130	1	30066	1	20000	30000	other	0
sub-12_ts	10	Nothing	45	1554453	50130	1			50000		other	0
sub-12_ts	10	Picture	response	1569518	65195	1	15065	1	65000	15000	miss	0
sub-12_ts	10	Picture	blank2	1584583	80260	1	40065	1	80000	40000	other	0
sub-12_ts	11	Picture	cross	1624815	0	1	4065	1	0	4000	other	0
sub-12_ts	11	Picture	20	1629880	5065	1	15065	1	5000	15000	other	0
sub-12_ts	11	Picture	cross	1644944	20130	1	30066	1	20000	30000	other	0
sub-12_ts	11	Nothing	25	1674944	50130	1			50000		other	0
sub-12_ts	11	Picture	response	1690009	65195	1	15065	1	65000	15000	miss	0
sub-12_ts	11	Picture	blank2	1705074	80260	1	20065	1	80000	20000	other	0
sub-12_ts	12	Picture	cross	1725306	0	1	4065	1	0	4000	other	0
sub-12_ts	12	Picture	41	1730371	5065	1	15065	1	5000	15000	other	0
sub-12_ts	12	Picture	cross	1745436	20130	1	30066	1	20000	30000	other	0
sub-12_ts	12	Nothing	90	1775436	50130	1			50000		other	0
sub-12_ts	12	Picture	response	1790501	65195	1	15065	1	65000	15000	miss	0
sub-12_ts	12	Picture	blank2	1805566	80260	1	30065	1	80000	30000	other	0
