Scenario - loca_mveb_ts
Logfile written - 11/26/2018 17:30:56

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sub-13	1	Picture	p_startup	10167	0	1	100065	1	0	100000	other	0
sub-13	1	Pulse	255	27951	17785	0
sub-13	2	Picture	p_startup	110398	0	1	100065	1	0	100000	other	0
sub-13	3	Picture	cross	210630	0	1	4065	1	0	4000	other	0
sub-13	3	Picture	61	215695	5065	1	15065	1	5000	15000	other	0
sub-13	3	Picture	cross	230760	20131	1	30066	1	20000	30000	other	0
sub-13	3	Nothing	90	260760	50131	1			50000		other	0
sub-13	3	Picture	response	275826	65196	1	15065	1	65000	15000	miss	0
sub-13	3	Picture	blank2	290891	80261	1	15065	1	80000	15000	other	0
sub-13	4	Picture	cross	306122	0	1	4065	1	0	4000	other	0
sub-13	4	Picture	40	311188	5065	1	15065	1	5000	15000	other	0
sub-13	4	Picture	cross	326253	20130	1	30066	1	20000	30000	other	0
sub-13	4	Nothing	45	356253	50130	1			50000		other	0
sub-13	4	Picture	response	371318	65195	1	15065	1	65000	15000	miss	0
sub-13	4	Picture	blank2	386383	80261	1	15065	1	80000	15000	other	0
sub-13	5	Picture	cross	401615	0	1	4065	1	0	4000	other	0
sub-13	5	Picture	60	406680	5065	1	15065	1	5000	15000	other	0
sub-13	5	Picture	cross	421745	20131	1	30066	1	20000	30000	other	0
sub-13	5	Nothing	65	451745	50131	1			50000		other	0
sub-13	5	Picture	response	466810	65196	1	15065	1	65000	15000	miss	0
sub-13	5	Picture	blank2	481876	80261	1	15065	1	80000	15000	other	0
sub-13	6	Picture	cross	497107	0	1	4065	1	0	4000	other	0
sub-13	6	Picture	40	502173	5065	1	15065	1	5000	15000	other	0
sub-13	6	Picture	cross	517238	20130	1	30066	1	20000	30000	other	0
sub-13	6	Nothing	45	547238	50130	1			50000		other	0
sub-13	6	Picture	response	562303	65196	1	15065	1	65000	15000	miss	0
sub-13	6	Picture	blank2	577368	80261	1	30065	1	80000	30000	other	0
sub-13	7	Picture	cross	607600	0	1	4065	1	0	4000	other	0
sub-13	7	Picture	60	612665	5065	1	15065	1	5000	15000	other	0
sub-13	7	Picture	cross	627730	20131	1	30066	1	20000	30000	other	0
sub-13	7	Nothing	65	657730	50131	1			50000		other	0
sub-13	7	Picture	response	672795	65196	1	15065	1	65000	15000	miss	0
sub-13	7	Picture	blank2	687861	80261	1	45065	1	80000	45000	other	0
sub-13	8	Picture	cross	733092	0	1	4065	1	0	4000	other	0
sub-13	8	Picture	40	738158	5065	1	15065	1	5000	15000	other	0
sub-13	8	Picture	cross	753223	20130	1	30066	1	20000	30000	other	0
sub-13	8	Nothing	45	783223	50130	1			50000		other	0
sub-13	8	Picture	response	798288	65196	1	15065	1	65000	15000	miss	0
sub-13	8	Picture	blank2	813353	80261	1	40065	1	80000	40000	other	0
sub-13	9	Picture	cross	853585	0	1	4065	1	0	4000	other	0
sub-13	9	Picture	61	858650	5065	1	15065	1	5000	15000	other	0
sub-13	9	Picture	cross	873715	20130	1	30066	1	20000	30000	other	0
sub-13	9	Nothing	90	903715	50130	1			50000		other	0
sub-13	9	Picture	response	918780	65195	1	15065	1	65000	15000	miss	0
sub-13	9	Picture	blank2	933845	80260	1	45065	1	80000	45000	other	0
sub-13	10	Picture	cross	979077	0	1	4065	1	0	4000	other	0
sub-13	10	Picture	40	984142	5065	1	15065	1	5000	15000	other	0
sub-13	10	Picture	cross	999207	20130	1	30066	1	20000	30000	other	0
sub-13	10	Nothing	45	1029207	50130	1			50000		other	0
sub-13	10	Picture	response	1044272	65195	1	15065	1	65000	15000	miss	0
sub-13	10	Picture	blank2	1059337	80260	1	40065	1	80000	40000	other	0
sub-13	11	Picture	cross	1099569	0	1	4065	1	0	4000	other	0
sub-13	11	Picture	20	1104634	5065	1	15065	1	5000	15000	other	0
sub-13	11	Picture	cross	1119699	20130	1	30066	1	20000	30000	other	0
sub-13	11	Nothing	25	1149699	50130	1			50000		other	0
sub-13	11	Picture	response	1164764	65195	1	15065	1	65000	15000	miss	0
sub-13	11	Picture	blank2	1179829	80260	1	20065	1	80000	20000	other	0
sub-13	12	Picture	cross	1200061	0	1	4065	1	0	4000	other	0
sub-13	12	Picture	41	1205126	5065	1	15065	1	5000	15000	other	0
sub-13	12	Picture	cross	1220191	20130	1	30066	1	20000	30000	other	0
sub-13	12	Nothing	90	1250191	50130	1			50000		other	0
sub-13	12	Picture	response	1265255	65195	1	15065	1	65000	15000	miss	0
sub-13	12	Picture	blank2	1280320	80260	1	30065	1	80000	30000	other	0
