Scenario - loca_mveb_ts
Logfile written - 11/12/2018 14:01:41

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

training	1	Picture	p_startup	10166	0	1	100065	1	0	100000	other	0
training	1	Pulse	255	15936	5770	0
training	2	Picture	p_startup	110398	0	1	100065	1	0	100000	other	0
training	3	Picture	cross	210629	0	1	4065	1	0	4000	other	0
training	3	Picture	61	215694	5065	1	15065	1	5000	15000	other	0
training	3	Picture	cross	230759	20130	1	30066	1	20000	30000	other	0
training	3	Nothing	90	260759	50130	1			50000		other	0
training	3	Picture	response	275823	65194	1	15065	1	65000	15000	miss	0
training	3	Picture	blank2	290888	80259	1	15065	1	80000	15000	other	0
training	4	Picture	cross	306119	0	1	4065	1	0	4000	other	0
training	4	Picture	40	311184	5065	1	15065	1	5000	15000	other	0
training	4	Picture	cross	326249	20130	1	30066	1	20000	30000	other	0
training	4	Nothing	45	356249	50130	1			50000		other	0
training	4	Picture	response	371314	65194	1	15065	1	65000	15000	miss	0
training	4	Picture	blank2	386378	80259	1	15065	1	80000	15000	other	0
training	5	Picture	cross	401610	0	1	4065	1	0	4000	other	0
training	5	Picture	60	406675	5065	1	15065	1	5000	15000	other	0
training	5	Picture	cross	421739	20130	1	30066	1	20000	30000	other	0
training	5	Nothing	65	451739	50130	1			50000		other	0
training	5	Picture	response	466804	65194	1	15065	1	65000	15000	miss	0
training	5	Picture	blank2	481868	80259	1	15065	1	80000	15000	other	0
training	6	Picture	cross	497100	0	1	4065	1	0	4000	other	0
training	6	Picture	40	502165	5065	1	15065	1	5000	15000	other	0
training	6	Picture	cross	517229	20130	1	30066	1	20000	30000	other	0
training	6	Nothing	45	547229	50130	1			50000		other	0
training	6	Picture	response	562294	65194	1	15065	1	65000	15000	miss	0
training	6	Picture	blank2	577359	80259	1	30065	1	80000	30000	other	0
training	7	Picture	cross	607590	0	1	4065	1	0	4000	other	0
training	7	Picture	60	612655	5065	1	15065	1	5000	15000	other	0
training	7	Picture	cross	627720	20130	1	30066	1	20000	30000	other	0
training	7	Nothing	65	657720	50130	1			50000		other	0
training	7	Picture	response	672785	65194	1	15065	1	65000	15000	miss	0
training	7	Picture	blank2	687850	80259	1	45065	1	80000	45000	other	0
training	8	Picture	cross	733081	0	1	4065	1	0	4000	other	0
training	8	Picture	40	738146	5065	1	15065	1	5000	15000	other	0
training	8	Picture	cross	753211	20130	1	30066	1	20000	30000	other	0
training	8	Nothing	45	783211	50130	1			50000		other	0
training	8	Picture	response	798275	65194	1	15065	1	65000	15000	miss	0
training	8	Picture	blank2	813340	80259	1	40065	1	80000	40000	other	0
training	9	Picture	cross	853572	0	1	4065	1	0	4000	other	0
training	9	Picture	61	858637	5065	1	15065	1	5000	15000	other	0
training	9	Picture	cross	873702	20130	1	30033	1	20000	30000	other	0
training	9	Nothing	90	903702	50130	1			50000		other	0
training	9	Picture	response	918767	65195	1	15065	1	65000	15000	miss	0
training	9	Picture	blank2	933832	80260	1	45065	1	80000	45000	other	0
training	10	Picture	cross	979063	0	1	4065	1	0	4000	other	0
training	10	Picture	40	984129	5065	1	15065	1	5000	15000	other	0
training	10	Picture	cross	999194	20130	1	30066	1	20000	30000	other	0
training	10	Nothing	45	1029194	50130	1			50000		other	0
training	10	Picture	response	1044259	65195	1	15065	1	65000	15000	miss	0
training	10	Picture	blank2	1059323	80260	1	40065	1	80000	40000	other	0
training	11	Picture	cross	1099555	0	1	4065	1	0	4000	other	0
training	11	Picture	20	1104620	5065	1	15065	1	5000	15000	other	0
training	11	Picture	cross	1119685	20130	1	30066	1	20000	30000	other	0
training	11	Nothing	25	1149685	50130	1			50000		other	0
training	11	Picture	response	1164767	65212	1	15065	1	65000	15000	miss	0
training	11	Picture	blank2	1179832	80277	1	20065	1	80000	20000	other	0
training	12	Picture	cross	1200064	0	1	4065	1	0	4000	other	0
training	12	Picture	41	1205129	5065	1	15065	1	5000	15000	other	0
training	12	Picture	cross	1220194	20130	1	30066	1	20000	30000	other	0
training	12	Nothing	90	1250194	50130	1			50000		other	0
training	12	Picture	response	1265259	65195	1	15065	1	65000	15000	miss	0
training	12	Picture	blank2	1280324	80260	1	30065	1	80000	30000	other	0
