Scenario - loca_mveb_ts
Logfile written - 05/29/2018 09:01:02

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

training_1	1	Picture	p_startup	10167	0	1	100031	1	0	100000	other	0
training_1	1	Pulse	255	63735	53568	0
training_1	2	Picture	p_startup	110364	0	1	100031	1	0	100000	other	0
training_1	3	Picture	cross	210561	0	1	4168	1	0	4000	other	0
training_1	3	Picture	61	215729	5168	1	15171	1	5000	15000	other	0
training_1	3	Picture	cross	230901	20340	1	30176	1	20000	30000	other	0
training_1	3	Nothing	90	260901	50340	1			50000		other	0
training_1	3	Picture	response	276081	65520	1	15171	1	65000	15000	miss	0
training_1	3	Picture	blank2	291253	80691	1	15171	1	80000	15000	other	0
training_1	4	Picture	cross	306591	0	1	4168	1	0	4000	other	0
training_1	4	Picture	40	311759	5168	1	15171	1	5000	15000	other	0
training_1	4	Picture	cross	326930	20340	1	30176	1	20000	30000	other	0
training_1	4	Nothing	45	356930	50340	1			50000		other	0
training_1	4	Picture	response	372111	65520	1	15171	1	65000	15000	miss	0
training_1	4	Picture	blank2	387282	80691	1	15171	1	80000	15000	other	0
training_1	5	Picture	cross	402620	0	1	4168	1	0	4000	other	0
training_1	5	Picture	60	407788	5168	1	15171	1	5000	15000	other	0
training_1	5	Picture	cross	422959	20340	1	30176	1	20000	30000	other	0
training_1	5	Nothing	65	452959	50340	1			50000		other	0
training_1	5	Picture	response	468140	65520	1	15171	1	65000	15000	miss	0
training_1	5	Picture	blank2	483311	80691	1	15171	1	80000	15000	other	0
training_1	6	Picture	cross	498649	0	1	4168	1	0	4000	other	0
training_1	6	Picture	40	503818	5168	1	15171	1	5000	15000	other	0
training_1	6	Picture	cross	518989	20340	1	30176	1	20000	30000	other	0
training_1	6	Nothing	45	548989	50340	1			50000		other	0
training_1	6	Picture	response	564169	65520	1	15171	1	65000	15000	miss	0
training_1	6	Picture	blank2	579341	80691	1	30176	1	80000	30000	other	0
training_1	7	Picture	cross	609683	0	1	4168	1	0	4000	other	0
training_1	7	Picture	60	614851	5168	1	15171	1	5000	15000	other	0
training_1	7	Picture	cross	630023	20340	1	30176	1	20000	30000	other	0
training_1	7	Nothing	65	660023	50340	1			50000		other	0
training_1	7	Picture	response	675203	65520	1	15171	1	65000	15000	miss	0
training_1	7	Picture	blank2	690375	80691	1	45181	1	80000	45000	other	0
training_1	8	Picture	cross	735722	0	1	4168	1	0	4000	other	0
training_1	8	Picture	40	740890	5168	1	15171	1	5000	15000	other	0
training_1	8	Picture	cross	756061	20340	1	30176	1	20000	30000	other	0
training_1	8	Nothing	45	786061	50340	1			50000		other	0
training_1	8	Picture	response	801242	65520	1	15171	1	65000	15000	miss	0
training_1	8	Picture	blank2	816413	80691	1	40179	1	80000	40000	other	0
training_1	9	Picture	cross	856759	0	1	4168	1	0	4000	other	0
training_1	9	Picture	61	861927	5168	1	15171	1	5000	15000	other	0
training_1	9	Picture	cross	877098	20340	1	30176	1	20000	30000	other	0
training_1	9	Nothing	90	907098	50340	1			50000		other	0
training_1	9	Picture	response	922279	65520	1	15171	1	65000	15000	miss	0
training_1	9	Picture	blank2	937450	80691	1	45180	1	80000	45000	other	0
training_1	10	Picture	cross	982797	0	1	4168	1	0	4000	other	0
training_1	10	Picture	40	987966	5168	1	15171	1	5000	15000	other	0
training_1	10	Picture	cross	1003137	20340	1	30176	1	20000	30000	other	0
training_1	10	Nothing	45	1033137	50340	1			50000		other	0
training_1	10	Picture	response	1048317	65520	1	15171	1	65000	15000	miss	0
training_1	10	Picture	blank2	1063489	80691	1	40179	1	80000	40000	other	0
training_1	11	Picture	cross	1103834	0	1	4168	1	0	4000	other	0
training_1	11	Picture	20	1109003	5168	1	15171	1	5000	15000	other	0
training_1	11	Picture	cross	1124174	20340	1	30176	1	20000	30000	other	0
training_1	11	Nothing	25	1154174	50340	1			50000		other	0
training_1	11	Picture	response	1169354	65520	1	15171	1	65000	15000	miss	0
training_1	11	Picture	blank2	1184526	80691	1	20173	1	80000	20000	other	0
training_1	12	Picture	cross	1204865	0	1	4168	1	0	4000	other	0
training_1	12	Picture	41	1210033	5168	1	15171	1	5000	15000	other	0
training_1	12	Picture	cross	1225205	20340	1	30176	1	20000	30000	other	0
training_1	12	Nothing	90	1255205	50340	1			50000		other	0
training_1	12	Picture	response	1270385	65520	1	15171	1	65000	15000	miss	0
training_1	12	Picture	blank2	1285557	80691	1	30176	1	80000	30000	other	0
