Scenario - loca_mvis_ts
Logfile written - 07/02/2018 09:10:50

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

ts-06_ts	1	Picture	p_startup	10167	0	1	88065	1	0	88000	other	0
ts-06_ts	1	Pulse	255	81596	71429	0
ts-06_ts	2	Picture	p_startup	98398	0	1	88065	1	0	88000	other	0
ts-06_ts	3	Picture	grid	186630	0	1	4065	1	0	4000	other	0
ts-06_ts	3	Picture	41	190695	4065	1	15065	1	4000	15000	other	0
ts-06_ts	3	Picture	maintenance	205759	19130	1	30065	1	19000	30000	other	0
ts-06_ts	3	Nothing	90	235630	49000	1			49000		other	0
ts-06_ts	3	Picture	test	250694	64065	1	15065	1	64000	15000	miss	0
ts-06_ts	4	Picture	grid	265926	0	1	4065	1	0	4000	other	0
ts-06_ts	4	Picture	60	269991	4065	1	15065	1	4000	15000	other	0
ts-06_ts	4	Picture	maintenance	285056	19130	1	30065	1	19000	30000	other	0
ts-06_ts	4	Nothing	65	314926	49000	1			49000		other	0
ts-06_ts	4	Picture	test	329991	64065	1	25065	1	64000	25000	miss	0
ts-06_ts	5	Picture	grid	355223	0	1	4065	1	0	4000	other	0
ts-06_ts	5	Picture	41	359288	4065	1	15065	1	4000	15000	other	0
ts-06_ts	5	Picture	maintenance	374353	19130	1	30065	1	19000	30000	other	0
ts-06_ts	5	Nothing	90	404223	49000	1			49000		other	0
ts-06_ts	5	Picture	test	419288	64065	1	35065	1	64000	35000	miss	0
ts-06_ts	6	Picture	grid	454520	0	1	4065	1	0	4000	other	0
ts-06_ts	6	Picture	61	458585	4065	1	15065	1	4000	15000	other	0
ts-06_ts	6	Picture	maintenance	473650	19130	1	30065	1	19000	30000	other	0
ts-06_ts	6	Nothing	90	503520	49000	1			49000		other	0
ts-06_ts	6	Picture	test	518585	64065	1	15065	1	64000	15000	miss	0
ts-06_ts	7	Picture	grid	533817	0	1	4065	1	0	4000	other	0
ts-06_ts	7	Picture	20	537882	4065	1	15065	1	4000	15000	other	0
ts-06_ts	7	Picture	maintenance	552948	19130	1	30065	1	19000	30000	other	0
ts-06_ts	7	Nothing	25	582817	49000	1			49000		other	0
ts-06_ts	7	Picture	test	597882	64065	1	25065	1	64000	25000	miss	0
ts-06_ts	8	Picture	grid	623114	0	1	4065	1	0	4000	other	0
ts-06_ts	8	Picture	40	627180	4065	1	15065	1	4000	15000	other	0
ts-06_ts	8	Picture	maintenance	642245	19130	1	30065	1	19000	30000	other	0
ts-06_ts	8	Nothing	45	672114	49000	1			49000		other	0
ts-06_ts	8	Picture	test	687179	64065	1	40065	1	64000	40000	miss	0
ts-06_ts	9	Picture	grid	727411	0	1	4065	1	0	4000	other	0
ts-06_ts	9	Picture	60	731476	4065	1	15065	1	4000	15000	other	0
ts-06_ts	9	Picture	maintenance	746541	19130	1	30065	1	19000	30000	other	0
ts-06_ts	9	Nothing	65	776411	49000	1			49000		other	0
ts-06_ts	9	Picture	test	791476	64065	1	60065	1	64000	60000	miss	0
ts-06_ts	10	Picture	grid	851708	0	1	4065	1	0	4000	other	0
ts-06_ts	10	Picture	61	855773	4065	1	15065	1	4000	15000	other	0
ts-06_ts	10	Picture	maintenance	870838	19130	1	30065	1	19000	30000	other	0
ts-06_ts	10	Nothing	90	900708	49000	1			49000		other	0
ts-06_ts	10	Picture	test	915773	64065	1	30065	1	64000	30000	miss	0
ts-06_ts	11	Picture	grid	946005	0	1	4065	1	0	4000	other	0
ts-06_ts	11	Picture	61	950070	4065	1	15065	1	4000	15000	other	0
ts-06_ts	11	Picture	maintenance	965135	19130	1	30065	1	19000	30000	other	0
ts-06_ts	11	Nothing	90	995005	49000	1			49000		other	0
ts-06_ts	11	Picture	test	1010070	64065	1	25065	1	64000	25000	miss	0
ts-06_ts	12	Picture	grid	1035302	0	1	4065	1	0	4000	other	0
ts-06_ts	12	Picture	20	1039367	4065	1	15065	1	4000	15000	other	0
ts-06_ts	12	Picture	maintenance	1054432	19130	1	30065	1	19000	30000	other	0
ts-06_ts	12	Nothing	25	1084302	49000	1			49000		other	0
ts-06_ts	12	Picture	test	1099367	64065	1	15065	1	64000	15000	miss	0
