Scenario - loca_audi
Logfile written - 06/04/2018 12:33:00

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

pilot-01_1	0	Pulse	255	20431	20431	0
pilot-01_1	1	Nothing	cut	20497	0	1			0		other	0
pilot-01_1	1	Nothing	cut	25497	5000	1			5000		other	0
pilot-01_1	1	Nothing	cut	30497	10000	1			10000		other	0
pilot-01_1	2	Sound	start_sound	60951	30000	20173			30000		other	0
pilot-01_1	2	Nothing	human	81125	50174	1			45000		other	0
pilot-01_1	2	Nothing	human	81125	50174	0			50000		other	0
pilot-01_1	2	Nothing	human	85951	55000	1			55000		other	0
pilot-01_1	2	Nothing	human	90951	60000	1			60000		other	0
pilot-01_1	2	Nothing	human	95951	65000	1			65000		other	0
pilot-01_1	2	Nothing	human	100951	70000	1			70000		other	0
pilot-01_1	2	Nothing	human	105951	75000	1			75000		other	0
pilot-01_1	2	Nothing	human	110951	80000	1			80000		other	0
pilot-01_1	2	Nothing	human	115951	85000	1			85000		other	0
pilot-01_1	2	Nothing	human	120951	90000	1			90000		other	0
pilot-01_1	2	Nothing	human	125951	95000	1			95000		other	0
pilot-01_1	2	Nothing	human	130951	100000	1			100000		other	0
pilot-01_1	2	Nothing	human	135951	105000	1			105000		other	0
pilot-01_1	2	Nothing	human	140951	110000	1			110000		other	0
pilot-01_1	2	Nothing	human	145951	115000	1			115000		other	0
pilot-01_1	2	Nothing	human	150951	120000	1			120000		other	0
pilot-01_1	2	Nothing	human	155951	125000	1			125000		other	0
pilot-01_1	2	Nothing	human	160951	130000	1			130000		other	0
pilot-01_1	2	Nothing	human	165951	135000	1			135000		other	0
pilot-01_1	2	Nothing	human	170951	140000	1			140000		other	0
pilot-01_1	3	Sound	start_sound	246322	30000	2			30000		other	0
pilot-01_1	3	Nothing	music	261322	45000	1			45000		other	0
pilot-01_1	3	Nothing	music	266322	50000	1			50000		other	0
pilot-01_1	3	Nothing	music	271322	55000	1			55000		other	0
pilot-01_1	3	Nothing	music	276322	60000	1			60000		other	0
pilot-01_1	3	Nothing	music	281322	65000	1			65000		other	0
pilot-01_1	3	Nothing	music	286322	70000	1			70000		other	0
pilot-01_1	3	Nothing	music	291322	75000	1			75000		other	0
pilot-01_1	3	Nothing	music	296322	80000	1			80000		other	0
pilot-01_1	3	Nothing	music	301322	85000	1			85000		other	0
pilot-01_1	3	Nothing	music	306322	90000	1			90000		other	0
pilot-01_1	3	Nothing	music	311322	95000	1			95000		other	0
pilot-01_1	3	Nothing	music	316322	100000	1			100000		other	0
pilot-01_1	3	Nothing	music	321322	105000	1			105000		other	0
pilot-01_1	3	Nothing	music	326322	110000	1			110000		other	0
pilot-01_1	3	Nothing	music	331322	115000	1			115000		other	0
pilot-01_1	3	Nothing	music	336322	120000	1			120000		other	0
pilot-01_1	3	Nothing	music	341322	125000	1			125000		other	0
pilot-01_1	3	Nothing	music	346322	130000	1			130000		other	0
pilot-01_1	3	Nothing	music	351322	135000	1			135000		other	0
pilot-01_1	3	Nothing	music	356322	140000	1			140000		other	0
pilot-01_1	4	Sound	start_sound	401913	30000	2			30000		other	0
pilot-01_1	4	Nothing	parol	411913	40000	1			40000		other	0
pilot-01_1	4	Nothing	parol	416913	45000	1			45000		other	0
pilot-01_1	4	Nothing	parol	421913	50000	1			50000		other	0
pilot-01_1	4	Nothing	parol	426913	55000	1			55000		other	0
pilot-01_1	4	Nothing	parol	431913	60000	1			60000		other	0
pilot-01_1	4	Nothing	parol	436913	65000	1			65000		other	0
pilot-01_1	4	Nothing	parol	441913	70000	1			70000		other	0
pilot-01_1	4	Nothing	parol	446913	75000	1			75000		other	0
pilot-01_1	4	Nothing	parol	451913	80000	1			80000		other	0
pilot-01_1	4	Nothing	parol	456913	85000	1			85000		other	0
pilot-01_1	4	Nothing	parol	461913	90000	1			90000		other	0
pilot-01_1	4	Nothing	parol	466913	95000	1			95000		other	0
pilot-01_1	4	Nothing	parol	471913	100000	1			100000		other	0
pilot-01_1	4	Nothing	parol	476913	105000	1			105000		other	0
pilot-01_1	4	Nothing	parol	481913	110000	1			110000		other	0
pilot-01_1	4	Nothing	parol	486913	115000	1			115000		other	0
pilot-01_1	4	Nothing	parol	491913	120000	1			120000		other	0
pilot-01_1	4	Nothing	parol	496913	125000	1			125000		other	0
pilot-01_1	4	Nothing	parol	501913	130000	1			130000		other	0
pilot-01_1	4	Nothing	parol	506913	135000	1			135000		other	0
pilot-01_1	5	Sound	start_sound	582379	30000	2			30000		other	0
pilot-01_1	5	Nothing	yawny	597379	45000	1			45000		other	0
pilot-01_1	5	Nothing	yawny	602379	50000	1			50000		other	0
pilot-01_1	5	Nothing	yawny	607379	55000	1			55000		other	0
pilot-01_1	5	Nothing	yawny	612379	60000	1			60000		other	0
pilot-01_1	5	Nothing	yawny	617379	65000	1			65000		other	0
pilot-01_1	5	Nothing	yawny	622379	70000	1			70000		other	0
pilot-01_1	5	Nothing	yawny	627379	75000	1			75000		other	0
pilot-01_1	5	Nothing	yawny	632379	80000	1			80000		other	0
pilot-01_1	5	Nothing	yawny	637379	85000	1			85000		other	0
pilot-01_1	5	Nothing	yawny	642379	90000	1			90000		other	0
pilot-01_1	5	Nothing	yawny	647379	95000	1			95000		other	0
pilot-01_1	5	Nothing	yawny	652379	100000	1			100000		other	0
pilot-01_1	5	Nothing	yawny	657379	105000	1			105000		other	0
pilot-01_1	5	Nothing	yawny	662379	110000	1			110000		other	0
pilot-01_1	5	Nothing	yawny	667379	115000	1			115000		other	0
pilot-01_1	5	Nothing	yawny	672379	120000	1			120000		other	0
pilot-01_1	5	Nothing	yawny	677379	125000	1			125000		other	0
pilot-01_1	5	Nothing	yawny	682379	130000	1			130000		other	0
pilot-01_1	5	Nothing	yawny	687379	135000	1			135000		other	0
pilot-01_1	5	Nothing	yawny	692379	140000	1			140000		other	0
pilot-01_1	6	Sound	start_sound	737868	30000	2			30000		other	0
pilot-01_1	6	Nothing	rever	752868	45000	1			45000		other	0
pilot-01_1	6	Nothing	rever	757868	50000	1			50000		other	0
pilot-01_1	6	Nothing	rever	762868	55000	1			55000		other	0
pilot-01_1	6	Nothing	rever	767868	60000	1			60000		other	0
pilot-01_1	6	Nothing	rever	772868	65000	1			65000		other	0
pilot-01_1	6	Nothing	rever	777868	70000	1			70000		other	0
pilot-01_1	6	Nothing	rever	782868	75000	1			75000		other	0
pilot-01_1	6	Nothing	rever	787868	80000	1			80000		other	0
pilot-01_1	6	Nothing	rever	792868	85000	1			85000		other	0
pilot-01_1	6	Nothing	rever	797868	90000	1			90000		other	0
pilot-01_1	6	Nothing	rever	802868	95000	1			95000		other	0
pilot-01_1	6	Nothing	rever	807868	100000	1			100000		other	0
pilot-01_1	6	Nothing	rever	812868	105000	1			105000		other	0
pilot-01_1	6	Nothing	rever	817868	110000	1			110000		other	0
