Scenario - loca_audi
Logfile written - 04/26/2018 13:49:50

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

pilot1	0	Pulse	255	14414	14414	0
pilot1	1	Nothing	cut	14480	0	1			0		other	0
pilot1	1	Nothing	cut	19480	5000	1			5000		other	0
pilot1	2	Sound	start_sound	54589	30000	2582			30000		other	0
pilot1	2	Nothing	human	69589	45000	1			45000		other	0
pilot1	2	Nothing	human	74589	50000	1			50000		other	0
pilot1	2	Nothing	human	79589	55000	1			55000		other	0
pilot1	2	Nothing	human	84589	60000	1			60000		other	0
pilot1	2	Nothing	human	89589	65000	1			65000		other	0
pilot1	2	Nothing	human	94589	70000	1			70000		other	0
pilot1	2	Nothing	human	99589	75000	1			75000		other	0
pilot1	2	Nothing	human	104589	80000	1			80000		other	0
pilot1	2	Nothing	human	109589	85000	1			85000		other	0
pilot1	2	Nothing	human	114589	90000	1			90000		other	0
pilot1	2	Nothing	human	119589	95000	1			95000		other	0
pilot1	2	Nothing	human	124589	100000	1			100000		other	0
pilot1	2	Nothing	human	129589	105000	1			105000		other	0
pilot1	2	Nothing	human	134589	110000	1			110000		other	0
pilot1	2	Nothing	human	139589	115000	1			115000		other	0
pilot1	2	Nothing	human	144589	120000	1			120000		other	0
pilot1	2	Nothing	human	149589	125000	1			125000		other	0
pilot1	2	Nothing	human	154589	130000	1			130000		other	0
pilot1	2	Nothing	human	159589	135000	1			135000		other	0
pilot1	2	Nothing	human	164589	140000	1			140000		other	0
pilot1	3	Sound	start_sound	224827	30000	2			30000		other	0
pilot1	3	Nothing	music	239827	45000	1			45000		other	0
pilot1	3	Nothing	music	244827	50000	1			50000		other	0
pilot1	3	Nothing	music	249827	55000	1			55000		other	0
pilot1	3	Nothing	music	254827	60000	1			60000		other	0
pilot1	3	Nothing	music	259827	65000	1			65000		other	0
pilot1	3	Nothing	music	264827	70000	1			70000		other	0
pilot1	3	Nothing	music	269827	75000	1			75000		other	0
pilot1	3	Nothing	music	274827	80000	1			80000		other	0
pilot1	3	Nothing	music	279827	85000	1			85000		other	0
pilot1	3	Nothing	music	284827	90000	1			90000		other	0
pilot1	3	Nothing	music	289827	95000	1			95000		other	0
pilot1	3	Nothing	music	294827	100000	1			100000		other	0
pilot1	3	Nothing	music	299827	105000	1			105000		other	0
pilot1	3	Nothing	music	304827	110000	1			110000		other	0
pilot1	3	Nothing	music	309827	115000	1			115000		other	0
pilot1	3	Nothing	music	314827	120000	1			120000		other	0
pilot1	3	Nothing	music	319827	125000	1			125000		other	0
pilot1	3	Nothing	music	324827	130000	1			130000		other	0
pilot1	3	Nothing	music	329827	135000	1			135000		other	0
pilot1	3	Nothing	music	334827	140000	1			140000		other	0
pilot1	4	Sound	start_sound	410210	30000	2			30000		other	0
pilot1	4	Nothing	parol	420210	40000	1			40000		other	0
pilot1	4	Nothing	parol	425210	45000	1			45000		other	0
pilot1	4	Nothing	parol	430210	50000	1			50000		other	0
pilot1	4	Nothing	parol	435210	55000	1			55000		other	0
pilot1	4	Nothing	parol	440210	60000	1			60000		other	0
pilot1	4	Nothing	parol	445210	65000	1			65000		other	0
pilot1	4	Nothing	parol	450210	70000	1			70000		other	0
pilot1	4	Nothing	parol	455210	75000	1			75000		other	0
pilot1	4	Nothing	parol	460210	80000	1			80000		other	0
pilot1	4	Nothing	parol	465210	85000	1			85000		other	0
pilot1	4	Nothing	parol	470210	90000	1			90000		other	0
pilot1	4	Nothing	parol	475210	95000	1			95000		other	0
pilot1	4	Nothing	parol	480210	100000	1			100000		other	0
pilot1	4	Nothing	parol	485210	105000	1			105000		other	0
pilot1	4	Nothing	parol	490210	110000	1			110000		other	0
pilot1	4	Nothing	parol	495210	115000	1			115000		other	0
pilot1	4	Nothing	parol	500210	120000	1			120000		other	0
pilot1	4	Nothing	parol	505210	125000	1			125000		other	0
pilot1	4	Nothing	parol	510210	130000	1			130000		other	0
pilot1	4	Nothing	parol	515210	135000	1			135000		other	0
pilot1	5	Sound	start_sound	575675	30000	2			30000		other	0
pilot1	5	Nothing	yawny	590675	45000	1			45000		other	0
pilot1	5	Nothing	yawny	595675	50000	1			50000		other	0
pilot1	5	Nothing	yawny	600675	55000	1			55000		other	0
pilot1	5	Nothing	yawny	605675	60000	1			60000		other	0
pilot1	5	Nothing	yawny	610675	65000	1			65000		other	0
pilot1	5	Nothing	yawny	615675	70000	1			70000		other	0
pilot1	5	Nothing	yawny	620675	75000	1			75000		other	0
pilot1	5	Nothing	yawny	625675	80000	1			80000		other	0
pilot1	5	Nothing	yawny	630675	85000	1			85000		other	0
pilot1	5	Nothing	yawny	635675	90000	1			90000		other	0
pilot1	5	Nothing	yawny	640675	95000	1			95000		other	0
pilot1	5	Nothing	yawny	645675	100000	1			100000		other	0
pilot1	5	Nothing	yawny	650675	105000	1			105000		other	0
pilot1	5	Nothing	yawny	655675	110000	1			110000		other	0
pilot1	5	Nothing	yawny	660675	115000	1			115000		other	0
pilot1	5	Nothing	yawny	665675	120000	1			120000		other	0
pilot1	5	Nothing	yawny	670675	125000	1			125000		other	0
pilot1	5	Nothing	yawny	675675	130000	1			130000		other	0
pilot1	5	Nothing	yawny	680675	135000	1			135000		other	0
pilot1	5	Nothing	yawny	685675	140000	1			140000		other	0
pilot1	6	Sound	start_sound	746094	30000	2			30000		other	0
pilot1	6	Nothing	rever	761094	45000	1			45000		other	0
pilot1	6	Nothing	rever	766094	50000	1			50000		other	0
pilot1	6	Nothing	rever	771094	55000	1			55000		other	0
pilot1	6	Nothing	rever	776094	60000	1			60000		other	0
pilot1	6	Nothing	rever	781094	65000	1			65000		other	0
pilot1	6	Nothing	rever	786094	70000	1			70000		other	0
pilot1	6	Nothing	rever	791094	75000	1			75000		other	0
pilot1	6	Nothing	rever	796094	80000	1			80000		other	0
pilot1	6	Nothing	rever	801094	85000	1			85000		other	0
pilot1	6	Nothing	rever	806094	90000	1			90000		other	0
pilot1	6	Nothing	rever	811094	95000	1			95000		other	0
pilot1	6	Nothing	rever	816094	100000	1			100000		other	0
pilot1	6	Nothing	rever	821094	105000	1			105000		other	0
pilot1	6	Nothing	rever	826094	110000	1			110000		other	0
pilot1	6	Nothing	rever	831094	115000	1			115000		other	0
pilot1	6	Nothing	rever	836094	120000	1			120000		other	0
pilot1	6	Nothing	rever	841094	125000	1			125000		other	0
pilot1	6	Nothing	rever	846094	130000	1			130000		other	0
pilot1	6	Nothing	rever	851094	135000	1			135000		other	0
pilot1	6	Nothing	rever	856094	140000	1			140000		other	0
pilot1	7	Sound	start_sound	916580	30000	2			30000		other	0
pilot1	7	Nothing	envir	931580	45000	1			45000		other	0
pilot1	7	Nothing	envir	936580	50000	1			50000		other	0
pilot1	7	Nothing	envir	941580	55000	1			55000		other	0
pilot1	7	Nothing	envir	946580	60000	1			60000		other	0
pilot1	7	Nothing	envir	951580	65000	1			65000		other	0
pilot1	7	Nothing	envir	956580	70000	1			70000		other	0
pilot1	7	Nothing	envir	961580	75000	1			75000		other	0
pilot1	7	Nothing	envir	966580	80000	1			80000		other	0
pilot1	7	Nothing	envir	971580	85000	1			85000		other	0
pilot1	7	Nothing	envir	976580	90000	1			90000		other	0
pilot1	7	Nothing	envir	981580	95000	1			95000		other	0
pilot1	7	Nothing	envir	986580	100000	1			100000		other	0
pilot1	7	Nothing	envir	991580	105000	1			105000		other	0
pilot1	7	Nothing	envir	996580	110000	1			110000		other	0
pilot1	7	Nothing	envir	1001580	115000	1			115000		other	0
pilot1	7	Nothing	envir	1006580	120000	1			120000		other	0
pilot1	7	Nothing	envir	1011580	125000	1			125000		other	0
