Scenario - loca_audi_bis
Logfile written - 04/26/2018 15:51:55

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

pilot2	0	Pulse	255	18279	18279	0
pilot2	1	Nothing	cut	18344	0	1			0		other	0
pilot2	1	Nothing	cut	23344	5000	1			5000		other	0
pilot2	1	Nothing	cut	28344	10000	1			10000		other	0
pilot2	2	Sound	start_sound	58455	30000	2850			30000		other	0
pilot2	2	Nothing	pleur	73455	45000	1			45000		other	0
pilot2	2	Nothing	pleur	78455	50000	1			50000		other	0
pilot2	2	Nothing	pleur	83455	55000	1			55000		other	0
pilot2	2	Nothing	pleur	88455	60000	1			60000		other	0
pilot2	2	Nothing	pleur	93455	65000	1			65000		other	0
pilot2	2	Nothing	pleur	98455	70000	1			70000		other	0
pilot2	2	Nothing	pleur	103455	75000	1			75000		other	0
pilot2	2	Nothing	pleur	108455	80000	1			80000		other	0
pilot2	2	Nothing	pleur	113455	85000	1			85000		other	0
pilot2	2	Nothing	pleur	118455	90000	1			90000		other	0
pilot2	2	Nothing	pleur	123455	95000	1			95000		other	0
pilot2	2	Nothing	pleur	128455	100000	1			100000		other	0
pilot2	2	Nothing	pleur	133455	105000	1			105000		other	0
pilot2	2	Nothing	pleur	138455	110000	1			110000		other	0
pilot2	2	Nothing	pleur	143455	115000	1			115000		other	0
pilot2	2	Nothing	pleur	148455	120000	1			120000		other	0
pilot2	2	Nothing	pleur	153455	125000	1			125000		other	0
pilot2	2	Nothing	pleur	158455	130000	1			130000		other	0
pilot2	2	Nothing	pleur	163455	135000	1			135000		other	0
pilot2	2	Nothing	pleur	168455	140000	1			140000		other	0
pilot2	3	Sound	start_sound	228689	30000	2			30000		other	0
pilot2	3	Nothing	suomi	243689	45000	1			45000		other	0
pilot2	3	Nothing	suomi	248689	50000	1			50000		other	0
pilot2	3	Nothing	suomi	253689	55000	1			55000		other	0
pilot2	3	Nothing	suomi	258689	60000	1			60000		other	0
pilot2	3	Nothing	suomi	263689	65000	1			65000		other	0
pilot2	3	Nothing	suomi	268689	70000	1			70000		other	0
pilot2	3	Nothing	suomi	273689	75000	1			75000		other	0
pilot2	3	Nothing	suomi	278689	80000	1			80000		other	0
pilot2	3	Nothing	suomi	283689	85000	1			85000		other	0
pilot2	3	Nothing	suomi	288689	90000	1			90000		other	0
pilot2	3	Nothing	suomi	293689	95000	1			95000		other	0
pilot2	3	Nothing	suomi	298689	100000	1			100000		other	0
pilot2	3	Nothing	suomi	303689	105000	1			105000		other	0
pilot2	3	Nothing	suomi	308689	110000	1			110000		other	0
pilot2	3	Nothing	suomi	313689	115000	1			115000		other	0
pilot2	3	Nothing	suomi	318689	120000	1			120000		other	0
pilot2	3	Nothing	suomi	323689	125000	1			125000		other	0
pilot2	3	Nothing	suomi	328689	130000	1			130000		other	0
pilot2	3	Nothing	suomi	333689	135000	1			135000		other	0
pilot2	3	Nothing	suomi	338689	140000	1			140000		other	0
pilot2	4	Sound	start_sound	383926	30000	2			30000		other	0
pilot2	4	Nothing	yawny	398926	45000	1			45000		other	0
pilot2	4	Nothing	yawny	403926	50000	1			50000		other	0
