Scenario - loca_lec1
Logfile written - 07/16/2018 13:16:29

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sub-06_ts	0	Pulse	255	21532	21532	0
sub-06_ts	1	Nothing	cut	21605	0	1			0		other	0
sub-06_ts	1	Nothing	cut	26605	5000	1			5000		other	0
sub-06_ts	2	Picture	change_to_25	31835	0	1	25238	1	0	25000	other	0
sub-06_ts	3	Picture	20	61977	5000	1	20241	1	5000	20000	miss	0
sub-06_ts	4	Picture	20	87122	5000	1	20237	1	5000	20000	miss	0
sub-06_ts	5	Picture	20	112264	5000	1	20241	1	5000	20000	miss	0
sub-06_ts	6	Picture	20	137411	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	7	Picture	20	162549	5000	1	20230	1	5000	20000	miss	0
sub-06_ts	8	Picture	change_to_15	182779	0	1	25239	1	0	25000	other	0
sub-06_ts	9	Picture	10	212922	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	10	Picture	10	238061	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	11	Picture	10	263198	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	12	Picture	10	288336	5000	1	20237	1	5000	20000	miss	0
sub-06_ts	13	Picture	10	313477	5000	1	20230	1	5000	20000	miss	0
sub-06_ts	14	Picture	change_to_35	333707	0	1	25232	1	0	25000	other	0
sub-06_ts	15	Picture	30	363844	5000	1	20065	1	5000	20000	miss	0
sub-06_ts	16	Picture	30	389010	5000	1	20241	1	5000	20000	miss	0
sub-06_ts	17	Picture	30	414156	5000	1	20240	1	5000	20000	miss	0
sub-06_ts	18	Picture	30	439301	5000	1	20241	1	5000	20000	miss	0
sub-06_ts	19	Picture	30	464446	5000	1	20234	1	5000	20000	miss	0
sub-06_ts	20	Picture	Bfix	484680	0	1	200230	1	0	200000	other	0
sub-06_ts	21	Picture	change_to_25	684910	0	1	25233	1	0	25000	other	0
sub-06_ts	22	Picture	20	715048	5000	1	20181	1	5000	20000	miss	0
sub-06_ts	23	Picture	20	740184	5000	1	20065	1	5000	20000	miss	0
sub-06_ts	24	Picture	20	765343	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	25	Picture	20	790481	5000	1	20065	1	5000	20000	miss	0
sub-06_ts	26	Picture	20	815638	5000	1	20230	1	5000	20000	miss	0
sub-06_ts	27	Picture	change_to_15	835868	0	1	25065	1	0	25000	other	0
sub-06_ts	28	Picture	10	866023	5000	1	20236	1	5000	20000	miss	0
sub-06_ts	29	Picture	10	891164	5000	1	20065	1	5000	20000	miss	0
sub-06_ts	30	Picture	10	916319	5000	1	20234	1	5000	20000	miss	0
sub-06_ts	31	Picture	10	941458	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	32	Picture	10	966595	5000	1	20065	1	5000	20000	miss	0
sub-06_ts	33	Picture	change_to_35	986827	0	1	25233	1	0	25000	other	0
sub-06_ts	34	Picture	30	1016964	5000	1	20065	1	5000	20000	miss	0
sub-06_ts	35	Picture	30	1042122	5000	1	20232	1	5000	20000	miss	0
sub-06_ts	36	Picture	30	1067260	5000	1	20238	1	5000	20000	miss	0
sub-06_ts	37	Picture	30	1092403	5000	1	20237	1	5000	20000	miss	0
sub-06_ts	38	Picture	30	1117545	5000	1	20232	1	5000	20000	miss	0
sub-06_ts	39	Picture	Bfix	1137777	0	1	200231	1	0	200000	other	0
sub-06_ts	40	Picture	change_to_35	1338008	0	1	25236	1	0	25000	other	0
sub-06_ts	41	Picture	30	1368149	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	42	Picture	30	1393288	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	43	Picture	30	1418425	5000	1	20240	1	5000	20000	miss	0
sub-06_ts	44	Picture	30	1443571	5000	1	20236	1	5000	20000	miss	0
sub-06_ts	45	Picture	30	1468713	5000	1	20230	1	5000	20000	miss	0
sub-06_ts	46	Picture	change_to_25	1488943	0	1	25233	1	0	25000	other	0
sub-06_ts	47	Picture	20	1519081	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	48	Picture	20	1544219	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	49	Picture	20	1569357	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	50	Picture	20	1594492	5000	1	20234	1	5000	20000	miss	0
sub-06_ts	51	Picture	20	1619631	5000	1	20230	1	5000	20000	miss	0
sub-06_ts	52	Picture	change_to_15	1639862	0	1	25232	1	0	25000	other	0
sub-06_ts	53	Picture	10	1670000	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	54	Picture	10	1695137	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	55	Picture	10	1720276	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	56	Picture	10	1745415	5000	1	20065	1	5000	20000	miss	0
sub-06_ts	57	Picture	10	1770567	5000	1	20233	1	5000	20000	miss	0
sub-06_ts	58	Picture	Bfix	1790800	0	1	200230	1	0	200000	other	0
sub-06_ts	59	Picture	change_to_25	1991030	0	1	25065	1	0	25000	other	0
sub-06_ts	60	Quit		2018477	2358	NA
