Scenario - loca_lec2
Logfile written - 12/12/2008 11:39:56

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

1	Nothing	cut	10000	0	1			0
1	Nothing	cut	15000	5000	1			5000
1	Nothing	cut	20000	10000	1			10000
2	Picture	20	20167	0	2	2012	3	0	2000
3	Picture	10	27207	0	1	2011	2	0	2000
4	Picture	10	34246	0	1	2011	2	0	2000
5	Picture	10	41285	0	1	2011	3	0	2000
6	Picture	20	48325	0	1	2011	2	0	2000
7	Picture	20	55364	0	1	2011	2	0	2000
8	Picture	20	62403	0	1	2011	2	0	2000
9	Picture	10	69442	0	2	2011	4	0	2000
10	Picture	20	76482	0	1	2011	2	0	2000
11	Picture	20	83521	0	1	2011	2	0	2000
12	Picture	10	90560	0	1	2011	2	0	2000
13	Picture	10	97599	0	1	2011	3	0	2000
14	Picture	20	104639	0	1	2011	2	0	2000
15	Picture	20	111678	0	1	2011	2	0	2000
16	Picture	10	118717	0	1	2011	2	0	2000
17	Picture	20	125756	0	2	2011	4	0	2000
18	Picture	10	132796	0	1	2011	2	0	2000
19	Picture	10	139835	0	1	2011	2	0	2000
20	Picture	10	146874	0	1	2011	2	0	2000
21	Picture	20	153913	0	1	2012	2	0	2000
22	Picture	10	160952	0	2	2012	3	0	2000
23	Picture	20	167992	0	2	2011	3	0	2000
24	Picture	10	175031	0	1	2011	2	0	2000
25	Picture	20	182070	0	2	2011	4	0	2000
26	Picture	10	189109	0	2	2012	3	0	2000
27	Picture	20	196149	0	1	2011	2	0	2000
28	Picture	10	203188	0	1	2011	3	0	2000
29	Picture	10	210227	0	1	2011	3	0	2000
30	Picture	20	217267	0	1	2011	2	0	2000
31	Picture	20	224306	0	1	2011	2	0	2000
32	Picture	20	231345	0	1	2011	2	0	2000
33	Picture	20	238384	0	1	2012	2	0	2000
34	Picture	20	245423	0	2	2012	3	0	2000
35	Picture	10	252463	0	1	2011	2	0	2000
36	Picture	10	259502	0	1	2011	2	0	2000
37	Picture	20	266541	0	1	2012	2	0	2000
38	Picture	20	273580	0	2	2012	3	0	2000
39	Picture	10	280620	0	1	2011	2	0	2000
40	Picture	20	287659	0	1	2011	2	0	2000
41	Picture	10	294698	0	1	2011	3	0	2000
42	Picture	20	301737	0	2	2012	3	0	2000
43	Picture	10	308777	0	1	2011	2	0	2000
44	Picture	10	315816	0	1	2011	2	0	2000
45	Picture	20	322855	0	1	2011	3	0	2000
46	Picture	20	329895	0	1	2011	2	0	2000
47	Picture	10	336934	0	1	2011	2	0	2000
48	Picture	10	343973	0	1	2179	2	0	2000
49	Picture	20	351012	0	1	2011	3	0	2000
50	Picture	10	358051	0	2	2012	3	0	2000
51	Picture	20	365091	0	1	2011	2	0	2000
52	Picture	20	372130	0	1	2011	2	0	2000
53	Picture	10	379169	0	2	2011	4	0	2000
54	Picture	20	386208	0	2	2012	3	0	2000
55	Picture	10	393248	0	1	2011	2	0	2000
56	Picture	20	400287	0	1	2011	2	0	2000
57	Picture	20	407326	0	1	2012	2	0	2000
58	Picture	10	414366	0	1	2011	2	0	2000
59	Picture	20	421405	0	1	2011	2	0	2000
60	Picture	20	428444	0	1	2011	2	0	2000
61	Picture	20	435483	0	2	2011	4	0	2000
62	Picture	10	442523	0	1	2011	2	0	2000
63	Picture	20	449562	0	1	2011	2	0	2000
64	Picture	10	456601	0	1	2011	2	0	2000
65	Picture	20	463640	0	2	2012	3	0	2000
66	Picture	20	470679	0	2	2012	3	0	2000
67	Picture	10	477719	0	1	2011	2	0	2000
68	Picture	20	484758	0	1	2011	2	0	2000
69	Picture	20	491797	0	1	2011	3	0	2000
70	Picture	20	498837	0	1	2011	2	0	2000
71	Picture	20	505876	0	1	2011	2	0	2000
72	Picture	20	512914	0	2	2012	4	0	2000
73	Picture	20	519954	0	1	2011	3	0	2000
74	Picture	20	526994	0	1	2011	2	0	2000
75	Picture	10	534033	0	1	2011	2	0	2000
76	Picture	10	541072	0	1	2011	2	0	2000
77	Picture	20	548111	0	2	2011	4	0	2000
78	Picture	10	555150	0	2	2012	3	0	2000
79	Picture	20	562190	0	1	2011	2	0	2000
80	Picture	20	569229	0	1	2011	2	0	2000
81	Picture	10	576268	0	2	2012	3	0	2000
82	Picture	20	583308	0	1	2011	2	0	2000
83	Picture	10	590347	0	1	2011	2	0	2000
84	Picture	10	597386	0	1	2011	2	0	2000
85	Picture	10	604425	0	1	2012	2	0	2000
86	Picture	20	611465	0	1	2011	2	0	2000
87	Picture	10	618504	0	1	2011	2	0	2000
88	Picture	20	625543	0	1	2011	2	0	2000
89	Picture	10	632582	0	2	2011	4	0	2000
90	Picture	20	639621	0	2	2012	3	0	2000
91	Picture	10	646661	0	1	2011	2	0	2000
