Scenario - loca_lec2
Logfile written - 04/26/2018 14:08:20

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

pilot1	0	Pulse	255	19170	19170	0
pilot1	1	Nothing	cut	19238	0	1			0		other	0
pilot1	1	Nothing	cut	24238	5000	1			5000		other	0
pilot1	1	Nothing	cut	29238	10000	1			10000		other	0
pilot1	2	Picture	20	29337	0	1	2065	1	0	2000	other	0
pilot1	3	Picture	10	46634	0	1	2065	1	0	2000	other	0
pilot1	4	Picture	10	71430	0	1	2065	1	0	2000	other	0
pilot1	5	Picture	10	103726	0	1	2065	1	0	2000	other	0
pilot1	6	Picture	20	121023	0	1	2065	1	0	2000	other	0
pilot1	7	Picture	20	153319	0	1	2065	1	0	2000	other	0
pilot1	8	Picture	20	185616	0	1	2065	1	0	2000	other	0
pilot1	9	Picture	10	202913	0	1	2065	1	0	2000	other	0
pilot1	10	Picture	20	220209	0	1	2065	1	0	2000	other	0
pilot1	11	Picture	20	237506	0	1	2065	1	0	2000	other	0
pilot1	12	Picture	10	269803	0	1	2065	1	0	2000	other	0
pilot1	13	Picture	10	287100	0	1	2065	1	0	2000	other	0
pilot1	14	Picture	20	319397	0	1	2065	1	0	2000	other	0
pilot1	15	Picture	20	336693	0	1	2065	1	0	2000	other	0
pilot1	16	Picture	10	361490	0	1	2065	1	0	2000	other	0
pilot1	17	Picture	20	386287	0	1	2065	1	0	2000	other	0
pilot1	18	Picture	10	403584	0	1	2065	1	0	2000	other	0
pilot1	19	Picture	10	435881	0	1	2065	1	0	2000	other	0
pilot1	20	Picture	10	460678	0	1	2065	1	0	2000	other	0
pilot1	21	Picture	20	492975	0	1	2065	1	0	2000	other	0
pilot1	22	Picture	10	517772	0	1	2065	1	0	2000	other	0
pilot1	23	Picture	20	535069	0	1	2065	1	0	2000	other	0
pilot1	24	Picture	10	552366	0	1	2065	1	0	2000	other	0
pilot1	25	Picture	20	569663	0	1	2065	1	0	2000	other	0
pilot1	26	Picture	10	586959	0	1	2065	1	0	2000	other	0
pilot1	27	Picture	10	611756	0	1	2065	1	0	2000	other	0
pilot1	28	Picture	20	629053	0	1	2065	1	0	2000	other	0
pilot1	29	Picture	10	646350	0	1	2065	1	0	2000	other	0
pilot1	30	Picture	20	671147	0	1	2065	1	0	2000	other	0
pilot1	31	Picture	20	695944	0	1	2065	1	0	2000	other	0
pilot1	32	Picture	20	713240	0	1	2065	1	0	2000	other	0
pilot1	33	Picture	20	738037	0	1	2065	1	0	2000	other	0
pilot1	34	Picture	20	762834	0	1	2065	1	0	2000	other	0
pilot1	35	Picture	Bfix	780131	0	1	150240	1	0	150000	other	0
pilot1	36	Picture	10	930371	0	1	2065	1	0	2000	other	0
pilot1	37	Picture	10	947668	0	1	2065	1	0	2000	other	0
pilot1	38	Picture	20	979965	0	1	2065	1	0	2000	other	0
pilot1	39	Picture	20	1004762	0	1	2065	1	0	2000	other	0
pilot1	40	Picture	10	1037059	0	1	2065	1	0	2000	other	0
pilot1	41	Picture	20	1061856	0	1	2065	1	0	2000	other	0
pilot1	42	Picture	10	1094153	0	1	2065	1	0	2000	other	0
pilot1	43	Picture	20	1118950	0	1	2065	1	0	2000	other	0
pilot1	44	Picture	10	1143747	0	1	2065	1	0	2000	other	0
pilot1	45	Picture	10	1168544	0	1	2065	1	0	2000	other	0
pilot1	46	Picture	20	1200841	0	1	2065	1	0	2000	other	0
pilot1	47	Picture	20	1225638	0	1	2065	1	0	2000	other	0
pilot1	48	Picture	10	1250435	0	1	2065	1	0	2000	other	0
pilot1	49	Picture	10	1267731	0	1	2065	1	0	2000	other	0
pilot1	50	Picture	20	1300028	0	1	2065	1	0	2000	other	0
pilot1	51	Picture	10	1317325	0	1	2065	1	0	2000	other	0
pilot1	52	Picture	20	1349622	0	1	2065	1	0	2000	other	0
pilot1	53	Picture	20	1381919	0	1	2065	1	0	2000	other	0
pilot1	54	Picture	10	1406716	0	1	2065	1	0	2000	other	0
pilot1	55	Picture	20	1424012	0	1	2065	1	0	2000	other	0
pilot1	56	Picture	10	1441309	0	1	2065	1	0	2000	other	0
pilot1	57	Picture	20	1473606	0	1	2065	1	0	2000	other	0
pilot1	58	Picture	20	1490903	0	1	2065	1	0	2000	other	0
pilot1	59	Picture	10	1515700	0	1	2065	1	0	2000	other	0
pilot1	60	Picture	20	1532997	0	1	2065	1	0	2000	other	0
pilot1	61	Picture	20	1550293	0	1	2065	1	0	2000	other	0
pilot1	62	Picture	20	1567590	0	1	2065	1	0	2000	other	0
pilot1	63	Picture	10	1592387	0	1	2065	1	0	2000	other	0
pilot1	64	Picture	20	1617184	0	1	2065	1	0	2000	other	0
pilot1	65	Picture	10	1649481	0	1	2065	1	0	2000	other	0
pilot1	66	Picture	20	1681778	0	1	2065	1	0	2000	other	0
pilot1	67	Picture	20	1714075	0	1	2065	1	0	2000	other	0
pilot1	68	Picture	10	1746372	0	1	2065	1	0	2000	other	0
pilot1	69	Picture	Bfix	1763669	0	1	150065	1	0	150000	other	0
pilot1	70	Picture	20	1913900	0	1	2065	1	0	2000	other	0
pilot1	71	Picture	20	1946198	0	1	2065	1	0	2000	other	0
pilot1	72	Picture	20	1978495	0	1	2065	1	0	2000	other	0
pilot1	73	Picture	20	1995791	0	1	2065	1	0	2000	other	0
pilot1	74	Picture	20	2013088	0	1	2065	1	0	2000	other	0
pilot1	75	Picture	20	2030385	0	1	2065	1	0	2000	other	0
pilot1	76	Picture	20	2055182	0	1	2065	1	0	2000	other	0
pilot1	77	Picture	10	2072479	0	1	2065	1	0	2000	other	0
pilot1	78	Picture	10	2104776	0	1	2065	1	0	2000	other	0
pilot1	79	Picture	20	2137073	0	1	2065	1	0	2000	other	0
pilot1	80	Picture	10	2169370	0	1	2065	1	0	2000	other	0
pilot1	81	Picture	20	2194166	0	1	2065	1	0	2000	other	0
pilot1	82	Picture	20	2218963	0	1	2065	1	0	2000	other	0
pilot1	83	Picture	10	2251260	0	1	2065	1	0	2000	other	0
pilot1	84	Picture	20	2276057	0	1	2065	1	0	2000	other	0
pilot1	85	Picture	10	2300854	0	1	2065	1	0	2000	other	0
pilot1	86	Picture	10	2318150	0	1	2065	1	0	2000	other	0
pilot1	87	Picture	10	2350447	0	1	2065	1	0	2000	other	0
pilot1	88	Picture	20	2367744	0	1	2065	1	0	2000	other	0
pilot1	89	Picture	10	2392541	0	1	2065	1	0	2000	other	0
pilot1	90	Picture	20	2409838	0	1	2065	1	0	2000	other	0
pilot1	91	Picture	10	2442135	0	1	2065	1	0	2000	other	0
pilot1	92	Picture	20	2474432	0	1	2065	1	0	2000	other	0
pilot1	93	Picture	10	2491729	0	1	2065	1	0	2000	other	0
pilot1	94	Picture	10	2509026	0	1	2065	1	0	2000	other	0
pilot1	95	Picture	20	2526323	0	1	2065	1	0	2000	other	0
pilot1	96	Picture	10	2551119	0	1	2065	1	0	2000	other	0
pilot1	97	Picture	10	2583416	0	1	2065	1	0	2000	other	0
pilot1	98	Picture	20	2600713	0	1	2065	1	0	2000	other	0
pilot1	99	Picture	10	2625510	0	1	2065	1	0	2000	other	0
pilot1	100	Picture	20	2657807	0	1	2065	1	0	2000	other	0
pilot1	101	Picture	Bfix	2690104	0	1	150239	1	0	150000	other	0
pilot1	102	Picture	20	2840343	0	1	2065	1	0	2000	other	0
pilot1	103	Picture	10	2865139	0	1	2065	1	0	2000	other	0
pilot1	104	Picture	20	2882436	0	1	2065	1	0	2000	other	0
pilot1	105	Picture	10	2907233	0	1	2065	1	0	2000	other	0
pilot1	106	Picture	20	2924530	0	1	2065	1	0	2000	other	0
pilot1	107	Picture	20	2949327	0	1	2065	1	0	2000	other	0
pilot1	108	Picture	20	2974124	0	1	2065	1	0	2000	other	0
pilot1	109	Picture	10	3006421	0	1	2065	1	0	2000	other	0
pilot1	110	Picture	10	3031218	0	1	2065	1	0	2000	other	0
pilot1	111	Picture	20	3048515	0	1	2065	1	0	2000	other	0
pilot1	112	Picture	20	3080812	0	1	2065	1	0	2000	other	0
pilot1	113	Picture	10	3098108	0	1	2065	1	0	2000	other	0
pilot1	114	Picture	20	3122905	0	1	2065	1	0	2000	other	0
pilot1	115	Picture	20	3140202	0	1	2065	1	0	2000	other	0
pilot1	116	Picture	10	3157499	0	1	2065	1	0	2000	other	0
pilot1	117	Picture	20	3182296	0	1	2066	1	0	2000	other	0
pilot1	118	Picture	20	3214594	0	1	2065	1	0	2000	other	0
pilot1	119	Picture	10	3246890	0	1	2065	1	0	2000	other	0
pilot1	120	Picture	20	3271687	0	1	2065	1	0	2000	other	0
pilot1	121	Picture	20	3288984	0	1	2065	1	0	2000	other	0
pilot1	122	Picture	10	3321281	0	1	2065	1	0	2000	other	0
pilot1	123	Picture	20	3338578	0	1	2065	1	0	2000	other	0
pilot1	124	Picture	20	3363374	0	1	2065	1	0	2000	other	0
pilot1	125	Picture	20	3395671	0	1	2065	1	0	2000	other	0
pilot1	126	Picture	10	3427968	0	1	2065	1	0	2000	other	0
pilot1	127	Picture	10	3460265	0	1	2065	1	0	2000	other	0
pilot1	128	Picture	20	3477563	0	1	2065	1	0	2000	other	0
pilot1	129	Picture	10	3502359	0	1	2065	1	0	2000	other	0
pilot1	130	Picture	20	3527156	0	1	2065	1	0	2000	other	0
pilot1	131	Picture	10	3551953	0	1	2065	1	0	2000	other	0
pilot1	132	Picture	20	3569250	0	1	2065	1	0	2000	other	0
pilot1	133	Picture	20	3601547	0	1	2065	1	0	2000	other	0
pilot1	134	Picture	Bfix	3633844	0	1	150065	1	0	150000	other	0
pilot1	135	Picture	10	3784076	0	1	2065	1	0	2000	other	0
pilot1	136	Picture	20	3808873	0	1	2065	1	0	2000	other	0
pilot1	137	Picture	10	3841169	0	1	2065	1	0	2000	other	0
pilot1	138	Picture	20	3873466	0	1	2065	1	0	2000	other	0
pilot1	139	Picture	10	3890763	0	1	2065	1	0	2000	other	0
pilot1	140	Picture	10	3908060	0	1	2065	1	0	2000	other	0
pilot1	141	Picture	20	3932857	0	1	2065	1	0	2000	other	0
pilot1	142	Picture	10	3950153	0	1	2065	1	0	2000	other	0
pilot1	143	Picture	20	3974950	0	1	2065	1	0	2000	other	0
pilot1	144	Picture	20	4007247	0	1	2065	1	0	2000	other	0
pilot1	145	Picture	20	4032044	0	1	2065	1	0	2000	other	0
pilot1	146	Picture	10	4064341	0	1	2065	1	0	2000	other	0
pilot1	147	Picture	20	4096638	0	1	2065	1	0	2000	other	0
pilot1	148	Picture	10	4113934	0	1	2065	1	0	2000	other	0
pilot1	149	Picture	10	4138731	0	1	2065	1	0	2000	other	0
pilot1	150	Picture	20	4156028	0	1	2065	1	0	2000	other	0
pilot1	151	Picture	10	4188325	0	1	2065	1	0	2000	other	0
pilot1	152	Picture	20	4220622	0	1	2065	1	0	2000	other	0
pilot1	153	Picture	10	4245419	0	1	2065	1	0	2000	other	0
