Scenario - loca_visu_version1
Logfile written - 06/01/2018 09:50:56

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

bpilot-04_1	0	Pulse	255	40628	40628	0
bpilot-04_1	1	Picture	Bfix	40696	0	1	50396	1	0	50000	other	0
bpilot-04_1	2	Picture	70	91092	0	1	2065	1	0	2000	other	0
bpilot-04_1	3	Picture	10	103555	0	1	2065	1	0	2000	other	0
bpilot-04_1	4	Picture	70	116018	0	1	2065	1	0	2000	other	0
bpilot-04_1	5	Picture	30	128481	0	1	2065	1	0	2000	other	0
bpilot-04_1	6	Picture	80	141944	0	1	2065	1	0	2000	other	0
bpilot-04_1	6	Response	1	148197	6253	1
bpilot-04_1	7	Picture	60	154407	0	1	2065	1	0	2000	other	0
bpilot-04_1	8	Picture	60	168871	0	1	2065	1	0	2000	other	0
bpilot-04_1	9	Picture	70	182334	0	1	2065	1	0	2000	other	0
bpilot-04_1	10	Picture	70	194797	0	1	2065	1	0	2000	other	0
bpilot-04_1	11	Picture	70	208261	0	1	2065	1	0	2000	other	0
bpilot-04_1	12	Picture	30	220724	0	1	2065	1	0	2000	other	0
bpilot-04_1	13	Picture	10	234188	0	1	2065	1	0	2000	other	0
bpilot-04_1	14	Picture	30	247651	0	1	2065	1	0	2000	other	0
bpilot-04_1	15	Picture	30	262114	0	1	2065	1	0	2000	other	0
bpilot-04_1	16	Picture	70	274578	0	1	2065	1	0	2000	other	0
bpilot-04_1	17	Picture	80	287041	0	1	2065	1	0	2000	other	0
bpilot-04_1	17	Response	1	294076	7035	1
bpilot-04_1	18	Picture	70	301505	0	1	2065	1	0	2000	other	0
bpilot-04_1	19	Picture	10	313968	0	1	2065	1	0	2000	other	0
bpilot-04_1	20	Picture	70	328432	0	1	2065	1	0	2000	other	0
bpilot-04_1	21	Picture	10	341896	0	1	2065	1	0	2000	other	0
bpilot-04_1	22	Picture	60	355359	0	1	2065	1	0	2000	other	0
bpilot-04_1	23	Picture	30	369823	0	1	2065	1	0	2000	other	0
bpilot-04_1	24	Picture	60	384287	0	1	2065	1	0	2000	other	0
bpilot-04_1	25	Picture	10	398750	0	1	2065	1	0	2000	other	0
bpilot-04_1	26	Picture	30	412214	0	1	2065	1	0	2000	other	0
bpilot-04_1	27	Picture	Bfix	424511	0	1	50065	1	0	50000	other	0
bpilot-04_1	28	Picture	60	474909	0	1	2065	1	0	2000	other	0
bpilot-04_1	29	Picture	70	487373	0	1	2065	1	0	2000	other	0
bpilot-04_1	30	Picture	30	501837	0	1	2065	1	0	2000	other	0
bpilot-04_1	31	Picture	10	514300	0	1	2065	1	0	2000	other	0
bpilot-04_1	32	Picture	60	528764	0	1	2065	1	0	2000	other	0
bpilot-04_1	33	Picture	10	541227	0	1	2065	1	0	2000	other	0
bpilot-04_1	34	Picture	60	555691	0	1	2065	1	0	2000	other	0
bpilot-04_1	35	Picture	10	568155	0	1	2065	1	0	2000	other	0
bpilot-04_1	36	Picture	10	581618	0	1	2065	1	0	2000	other	0
bpilot-04_1	37	Picture	10	596082	0	1	2065	1	0	2000	other	0
bpilot-04_1	38	Picture	60	609545	0	1	2065	1	0	2000	other	0
bpilot-04_1	39	Picture	30	623009	0	1	2065	1	0	2000	other	0
bpilot-04_1	40	Picture	80	635472	0	1	2065	1	0	2000	other	0
bpilot-04_1	40	Response	1	640689	5217	1
bpilot-04_1	41	Picture	10	647936	0	1	2065	1	0	2000	other	0
bpilot-04_1	42	Picture	70	662399	0	1	2065	1	0	2000	other	0
bpilot-04_1	43	Picture	10	674863	0	1	2065	1	0	2000	other	0
bpilot-04_1	44	Picture	10	689327	0	1	2065	1	0	2000	other	0
bpilot-04_1	45	Picture	10	701790	0	1	2065	1	0	2000	other	0
bpilot-04_1	46	Picture	60	714254	0	1	2065	1	0	2000	other	0
bpilot-04_1	47	Picture	70	728717	0	1	2065	1	0	2000	other	0
bpilot-04_1	48	Picture	Bfix	741014	0	1	50466	1	0	50000	other	0
bpilot-04_1	49	Picture	10	791480	0	1	2065	1	0	2000	other	0
bpilot-04_1	50	Picture	30	803944	0	1	2065	1	0	2000	other	0
bpilot-04_1	51	Picture	60	818407	0	1	2065	1	0	2000	other	0
bpilot-04_1	52	Picture	60	830871	0	1	2065	1	0	2000	other	0
bpilot-04_1	53	Picture	70	843335	0	1	2065	1	0	2000	other	0
bpilot-04_1	54	Picture	70	857798	0	1	2065	1	0	2000	other	0
bpilot-04_1	55	Picture	30	871261	0	1	2065	1	0	2000	other	0
bpilot-04_1	56	Picture	10	883725	0	1	2065	1	0	2000	other	0
bpilot-04_1	57	Picture	30	896188	0	1	2065	1	0	2000	other	0
bpilot-04_1	58	Picture	30	909652	0	1	2065	1	0	2000	other	0
bpilot-04_1	59	Picture	30	924115	0	1	2065	1	0	2000	other	0
bpilot-04_1	60	Picture	10	938579	0	1	2065	1	0	2000	other	0
bpilot-04_1	61	Picture	30	951042	0	1	2065	1	0	2000	other	0
bpilot-04_1	62	Picture	10	965505	0	1	2065	1	0	2000	other	0
bpilot-04_1	63	Picture	60	977969	0	1	2065	1	0	2000	other	0
bpilot-04_1	64	Picture	60	992266	0	1	2065	1	0	2000	other	0
bpilot-04_1	65	Picture	30	1006729	0	1	2065	1	0	2000	other	0
bpilot-04_1	66	Picture	30	1019192	0	1	2065	1	0	2000	other	0
bpilot-04_1	67	Picture	60	1033656	0	1	2065	1	0	2000	other	0
bpilot-04_1	68	Picture	30	1047119	0	1	2065	1	0	2000	other	0
bpilot-04_1	69	Picture	70	1061582	0	1	2065	1	0	2000	other	0
bpilot-04_1	70	Picture	60	1074046	0	1	2065	1	0	2000	other	0
bpilot-04_1	71	Picture	80	1087509	0	1	2065	1	0	2000	other	0
bpilot-04_1	71	Response	1	1092908	5400	1
bpilot-04_1	72	Picture	60	1099972	0	1	2065	1	0	2000	other	0
bpilot-04_1	73	Picture	10	1112435	0	1	2065	1	0	2000	other	0
bpilot-04_1	74	Picture	30	1125898	0	1	2065	1	0	2000	other	0
bpilot-04_1	75	Picture	60	1138362	0	1	2065	1	0	2000	other	0
bpilot-04_1	76	Picture	70	1152825	0	1	2065	1	0	2000	other	0
bpilot-04_1	77	Picture	30	1165455	0	1	2065	1	0	2000	other	0
bpilot-04_1	78	Picture	10	1177918	0	1	2065	1	0	2000	other	0
bpilot-04_1	79	Picture	Bfix	1192215	0	1	50065	1	0	50000	other	0
bpilot-04_1	80	Picture	10	1242613	0	1	2065	1	0	2000	other	0
bpilot-04_1	81	Picture	30	1255077	0	1	2065	1	0	2000	other	0
bpilot-04_1	82	Picture	60	1269540	0	1	2065	1	0	2000	other	0
bpilot-04_1	83	Picture	70	1281836	0	1	2065	1	0	2000	other	0
bpilot-04_1	84	Picture	70	1294299	0	1	2065	1	0	2000	other	0
bpilot-04_1	85	Picture	30	1307762	0	1	2065	1	0	2000	other	0
bpilot-04_1	86	Picture	70	1321226	0	1	2065	1	0	2000	other	0
bpilot-04_1	87	Picture	10	1335689	0	1	2065	1	0	2000	other	0
bpilot-04_1	88	Picture	60	1348152	0	1	2065	1	0	2000	other	0
bpilot-04_1	89	Picture	30	1361616	0	1	2065	1	0	2000	other	0
bpilot-04_1	90	Picture	60	1375079	0	1	2065	1	0	2000	other	0
bpilot-04_1	91	Picture	70	1387542	0	1	2065	1	0	2000	other	0
bpilot-04_1	92	Picture	60	1401005	0	1	2065	1	0	2000	other	0
bpilot-04_1	93	Picture	30	1414468	0	1	2065	1	0	2000	other	0
bpilot-04_1	94	Picture	60	1427931	0	1	2065	1	0	2000	other	0
bpilot-04_1	95	Picture	70	1440394	0	1	2065	1	0	2000	other	0
bpilot-04_1	96	Picture	60	1454858	0	1	2065	1	0	2000	other	0
bpilot-04_1	97	Picture	70	1468321	0	1	2065	1	0	2000	other	0
bpilot-04_1	98	Picture	70	1482784	0	1	2065	1	0	2000	other	0
bpilot-04_1	99	Picture	60	1497247	0	1	2065	1	0	2000	other	0
bpilot-04_1	100	Picture	Bfix	1509544	0	1	50351	1	0	50000	other	0
bpilot-04_1	101	Picture	60	1559894	0	1	2065	1	0	2000	other	0
bpilot-04_1	102	Picture	70	1574358	0	1	2065	1	0	2000	other	0
bpilot-04_1	103	Picture	70	1587821	0	1	2065	1	0	2000	other	0
bpilot-04_1	104	Picture	10	1600284	0	1	2167	1	0	2000	other	0
bpilot-04_1	105	Picture	80	1614850	0	1	2065	1	0	2000	other	0
bpilot-04_1	105	Response	1	1620517	5667	1
bpilot-04_1	106	Picture	10	1627313	0	1	2065	1	0	2000	other	0
bpilot-04_1	107	Picture	10	1639776	0	1	2065	1	0	2000	other	0
bpilot-04_1	108	Picture	30	1654239	0	1	2065	1	0	2000	other	0
bpilot-04_1	109	Picture	30	1667702	0	1	2065	1	0	2000	other	0
bpilot-04_1	110	Picture	30	1681165	0	1	2065	1	0	2000	other	0
bpilot-04_1	111	Picture	Bfix	1695462	0	1	50468	1	0	50000	other	0
bpilot-04_1	112	Picture	40	1745929	0	1	2065	1	0	2000	other	0
bpilot-04_1	113	Picture	20	1758392	0	1	2065	1	0	2000	other	0
bpilot-04_1	114	Picture	50	1771856	0	1	2065	1	0	2000	other	0
bpilot-04_1	115	Picture	20	1785319	0	1	2065	1	0	2000	other	0
bpilot-04_1	116	Picture	40	1797782	0	1	2065	1	0	2000	other	0
bpilot-04_1	117	Picture	80	1811245	0	1	2065	1	0	2000	other	0
bpilot-04_1	117	Response	1	1816358	5112	1
bpilot-04_1	118	Picture	90	1825708	0	1	2065	1	0	2000	other	0
bpilot-04_1	119	Picture	40	1840171	0	1	2065	1	0	2000	other	0
bpilot-04_1	120	Picture	90	1854635	0	1	2065	1	0	2000	other	0
bpilot-04_1	121	Picture	90	1869098	0	1	2065	1	0	2000	other	0
bpilot-04_1	122	Picture	90	1883561	0	1	2065	1	0	2000	other	0
bpilot-04_1	123	Picture	90	1896024	0	1	2065	1	0	2000	other	0
bpilot-04_1	124	Picture	20	1908487	0	1	2065	1	0	2000	other	0
bpilot-04_1	125	Picture	50	1920950	0	1	2065	1	0	2000	other	0
bpilot-04_1	126	Picture	40	1935413	0	1	2065	1	0	2000	other	0
bpilot-04_1	127	Picture	40	1949877	0	1	2065	1	0	2000	other	0
bpilot-04_1	128	Picture	40	1963340	0	1	2065	1	0	2000	other	0
bpilot-04_1	129	Picture	50	1975803	0	1	2065	1	0	2000	other	0
bpilot-04_1	130	Picture	40	1988266	0	1	2065	1	0	2000	other	0
bpilot-04_1	131	Picture	90	2002729	0	1	2065	1	0	2000	other	0
bpilot-04_1	132	Picture	40	2017192	0	1	2065	1	0	2000	other	0
bpilot-04_1	133	Picture	20	2030655	0	1	2065	1	0	2000	other	0
bpilot-04_1	134	Picture	20	2044119	0	1	2065	1	0	2000	other	0
