Scenario - loca_visu_version1
Logfile written - 04/26/2018 14:40:21

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

pilot1	1	Nothing	cut	10167	0	1			0		other	0
pilot1	1	Nothing	cut	15167	5000	1			5000		other	0
pilot1	1	Nothing	cut	20167	10000	1			10000		other	0
pilot1	1	Pulse	255	22065	11898	0
pilot1	2	Nothing	cut	30167	0	1			0		other	0
pilot1	2	Nothing	cut	35167	5000	1			5000		other	0
pilot1	3	Picture	Bfix	40235	0	1	150429	1	0	150000	other	0
pilot1	4	Picture	70	190664	0	1	20065	1	0	20000	other	0
pilot1	5	Picture	10	221295	0	1	20065	1	0	20000	other	0
pilot1	6	Picture	70	252758	0	1	20065	1	0	20000	other	0
pilot1	7	Picture	30	284555	0	1	20065	1	0	20000	other	0
pilot1	8	Picture	80	316186	0	1	20065	1	0	20000	other	0
pilot1	8	Response	1	322396	6211	1
pilot1	9	Picture	60	347650	0	1	20065	1	0	20000	other	0
pilot1	10	Picture	60	379113	0	1	20065	1	0	20000	other	0
pilot1	11	Picture	70	409577	0	1	20065	1	0	20000	other	0
pilot1	12	Picture	70	442040	0	1	20065	1	0	20000	other	0
pilot1	13	Picture	70	472504	0	1	20065	1	0	20000	other	0
pilot1	14	Picture	30	505135	0	1	20065	1	0	20000	other	0
pilot1	15	Picture	10	536932	0	1	20065	1	0	20000	other	0
pilot1	16	Picture	30	569395	0	1	20065	1	0	20000	other	0
pilot1	17	Picture	30	601026	0	1	20065	1	0	20000	other	0
pilot1	18	Picture	70	632489	0	1	20065	1	0	20000	other	0
pilot1	19	Picture	80	663119	0	1	20065	1	0	20000	other	0
pilot1	19	Response	1	670362	7243	1
pilot1	19	Response	1	682543	19423	1
pilot1	20	Picture	70	693583	0	1	20065	1	0	20000	other	0
pilot1	21	Picture	10	726214	0	1	20065	1	0	20000	other	0
pilot1	22	Picture	70	756677	0	1	20065	1	0	20000	other	0
pilot1	23	Picture	10	787141	0	1	20065	1	0	20000	other	0
pilot1	24	Picture	60	819605	0	1	20065	1	0	20000	other	0
pilot1	25	Picture	30	850402	0	1	20065	1	0	20000	other	0
pilot1	26	Picture	60	881865	0	1	20065	1	0	20000	other	0
pilot1	27	Picture	10	914662	0	1	20065	1	0	20000	other	0
pilot1	28	Picture	30	945293	0	1	20065	1	0	20000	other	0
pilot1	29	Picture	Bfix	975590	0	1	150354	1	0	150000	other	0
pilot1	30	Picture	60	1125944	0	1	20065	1	0	20000	other	0
pilot1	31	Picture	70	1157408	0	1	20065	1	0	20000	other	0
pilot1	32	Picture	30	1188871	0	1	20065	1	0	20000	other	0
pilot1	33	Picture	10	1220502	0	1	20065	1	0	20000	other	0
pilot1	34	Picture	60	1252965	0	1	20065	1	0	20000	other	0
pilot1	35	Picture	10	1283596	0	1	20065	1	0	20000	other	0
pilot1	36	Picture	60	1315059	0	1	20065	1	0	20000	other	0
pilot1	37	Picture	10	1347690	0	1	20065	1	0	20000	other	0
pilot1	38	Picture	10	1380487	0	1	20065	1	0	20000	other	0
pilot1	39	Picture	10	1412117	0	1	20065	1	0	20000	other	0
pilot1	40	Picture	60	1443581	0	1	20065	1	0	20000	other	0
pilot1	41	Picture	30	1476211	0	1	20065	1	0	20000	other	0
pilot1	42	Picture	80	1507842	0	1	20065	1	0	20000	other	0
pilot1	42	Response	1	1514643	6801	1
pilot1	43	Picture	10	1539472	0	1	20065	1	0	20000	other	0
pilot1	44	Picture	70	1570936	0	1	20065	1	0	20000	other	0
pilot1	45	Picture	10	1603566	0	1	20065	1	0	20000	other	0
pilot1	46	Picture	10	1634196	0	1	20065	1	0	20000	other	0
pilot1	47	Picture	10	1666827	0	1	20065	1	0	20000	other	0
pilot1	48	Picture	60	1698290	0	1	20065	1	0	20000	other	0
pilot1	48	Response	1	1713246	14956	1
pilot1	49	Picture	70	1730754	0	1	20065	1	0	20000	other	0
pilot1	50	Picture	Bfix	1761051	0	1	150590	1	0	150000	other	0
pilot1	51	Picture	10	1911641	0	1	20065	1	0	20000	other	0
pilot1	52	Picture	30	1944271	0	1	20065	1	0	20000	other	0
pilot1	53	Picture	60	1975735	0	1	20065	1	0	20000	other	0
pilot1	54	Picture	60	2008198	0	1	20065	1	0	20000	other	0
pilot1	55	Picture	70	2040662	0	1	20065	1	0	20000	other	0
pilot1	56	Picture	70	2072126	0	1	20065	1	0	20000	other	0
pilot1	57	Picture	30	2104756	0	1	20065	1	0	20000	other	0
pilot1	58	Picture	10	2135386	0	1	20065	1	0	20000	other	0
pilot1	59	Picture	30	2166017	0	1	20065	1	0	20000	other	0
pilot1	60	Picture	30	2196647	0	1	20065	1	0	20000	other	0
