Scenario - loca_audi_ts
Logfile written - 11/21/2018 08:58:29

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

training	0	Pulse	255	33679	33679	0
training	1	Nothing	cut	33745	0	1			0		other	0
training	1	Nothing	cut	38745	5000	1			5000		other	0
training	2	Sound	start_sound	73924	30000	21592			30000		other	0
training	2	Nothing	human	95516	51592	1			45000		other	0
training	2	Nothing	human	95516	51592	1			50000		other	0
training	2	Nothing	human	98924	55000	1			55000		other	0
training	2	Nothing	human	103924	60000	1			60000		other	0
training	2	Nothing	human	108924	65000	1			65000		other	0
training	2	Nothing	human	113924	70000	1			70000		other	0
training	2	Nothing	human	118924	75000	1			75000		other	0
training	2	Nothing	human	123924	80000	1			80000		other	0
training	2	Nothing	human	128924	85000	1			85000		other	0
training	2	Nothing	human	133924	90000	1			90000		other	0
training	2	Nothing	human	138924	95000	1			95000		other	0
training	2	Nothing	human	143924	100000	1			100000		other	0
training	2	Nothing	human	148924	105000	1			105000		other	0
training	2	Nothing	human	153924	110000	1			110000		other	0
training	2	Nothing	human	158924	115000	1			115000		other	0
training	2	Nothing	human	163924	120000	1			120000		other	0
training	2	Nothing	human	168924	125000	1			125000		other	0
training	2	Nothing	human	173924	130000	1			130000		other	0
training	2	Nothing	human	178924	135000	1			135000		other	0
training	2	Nothing	human	183924	140000	1			140000		other	0
training	3	Sound	start_sound	245610	30000	2			30000		other	0
training	3	Nothing	music	260610	45000	1			45000		other	0
training	3	Nothing	music	265610	50000	1			50000		other	0
training	3	Nothing	music	270610	55000	1			55000		other	0
training	3	Nothing	music	275610	60000	1			60000		other	0
training	3	Nothing	music	280610	65000	1			65000		other	0
training	3	Nothing	music	285610	70000	1			70000		other	0
training	3	Nothing	music	290610	75000	1			75000		other	0
training	3	Nothing	music	295610	80000	1			80000		other	0
training	3	Nothing	music	300610	85000	1			85000		other	0
training	3	Nothing	music	305610	90000	1			90000		other	0
training	3	Nothing	music	310610	95000	1			95000		other	0
training	3	Nothing	music	315610	100000	1			100000		other	0
training	3	Nothing	music	320610	105000	1			105000		other	0
training	3	Nothing	music	325610	110000	1			110000		other	0
training	3	Nothing	music	330610	115000	1			115000		other	0
training	3	Nothing	music	335610	120000	1			120000		other	0
training	3	Nothing	music	340610	125000	1			125000		other	0
training	3	Nothing	music	345610	130000	1			130000		other	0
training	3	Nothing	music	350610	135000	1			135000		other	0
training	3	Nothing	music	355610	140000	1			140000		other	0
training	4	Sound	start_sound	415900	30000	2			30000		other	0
training	4	Nothing	parol	425900	40000	1			40000		other	0
training	4	Nothing	parol	430900	45000	1			45000		other	0
training	4	Nothing	parol	435900	50000	1			50000		other	0
training	4	Nothing	parol	440900	55000	1			55000		other	0
training	4	Nothing	parol	445900	60000	1			60000		other	0
training	4	Nothing	parol	450900	65000	1			65000		other	0
training	4	Nothing	parol	455900	70000	1			70000		other	0
training	4	Nothing	parol	460900	75000	1			75000		other	0
training	4	Nothing	parol	465900	80000	1			80000		other	0
training	4	Nothing	parol	470900	85000	1			85000		other	0
training	4	Nothing	parol	475900	90000	1			90000		other	0
training	4	Nothing	parol	480900	95000	1			95000		other	0
training	4	Nothing	parol	485900	100000	1			100000		other	0
training	4	Nothing	parol	490900	105000	1			105000		other	0
training	4	Nothing	parol	495900	110000	1			110000		other	0
training	4	Nothing	parol	500900	115000	1			115000		other	0
training	4	Nothing	parol	505900	120000	1			120000		other	0
training	4	Nothing	parol	510900	125000	1			125000		other	0
training	4	Nothing	parol	515900	130000	1			130000		other	0
training	4	Nothing	parol	520900	135000	1			135000		other	0
training	5	Sound	start_sound	581184	30000	2			30000		other	0
training	5	Nothing	yawny	596184	45000	1			45000		other	0
training	5	Nothing	yawny	601184	50000	1			50000		other	0
training	5	Nothing	yawny	606184	55000	1			55000		other	0
training	5	Nothing	yawny	611184	60000	1			60000		other	0
training	5	Nothing	yawny	616184	65000	1			65000		other	0
training	5	Nothing	yawny	621184	70000	1			70000		other	0
training	5	Nothing	yawny	626184	75000	1			75000		other	0
training	5	Nothing	yawny	631184	80000	1			80000		other	0
training	5	Nothing	yawny	636184	85000	1			85000		other	0
training	5	Nothing	yawny	641184	90000	1			90000		other	0
training	5	Nothing	yawny	646184	95000	1			95000		other	0
training	5	Nothing	yawny	651184	100000	1			100000		other	0
training	5	Nothing	yawny	656184	105000	1			105000		other	0
training	5	Nothing	yawny	661184	110000	1			110000		other	0
training	5	Nothing	yawny	666184	115000	1			115000		other	0
training	5	Nothing	yawny	671184	120000	1			120000		other	0
training	5	Nothing	yawny	676184	125000	1			125000		other	0
training	5	Nothing	yawny	681184	130000	1			130000		other	0
training	5	Nothing	yawny	686184	135000	1			135000		other	0
training	5	Nothing	yawny	691184	140000	1			140000		other	0
training	6	Sound	start_sound	751462	30000	2			30000		other	0
training	6	Nothing	rever	766462	45000	1			45000		other	0
training	6	Nothing	rever	771462	50000	1			50000		other	0
training	6	Nothing	rever	776462	55000	1			55000		other	0
training	6	Nothing	rever	781462	60000	1			60000		other	0
training	6	Nothing	rever	786462	65000	1			65000		other	0
training	6	Nothing	rever	791462	70000	1			70000		other	0
training	6	Nothing	rever	796462	75000	1			75000		other	0
training	6	Nothing	rever	801462	80000	1			80000		other	0
training	6	Nothing	rever	806462	85000	1			85000		other	0
training	6	Nothing	rever	811462	90000	1			90000		other	0
training	6	Nothing	rever	816462	95000	1			95000		other	0
training	6	Nothing	rever	821462	100000	1			100000		other	0
training	6	Nothing	rever	826462	105000	1			105000		other	0
training	6	Nothing	rever	831462	110000	1			110000		other	0
training	6	Nothing	rever	836462	115000	1			115000		other	0
training	6	Nothing	rever	841462	120000	1			120000		other	0
training	6	Nothing	rever	846462	125000	1			125000		other	0
training	6	Nothing	rever	851462	130000	1			130000		other	0
training	6	Nothing	rever	856462	135000	1			135000		other	0
training	6	Nothing	rever	861462	140000	1			140000		other	0
training	7	Sound	start_sound	921728	30000	2			30000		other	0
training	7	Nothing	envir	936728	45000	1			45000		other	0
training	7	Nothing	envir	941728	50000	1			50000		other	0
training	7	Nothing	envir	946728	55000	1			55000		other	0
training	7	Nothing	envir	951728	60000	1			60000		other	0
training	7	Nothing	envir	956728	65000	1			65000		other	0
training	7	Nothing	envir	961728	70000	1			70000		other	0
training	7	Nothing	envir	966728	75000	1			75000		other	0
training	7	Nothing	envir	971728	80000	1			80000		other	0
training	7	Nothing	envir	976728	85000	1			85000		other	0
training	7	Nothing	envir	981728	90000	1			90000		other	0
training	7	Nothing	envir	986728	95000	1			95000		other	0
training	7	Nothing	envir	991728	100000	1			100000		other	0
training	7	Nothing	envir	996728	105000	1			105000		other	0
training	7	Nothing	envir	1001728	110000	1			110000		other	0
training	7	Nothing	envir	1006728	115000	1			115000		other	0
training	7	Nothing	envir	1011728	120000	1			120000		other	0
training	7	Nothing	envir	1016728	125000	1			125000		other	0
training	7	Nothing	envir	1021728	130000	1			130000		other	0
training	7	Nothing	envir	1026728	135000	1			135000		other	0
training	7	Nothing	envir	1031728	140000	1			140000		other	0
training	8	Sound	start_sound	1092017	30000	2			30000		other	0
training	8	Nothing	suomi	1107017	45000	1			45000		other	0
training	8	Nothing	suomi	1112017	50000	1			50000		other	0
training	8	Nothing	suomi	1117017	55000	1			55000		other	0
training	8	Nothing	suomi	1122017	60000	1			60000		other	0
training	8	Nothing	suomi	1127017	65000	1			65000		other	0
