Scenario - loca_lec1_ts
Logfile written - 06/26/2018 09:01:22

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	0	Pulse	255	38854	38854	0
	1	Nothing	cut	38924	0	1			0		other	0
	1	Nothing	cut	43924	5000	1			5000		other	0
	1	Nothing	cut	48924	10000	1			10000		other	0
	2	Picture	change_to_25	48987	0	1	25068	1	0	25000	other	0
	3	Picture	20	79088	5000	1	20066	1	5000	20000	miss	0
	4	Picture	20	104186	5000	1	20067	1	5000	20000	miss	0
	5	Picture	20	129284	5000	1	20066	1	5000	20000	miss	0
	6	Picture	20	154381	5000	1	20066	1	5000	20000	miss	0
	7	Picture	20	179479	5000	1	20064	1	5000	20000	miss	0
	8	Picture	change_to_15	199543	0	1	25065	1	0	25000	other	0
	9	Picture	10	229639	5000	1	20066	1	5000	20000	miss	0
	10	Picture	10	254737	5000	1	20066	1	5000	20000	miss	0
	11	Picture	10	279835	5000	1	20066	1	5000	20000	miss	0
	12	Picture	10	304932	5000	1	20065	1	5000	20000	miss	0
	13	Picture	10	330084	5000	1	20065	1	5000	20000	miss	0
	14	Picture	change_to_35	350316	0	1	25066	1	0	25000	other	0
	15	Picture	30	380414	5000	1	20066	1	5000	20000	miss	0
	16	Picture	30	405511	5000	1	20066	1	5000	20000	miss	0
	17	Picture	30	430608	5000	1	20065	1	5000	20000	miss	0
	18	Picture	30	455760	5000	1	20066	1	5000	20000	miss	0
	19	Picture	30	480856	5000	1	26120	1	5000	20000	miss	0
