Scenario - loca_lec1_ts
Logfile written - 06/04/2018 12:42:43

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

pilot-01_1	0	Pulse	255	4782811	4782811	0
pilot-01_1	1	Nothing	cut	4783042	0	1			0		other	0
pilot-01_1	1	Nothing	cut	4788042	5000	1			5000		other	0
pilot-01_1	1	Nothing	cut	4793042	10000	1			10000		other	0
pilot-01_1	2	Picture	change_to_25	4793106	0	1	25077	1	0	25000	other	0
pilot-01_1	3	Picture	20	4823215	5000	1	20065	1	5000	20000	miss	0
pilot-01_1	4	Picture	20	4848508	5000	1	20071	1	5000	20000	miss	0
pilot-01_1	5	Picture	20	4873610	5000	1	20065	1	5000	20000	miss	0
pilot-01_1	6	Picture	20	4898769	5000	1	20065	1	5000	20000	miss	0
pilot-01_1	7	Picture	20	4923926	5000	1	20064	1	5000	20000	miss	0
pilot-01_1	8	Picture	change_to_15	4943989	0	1	25065	1	0	25000	other	0
pilot-01_1	9	Picture	10	4974086	5000	1	20070	1	5000	20000	miss	0
pilot-01_1	10	Picture	10	4999187	5000	1	20070	1	5000	20000	miss	0
pilot-01_1	11	Picture	10	5024289	5000	1	20073	1	5000	20000	miss	0
pilot-01_1	12	Picture	10	5049394	5000	1	20066	1	5000	20000	miss	0
pilot-01_1	13	Picture	10	5074492	5000	1	20065	1	5000	20000	miss	0
pilot-01_1	14	Picture	change_to_35	5094724	0	1	25066	1	0	25000	other	0
pilot-01_1	15	Picture	30	5124821	5000	1	20079	1	5000	20000	miss	0
pilot-01_1	16	Picture	30	5149930	5000	1	20078	1	5000	20000	miss	0
pilot-01_1	17	Picture	30	5175040	5000	1	20070	1	5000	20000	miss	0
pilot-01_1	18	Picture	30	5200142	5000	1	20065	1	5000	20000	miss	0
pilot-01_1	19	Picture	30	5225301	5000	1	26753	1	5000	20000	miss	0
