Scenario - loca_lec1_ts
Logfile written - 06/19/2018 14:40:19

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

sub-07_ts	0	Pulse	255	76524	76524	0
sub-07_ts	1	Nothing	cut	76593	0	1			0		other	0
sub-07_ts	1	Nothing	cut	81593	5000	1			5000		other	0
sub-07_ts	2	Picture	change_to_25	86657	0	1	25076	1	0	25000	other	0
sub-07_ts	3	Picture	20	116765	5000	1	20277	1	5000	20000	miss	0
sub-07_ts	4	Picture	20	142076	5000	1	20070	1	5000	20000	miss	0
sub-07_ts	5	Picture	20	167177	5000	1	20072	1	5000	20000	miss	0
sub-07_ts	6	Picture	20	192281	5000	1	20071	1	5000	20000	miss	0
sub-07_ts	7	Picture	20	217381	5000	1	20064	1	5000	20000	miss	0
sub-07_ts	8	Picture	change_to_15	237445	0	1	25066	1	0	25000	other	0
sub-07_ts	9	Picture	10	267542	5000	1	20068	1	5000	20000	miss	0
sub-07_ts	10	Picture	10	292638	5000	1	20070	1	5000	20000	miss	0
sub-07_ts	11	Picture	10	317739	5000	1	20070	1	5000	20000	miss	0
sub-07_ts	12	Picture	10	342838	5000	1	20066	1	5000	20000	miss	0
sub-07_ts	13	Picture	10	367935	5000	1	20063	1	5000	20000	miss	0
sub-07_ts	14	Picture	change_to_35	387998	0	1	25065	1	0	25000	other	0
sub-07_ts	15	Picture	30	418149	5000	1	20078	1	5000	20000	miss	0
sub-07_ts	16	Picture	30	443259	5000	1	20076	1	5000	20000	miss	0
sub-07_ts	17	Picture	30	468366	5000	1	20070	1	5000	20000	miss	0
sub-07_ts	18	Picture	30	493467	5000	1	20065	1	5000	20000	miss	0
sub-07_ts	19	Picture	30	518625	5000	1	26742	1	5000	20000	miss	0
