Scenario - loca_lec2
Logfile written - 06/04/2018 12:49:25

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

pilot-1_1	0	Pulse	255	21809	21809	0
pilot-1_1	1	Nothing	cut	21876	0	1			0		other	0
pilot-1_1	1	Nothing	cut	26876	5000	1			5000		other	0
pilot-1_1	2	Picture	20	31953	0	1	2065	1	0	2000	other	0
pilot-1_1	3	Picture	10	64250	0	1	2065	1	0	2000	other	0
pilot-1_1	4	Picture	20	96546	0	1	2065	1	0	2000	other	0
pilot-1_1	5	Picture	10	113842	0	1	2065	1	0	2000	other	0
pilot-1_1	6	Picture	20	138639	0	1	2065	1	0	2000	other	0
pilot-1_1	7	Picture	10	163435	0	1	2065	1	0	2000	other	0
pilot-1_1	8	Picture	20	195731	0	1	2065	1	0	2000	other	0
pilot-1_1	9	Picture	20	213028	0	1	2065	1	0	2000	other	0
pilot-1_1	10	Picture	20	230325	0	1	2220	1	0	2000	other	0
pilot-1_1	11	Picture	10	255277	0	1	2065	1	0	2000	other	0
pilot-1_1	12	Picture	10	287573	0	1	2065	1	0	2000	other	0
pilot-1_1	13	Picture	20	304870	0	1	2065	1	0	2000	other	0
pilot-1_1	14	Picture	20	337167	0	1	2065	1	0	2000	other	0
pilot-1_1	15	Picture	10	361964	0	1	2065	1	0	2000	other	0
pilot-1_1	16	Picture	20	394261	0	1	2065	1	0	2000	other	0
pilot-1_1	17	Picture	20	419058	0	1	2065	1	0	2000	other	0
pilot-1_1	18	Picture	20	436354	0	1	2065	1	0	2000	other	0
pilot-1_1	19	Picture	10	468651	0	1	2065	1	0	2000	other	0
pilot-1_1	20	Picture	20	493448	0	1	2065	1	0	2000	other	0
pilot-1_1	21	Picture	20	510745	0	1	2065	1	0	2000	other	0
pilot-1_1	22	Picture	10	543042	0	1	2065	1	0	2000	other	0
pilot-1_1	23	Picture	20	567839	0	1	2065	1	0	2000	other	0
pilot-1_1	24	Picture	20	592636	0	1	2065	1	0	2000	other	0
pilot-1_1	25	Picture	10	609933	0	1	2065	1	0	2000	other	0
pilot-1_1	26	Picture	20	642230	0	1	2065	1	0	2000	other	0
pilot-1_1	27	Picture	10	667027	0	1	2065	1	0	2000	other	0
pilot-1_1	28	Picture	10	699324	0	1	2065	1	0	2000	other	0
pilot-1_1	29	Picture	10	716620	0	1	2065	1	0	2000	other	0
pilot-1_1	30	Picture	10	733917	0	1	2065	1	0	2000	other	0
pilot-1_1	31	Picture	20	766214	0	1	2065	1	0	2000	other	0
pilot-1_1	32	Picture	20	798511	0	1	2065	1	0	2000	other	0
pilot-1_1	33	Picture	10	815808	0	1	2065	1	0	2000	other	0
pilot-1_1	34	Picture	10	840605	0	1	2065	1	0	2000	other	0
pilot-1_1	35	Picture	20	872902	0	1	2065	1	0	2000	other	0
pilot-1_1	36	Picture	20	897699	0	1	2065	1	0	2000	other	0
pilot-1_1	37	Picture	20	922496	0	1	2065	1	0	2000	other	0
pilot-1_1	38	Picture	20	939792	0	1	2065	1	0	2000	other	0
pilot-1_1	39	Picture	10	964589	0	1	2065	1	0	2000	other	0
pilot-1_1	40	Picture	10	989386	0	1	2065	1	0	2000	other	0
pilot-1_1	41	Picture	10	1006683	0	1	2065	1	0	2000	other	0
pilot-1_1	42	Picture	10	1031480	0	1	2065	1	0	2000	other	0
pilot-1_1	43	Picture	20	1063776	0	1	2065	1	0	2000	other	0
pilot-1_1	44	Picture	20	1096073	0	1	2065	1	0	2000	other	0
pilot-1_1	45	Picture	10	1120870	0	1	2065	1	0	2000	other	0
pilot-1_1	46	Picture	20	1153167	0	1	2065	1	0	2000	other	0
pilot-1_1	47	Picture	20	1170463	0	1	2065	1	0	2000	other	0
pilot-1_1	48	Picture	20	1187760	0	1	2065	1	0	2000	other	0
pilot-1_1	49	Picture	20	1212556	0	1	2065	1	0	2000	other	0
pilot-1_1	50	Picture	10	1229853	0	1	2065	1	0	2000	other	0
pilot-1_1	51	Picture	10	1254650	0	1	2065	1	0	2000	other	0
pilot-1_1	52	Picture	10	1279446	0	1	2065	1	0	2000	other	0
pilot-1_1	53	Picture	10	1311743	0	1	2220	1	0	2000	other	0
pilot-1_1	54	Picture	20	1344195	0	1	2065	1	0	2000	other	0
pilot-1_1	55	Picture	10	1368991	0	1	2065	1	0	2000	other	0
pilot-1_1	56	Picture	10	1393787	0	1	2065	1	0	2000	other	0
pilot-1_1	57	Picture	10	1418584	0	1	2065	1	0	2000	other	0
pilot-1_1	58	Picture	20	1435880	0	1	2065	1	0	2000	other	0
pilot-1_1	59	Picture	10	1468177	0	1	2089	1	0	2000	other	0
pilot-1_1	60	Picture	10	1492998	0	1	2065	1	0	2000	other	0
pilot-1_1	61	Picture	10	1510294	0	1	2065	1	0	2000	other	0
pilot-1_1	62	Picture	20	1535090	0	1	2065	1	0	2000	other	0
pilot-1_1	63	Picture	20	1567387	0	1	2065	1	0	2000	other	0
pilot-1_1	64	Picture	20	1599683	0	1	2065	1	0	2000	other	0
pilot-1_1	65	Picture	20	1624480	0	1	2065	1	0	2000	other	0
pilot-1_1	66	Picture	10	1656776	0	1	2065	1	0	2000	other	0
pilot-1_1	67	Picture	10	1674078	0	1	2065	1	0	2000	other	0
pilot-1_1	68	Picture	20	1698875	0	1	2065	1	0	2000	other	0
pilot-1_1	69	Picture	10	1716171	0	1	2065	1	0	2000	other	0
pilot-1_1	70	Picture	10	1733467	0	1	2065	1	0	2000	other	0
pilot-1_1	71	Picture	10	1765763	0	1	2065	1	0	2000	other	0
pilot-1_1	72	Picture	20	1798060	0	1	2065	1	0	2000	other	0
pilot-1_1	73	Picture	20	1822856	0	1	2065	1	0	2000	other	0
pilot-1_1	74	Picture	20	1855153	0	1	2065	1	0	2000	other	0
pilot-1_1	75	Picture	10	1872449	0	1	2065	1	0	2000	other	0
pilot-1_1	76	Picture	10	1897245	0	1	2065	1	0	2000	other	0
