Scenario - loca_lec2
Logfile written - 11/21/2018 09:06:43

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

training	0	Pulse	255	39433	39433	0
training	1	Nothing	cut	39501	0	1			0		other	0
training	1	Nothing	cut	44501	5000	1			5000		other	0
training	2	Picture	20	49601	0	1	2065	1	0	2000	other	0
training	3	Picture	10	61898	0	1	2167	1	0	2000	other	0
training	4	Picture	20	73297	0	1	2065	1	0	2000	other	0
training	5	Picture	10	86594	0	1	2065	1	0	2000	other	0
training	6	Picture	20	98891	0	1	2065	1	0	2000	other	0
training	7	Picture	10	111188	0	1	2065	1	0	2000	other	0
training	8	Picture	20	124485	0	1	2065	1	0	2000	other	0
training	9	Picture	20	137782	0	1	2065	1	0	2000	other	0
training	10	Picture	20	150079	0	1	2065	1	0	2000	other	0
training	11	Picture	10	163376	0	1	2065	1	0	2000	other	0
training	12	Picture	10	176673	0	1	2065	1	0	2000	other	0
training	13	Picture	20	187970	0	1	2065	1	0	2000	other	0
training	14	Picture	20	201267	0	1	2065	1	0	2000	other	0
training	15	Picture	10	214564	0	1	2065	1	0	2000	other	0
training	16	Picture	20	225861	0	1	2065	1	0	2000	other	0
training	17	Picture	20	237158	0	1	2065	1	0	2000	other	0
training	18	Picture	20	250455	0	1	2065	1	0	2000	other	0
training	19	Picture	10	263753	0	1	2065	1	0	2000	other	0
training	20	Picture	20	275050	0	1	2065	1	0	2000	other	0
training	21	Picture	20	287347	0	1	2065	1	0	2000	other	0
training	22	Picture	10	300643	0	1	2065	1	0	2000	other	0
training	23	Picture	20	312940	0	1	2065	1	0	2000	other	0
training	24	Picture	20	324237	0	1	2065	1	0	2000	other	0
training	25	Picture	10	337535	0	1	2065	1	0	2000	other	0
training	26	Picture	20	348832	0	1	2065	1	0	2000	other	0
training	27	Picture	10	360129	0	1	2065	1	0	2000	other	0
training	28	Picture	10	372426	0	1	2065	1	0	2000	other	0
training	29	Picture	10	385723	0	1	2065	1	0	2000	other	0
training	30	Picture	10	397020	0	1	2065	1	0	2000	other	0
training	31	Picture	20	410317	0	1	2065	1	0	2000	other	0
training	32	Picture	20	423614	0	1	2065	1	0	2000	other	0
training	33	Picture	10	435911	0	1	2065	1	0	2000	other	0
training	34	Picture	10	447208	0	1	2065	1	0	2000	other	0
training	35	Picture	20	459505	0	1	2065	1	0	2000	other	0
training	36	Picture	20	472802	0	1	2065	1	0	2000	other	0
training	37	Picture	20	486099	0	1	2065	1	0	2000	other	0
training	38	Picture	20	499396	0	1	2065	1	0	2000	other	0
training	39	Picture	10	511693	0	1	2065	1	0	2000	other	0
training	40	Picture	10	524990	0	1	2065	1	0	2000	other	0
training	41	Picture	10	537287	0	1	2167	1	0	2000	other	0
training	42	Picture	10	550687	0	1	2065	1	0	2000	other	0
training	43	Picture	20	563984	0	1	2065	1	0	2000	other	0
training	44	Picture	20	576281	0	1	2065	1	0	2000	other	0
training	45	Picture	10	588578	0	1	2065	1	0	2000	other	0
training	46	Picture	20	601875	0	1	2065	1	0	2000	other	0
training	47	Picture	20	615172	0	1	2066	1	0	2000	other	0
training	48	Picture	20	627469	0	1	2065	1	0	2000	other	0
training	49	Picture	20	639766	0	1	2065	1	0	2000	other	0
training	50	Picture	10	653063	0	1	2065	1	0	2000	other	0
training	51	Picture	10	664370	0	1	2065	1	0	2000	other	0
training	52	Picture	10	677667	0	1	2065	1	0	2000	other	0
training	53	Picture	10	688964	0	1	2066	1	0	2000	other	0
training	54	Picture	20	701262	0	1	2065	1	0	2000	other	0
training	55	Picture	10	713559	0	1	2065	1	0	2000	other	0
training	56	Picture	10	726856	0	1	2065	1	0	2000	other	0
training	57	Picture	10	739153	0	1	2065	1	0	2000	other	0
training	58	Picture	20	750450	0	1	2065	1	0	2000	other	0
training	59	Picture	10	763747	0	1	2065	1	0	2000	other	0
training	60	Picture	10	776044	0	1	2065	1	0	2000	other	0
training	61	Picture	10	787341	0	1	2065	1	0	2000	other	0
training	62	Picture	20	800638	0	1	2065	1	0	2000	other	0
training	63	Picture	20	813935	0	1	2065	2	0	2000	other	0
training	64	Picture	20	826232	0	1	2065	1	0	2000	other	0
training	65	Picture	20	838529	0	1	2065	1	0	2000	other	0
training	66	Picture	10	851827	0	1	2065	1	0	2000	other	0
training	67	Picture	10	864124	0	1	2065	1	0	2000	other	0
training	68	Picture	20	877421	0	1	2065	1	0	2000	other	0
training	69	Picture	10	889718	0	1	2065	1	0	2000	other	0
training	70	Picture	10	901015	0	1	2065	1	0	2000	other	0
training	71	Picture	10	912312	0	1	2065	1	0	2000	other	0
training	72	Picture	20	923609	0	1	2065	1	0	2000	other	0
training	73	Picture	20	934906	0	1	2065	1	0	2000	other	0
training	74	Picture	20	946203	0	1	2065	1	0	2000	other	0
training	75	Picture	10	958500	0	1	2065	1	0	2000	other	0
training	76	Picture	10	971797	0	1	2065	1	0	2000	other	0
training	77	Picture	20	983094	0	1	2065	1	0	2000	other	0
training	78	Picture	20	994391	0	1	2065	1	0	2000	other	0
training	79	Picture	20	1005688	0	1	2065	1	0	2000	other	0
training	80	Picture	20	1018985	0	1	2065	1	0	2000	other	0
training	81	Picture	10	1032282	0	1	2065	1	0	2000	other	0
training	82	Picture	20	1044579	0	1	2065	1	0	2000	other	0
training	83	Picture	10	1056876	0	1	2065	1	0	2000	other	0
training	84	Picture	20	1069173	0	1	2065	1	0	2000	other	0
training	85	Picture	10	1082470	0	1	2065	1	0	2000	other	0
training	86	Picture	20	1095767	0	1	2065	1	0	2000	other	0
training	87	Picture	10	1107064	0	1	2065	1	0	2000	other	0
training	88	Picture	20	1118361	0	1	2065	1	0	2000	other	0
training	89	Picture	10	1129658	0	1	2065	1	0	2000	other	0
training	90	Picture	20	1142955	0	1	2065	1	0	2000	other	0
training	91	Picture	20	1156252	0	1	2065	1	0	2000	other	0
training	92	Picture	20	1169549	0	1	2065	1	0	2000	other	0
training	93	Picture	10	1181846	0	1	2065	1	0	2000	other	0
training	94	Picture	10	1195143	0	1	2065	1	0	2000	other	0
training	95	Picture	20	1207440	0	1	2065	1	0	2000	other	0
training	96	Picture	20	1218737	0	1	2065	1	0	2000	other	0
training	97	Picture	10	1231034	0	1	2065	1	0	2000	other	0
training	98	Picture	20	1243331	0	1	2065	1	0	2000	other	0
training	99	Picture	10	1254628	0	1	2065	1	0	2000	other	0
training	100	Picture	10	1267925	0	1	2065	1	0	2000	other	0
training	101	Picture	10	1281222	0	1	2065	1	0	2000	other	0
training	102	Picture	20	1294519	0	1	2065	1	0	2000	other	0
training	103	Picture	10	1307817	0	1	2065	1	0	2000	other	0
training	104	Picture	10	1320114	0	1	2065	1	0	2000	other	0
training	105	Picture	20	1332411	0	1	2065	1	0	2000	other	0
training	106	Picture	20	1343707	0	1	2065	1	0	2000	other	0
training	107	Picture	10	1357004	0	1	2065	1	0	2000	other	0
training	108	Picture	10	1369302	0	1	2065	1	0	2000	other	0
training	109	Picture	10	1381599	0	1	2065	1	0	2000	other	0
training	110	Picture	20	1393896	0	1	2065	1	0	2000	other	0
training	111	Picture	10	1405193	0	1	2065	1	0	2000	other	0
training	112	Picture	20	1418490	0	1	2065	1	0	2000	other	0
training	113	Picture	20	1431787	0	1	2065	1	0	2000	other	0
training	114	Picture	10	1445084	0	1	2065	1	0	2000	other	0
training	115	Picture	20	1458381	0	1	2065	1	0	2000	other	0
training	116	Picture	10	1469678	0	1	2065	1	0	2000	other	0
training	117	Picture	20	1482975	0	1	2065	1	0	2000	other	0
training	118	Picture	20	1496272	0	1	2065	1	0	2000	other	0
training	119	Picture	10	1508569	0	1	2065	1	0	2000	other	0
training	120	Picture	20	1520866	0	1	2065	1	0	2000	other	0
training	121	Picture	10	1532163	0	1	2066	1	0	2000	other	0
training	122	Picture	10	1545461	0	1	2065	1	0	2000	other	0
training	123	Picture	10	1556758	0	1	2065	1	0	2000	other	0
training	124	Picture	20	1568056	0	1	2065	1	0	2000	other	0
training	125	Picture	20	1581353	0	1	2065	1	0	2000	other	0
training	126	Picture	20	1592650	0	1	2065	1	0	2000	other	0
training	127	Picture	10	1605947	0	1	2065	1	0	2000	other	0
training	128	Picture	10	1617244	0	1	2065	1	0	2000	other	0
training	129	Picture	10	1629541	0	1	2065	1	0	2000	other	0
training	130	Picture	10	1642838	0	1	2065	1	0	2000	other	0
training	131	Picture	20	1654135	0	1	2065	1	0	2000	other	0
training	132	Picture	20	1667432	0	1	2065	1	0	2000	other	0
training	133	Picture	20	1678729	0	1	2065	1	0	2000	other	0
