Scenario - loca_visu_version1_ts
Logfile written - 06/04/2018 12:54:21

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

pilot-1_1	0	Pulse	255	17405	17405	0
pilot-1_1	1	Nothing	cut	17471	0	1			0		other	0
pilot-1_1	1	Nothing	cut	22471	5000	1			5000		other	0
pilot-1_1	2	Picture	70	27602	0	1	2065	1	0	2000	other	0
pilot-1_1	3	Picture	10	41065	0	1	2065	1	0	2000	other	0
pilot-1_1	4	Picture	70	54361	0	1	2065	1	0	2000	other	0
pilot-1_1	5	Picture	10	66824	0	1	2065	1	0	2000	other	0
pilot-1_1	6	Picture	80	81287	0	1	2065	1	0	2000	other	0
pilot-1_1	7	Picture	30	93750	0	1	2065	1	0	2000	other	0
pilot-1_1	8	Picture	10	106212	0	1	2065	1	0	2000	other	0
pilot-1_1	9	Picture	30	120675	0	1	2065	1	0	2000	other	0
pilot-1_1	10	Picture	10	133138	0	1	2065	1	0	2000	other	0
pilot-1_1	11	Picture	60	145433	0	1	2065	1	0	2000	other	0
pilot-1_1	12	Picture	60	157729	0	1	2065	1	0	2000	other	0
pilot-1_1	13	Picture	70	170025	0	1	2065	1	0	2000	other	0
pilot-1_1	14	Picture	70	184321	0	1	2065	1	0	2000	other	0
pilot-1_1	15	Picture	10	197784	0	1	2065	1	0	2000	other	0
pilot-1_1	16	Picture	80	211247	0	1	2065	1	0	2000	other	0
pilot-1_1	17	Picture	80	224710	0	1	2065	1	0	2000	other	0
pilot-1_1	18	Picture	70	237005	0	1	2065	1	0	2000	other	0
pilot-1_1	19	Picture	30	251468	0	1	2065	1	0	2000	other	0
pilot-1_1	20	Picture	10	263931	0	1	2065	1	0	2000	other	0
pilot-1_1	21	Picture	60	277227	0	1	2065	1	0	2000	other	0
pilot-1_1	22	Picture	60	290523	0	1	2065	1	0	2000	other	0
pilot-1_1	23	Picture	30	304987	0	1	2065	1	0	2000	other	0
pilot-1_1	24	Picture	60	318283	0	1	2065	1	0	2000	other	0
pilot-1_1	25	Picture	10	330747	0	1	2065	1	0	2000	other	0
pilot-1_1	26	Picture	30	343210	0	1	2065	1	0	2000	other	0
