line,island,space,time,reference_ns,cue,distance,event_ns_1,correct_answer,event_ns_2,correct_answer,event_ns_3,correct_answer,event_ns_4,correct_aswer
14,sn,north,present,les_feux_follets_sallument,sud_ou_nord,far,fumee_observee,south,procession_terminee,south,discussions_tranquilles,north,commerce_local,north
19,sn,south,present,dolmens_sous_la_pluie,avant_ou_apres,close,roseaux_pour_offices,after,oiseaux_pour_augures,after,bain_purificateur,before,position_des_astres,before
5,sn,center,present,le_grand_pretre_observe,sud_ou_nord,close,roseaux_pour_offices,north,discussions_tranquilles,south,bain_purificateur,north,commerce_local,south
20,sn,south,present,dolmens_sous_la_pluie,avant_ou_apres,far,arret_pour_manger,after,arc_en_ciel_observe,before,vivres_charges,before,retour_au_foyer,after
9,sn,center,future,second_rituel,sud_ou_nord,close,esprit_du_marais,south,roseaux_pour_offices,north,arret_pour_manger,north,discussions_tranquilles,south
1,sn,center,past,premier_rituel,sud_ou_nord,close,bain_purificateur,north,commerce_local,south,arc_en_ciel_observe,north,priere_aux_morts,south
15,sn,north,present,les_feux_follets_sallument,avant_ou_apres,close,construction_de_radeaux,after,commerce_local,before,discussions_tranquilles,after,onguent_contre_parasite,before
2,sn,center,past,premier_rituel,sud_ou_nord,far,fumee_observee,south,vivres_charges,north,position_des_astres,north,onguent_contre_parasite,south
17,sn,south,present,dolmens_sous_la_pluie,sud_ou_nord,close,position_des_astres,north,arret_pour_manger,south,arc_en_ciel_observe,south,oiseaux_pour_augures,north
8,sn,center,present,le_grand_pretre_observe,avant_ou_apres,far,roseaux_pour_offices,after,commerce_local,before,bain_purificateur,before,discussions_tranquilles,after
4,sn,center,past,premier_rituel,avant_ou_apres,far,fumee_observee,before,position_des_astres,after,onguent_contre_parasite,after,vivres_charges,before
10,sn,center,future,second_rituel,sud_ou_nord,far,oiseaux_pour_augures,north,construction_de_radeaux,south,procession_terminee,south,retour_au_foyer,north
11,sn,center,future,second_rituel,avant_ou_apres,close,discussions_tranquilles,before,esprit_du_marais,after,arret_pour_manger,after,roseaux_pour_offices,before
3,sn,center,past,premier_rituel,avant_ou_apres,close,priere_aux_morts,before,commerce_local,after,bain_purificateur,after,arc_en_ciel_observe,before
16,sn,north,present,les_feux_follets_sallument,avant_ou_apres,far,fumee_observee,before,priere_aux_morts,before,procession_terminee,after,esprit_du_marais,after
18,sn,south,present,dolmens_sous_la_pluie,sud_ou_nord,far,bain_purificateur,south,vivres_charges,north,roseaux_pour_offices,south,retour_au_foyer,north
7,sn,center,present,le_grand_pretre_observe,avant_ou_apres,close,position_des_astres,before,construction_de_radeaux,after,oiseaux_pour_augures,after,onguent_contre_parasite,before
13,sn,north,present,les_feux_follets_sallument,sud_ou_nord,close,priere_aux_morts,north,construction_de_radeaux,south,onguent_contre_parasite,south,esprit_du_marais,north
6,sn,center,present,le_grand_pretre_observe,sud_ou_nord,far,arret_pour_manger,north,esprit_du_marais,south,priere_aux_morts,south,arc_en_ciel_observe,north
12,sn,center,future,second_rituel,avant_ou_apres,far,oiseaux_pour_augures,before,construction_de_radeaux,before,procession_terminee,after,retour_au_foyer,after
