line,island,space,time,reference_we,cue,distance,event_we_1,correct_answer,event_we_2,correct_answer,event_we_3,correct_answer,event_we_4,correct_answer
1,we,center,past,premiere_rencontre,avant_ou_apres,close,maladie_inconnue,before,perte_de_nourriture,after,peche_de_poisson,before,decouverte_de_fer,after
2,we,center,past,premiere_rencontre,avant_ou_apres,far,accostage_falaise,before,provision_deau,after,arrivee_sur_la_plage,before,traces_danimaux,after
3,we,center,past,premiere_rencontre,ouest_ou_est,close,maladie_inconnue,west,perte_de_nourriture,east,peche_de_poisson,east,decouverte_de_fer,west
4,we,center,past,premiere_rencontre,ouest_ou_est,far,accostage_falaise,west,provision_deau,east,arrivee_sur_la_plage,east,traces_danimaux,west
5,we,center,present,lermite_observe,avant_ou_apres,close,provision_deau,before,attaque_crocodile,after,traces_danimaux,before,pommade_anti_moustique,after
6,we,center,present,lermite_observe,avant_ou_apres,far,perte_de_nourriture,before,eboulis_contournes,after,decouverte_de_fer,before,analyse_de_la_roche,after
7,we,center,present,lermite_observe,ouest_ou_est,close,perte_de_nourriture,east,eboulis_contournes,east,decouverte_de_fer,west,analyse_de_la_roche,west
8,we,center,present,lermite_observe,ouest_ou_est,far,maladie_inconnue,west,peche_de_poisson,east,soiree_musicale,west,lavage_des_vetements,east
9,we,center,future,seconde_rencontre,avant_ou_apres,close,eboulis_contournes,before,soiree_musicale,after,analyse_de_la_roche,before,lavage_des_vetements,after
10,we,center,future,seconde_rencontre,avant_ou_apres,far,attaque_crocodile,before,recifs_evites,after,pommade_anti_moustique,before,minerai_embarque,after
11,we,center,future,seconde_rencontre,ouest_ou_est,close,eboulis_contournes,east,soiree_musicale,west,analyse_de_la_roche,west,lavage_des_vetements,east
12,we,center,future,seconde_rencontre,ouest_ou_est,far,attaque_crocodile,east,recifs_evites,west,pommade_anti_moustique,west,minerai_embarque,east
13,we,east,present,debit_reduit,avant_ou_apres,close,attaque_crocodile,after,provision_deau,before,perte_de_nourriture,before,eboulis_contournes,after
14,we,east,present,debit_reduit,avant_ou_apres,far,minerai_embarque,after,lavage_des_vetements,after,peche_de_poisson,before,arrivee_sur_la_plage,before
15,we,east,present,debit_reduit,ouest_ou_est,close,provision_deau,east,attaque_crocodile,east,peche_de_poisson,west,lavage_des_vetements,west
16,we,east,present,debit_reduit,ouest_ou_est,far,perte_de_nourriture,west,eboulis_contournes,west,arrivee_sur_la_plage,east,minerai_embarque,east
17,we,west,present,les_animaux_broutent,avant_ou_apres,close,pommade_anti_moustique,after,traces_danimaux,before,analyse_de_la_roche,after,decouverte_de_fer,before
18,we,west,present,les_animaux_broutent,avant_ou_apres,far,recifs_evites,after,soiree_musicale,after,accostage_falaise,before,maladie_inconnue,before
19,we,west,present,les_animaux_broutent,ouest_ou_est,close,maladie_inconnue,east,soiree_musicale,east,traces_danimaux,west,pommade_anti_moustique,west
20,we,west,present,les_animaux_broutent,ouest_ou_est,far,accostage_falaise,west,recifs_evites,west,decouverte_de_fer,east,analyse_de_la_roche,east
