line,island,space,time,reference_ns,cue,distance,event_ns_1,correct_answer,event_ns_2,correct_answer,event_ns_3,correct_answer,event_ns_4,correct_aswer
15,sn,north,present,les_feux_follets_sallument,avant_ou_apres,close,commerce_local,before,onguent_contre_parasite,before,construction_de_radeaux,after,discussions_tranquilles,after
2,sn,center,past,premier_rituel,sud_ou_nord,far,fumee_observee,south,onguent_contre_parasite,south,position_des_astres,north,vivres_charges,north
14,sn,north,present,les_feux_follets_sallument,sud_ou_nord,far,fumee_observee,south,commerce_local,north,procession_terminee,south,discussions_tranquilles,north
7,sn,center,present,le_grand_pretre_observe,avant_ou_apres,close,position_des_astres,before,construction_de_radeaux,after,oiseaux_pour_augures,after,onguent_contre_parasite,before
16,sn,north,present,les_feux_follets_sallument,avant_ou_apres,far,fumee_observee,before,esprit_du_marais,after,procession_terminee,after,priere_aux_morts,before
6,sn,center,present,le_grand_pretre_observe,sud_ou_nord,far,priere_aux_morts,south,esprit_du_marais,south,arc_en_ciel_observe,north,arret_pour_manger,north
3,sn,center,past,premier_rituel,avant_ou_apres,close,bain_purificateur,after,priere_aux_morts,before,commerce_local,after,arc_en_ciel_observe,before
10,sn,center,future,second_rituel,sud_ou_nord,far,retour_au_foyer,north,procession_terminee,south,construction_de_radeaux,south,oiseaux_pour_augures,north
19,sn,south,present,dolmens_sous_la_pluie,avant_ou_apres,close,bain_purificateur,before,oiseaux_pour_augures,after,position_des_astres,before,roseaux_pour_offices,after
17,sn,south,present,dolmens_sous_la_pluie,sud_ou_nord,close,arc_en_ciel_observe,south,position_des_astres,north,arret_pour_manger,south,oiseaux_pour_augures,north
1,sn,center,past,premier_rituel,sud_ou_nord,close,priere_aux_morts,south,commerce_local,south,arc_en_ciel_observe,north,bain_purificateur,north
8,sn,center,present,le_grand_pretre_observe,avant_ou_apres,far,commerce_local,before,roseaux_pour_offices,after,bain_purificateur,before,discussions_tranquilles,after
13,sn,north,present,les_feux_follets_sallument,sud_ou_nord,close,onguent_contre_parasite,south,esprit_du_marais,north,priere_aux_morts,north,construction_de_radeaux,south
11,sn,center,future,second_rituel,avant_ou_apres,close,esprit_du_marais,after,roseaux_pour_offices,before,arret_pour_manger,after,discussions_tranquilles,before
12,sn,center,future,second_rituel,avant_ou_apres,far,oiseaux_pour_augures,before,retour_au_foyer,after,construction_de_radeaux,before,procession_terminee,after
18,sn,south,present,dolmens_sous_la_pluie,sud_ou_nord,far,retour_au_foyer,north,roseaux_pour_offices,south,vivres_charges,north,bain_purificateur,south
20,sn,south,present,dolmens_sous_la_pluie,avant_ou_apres,far,arret_pour_manger,after,arc_en_ciel_observe,before,retour_au_foyer,after,vivres_charges,before
9,sn,center,future,second_rituel,sud_ou_nord,close,discussions_tranquilles,south,roseaux_pour_offices,north,esprit_du_marais,south,arret_pour_manger,north
5,sn,center,present,le_grand_pretre_observe,sud_ou_nord,close,bain_purificateur,north,commerce_local,south,discussions_tranquilles,south,roseaux_pour_offices,north
4,sn,center,past,premier_rituel,avant_ou_apres,far,position_des_astres,after,fumee_observee,before,onguent_contre_parasite,after,vivres_charges,before
