line,island,space,time,reference_we,cue,distance,event_we_1,correct_answer,event_we_2,correct_answer,event_we_3,correct_answer,event_we_4,correct_answer
9,we,center,future,seconde_rencontre,avant_ou_apres,close,lavage_des_vetements,after,eboulis_contournes,before,analyse_de_la_roche,before,soiree_musicale,after
6,we,center,present,lermite_observe,avant_ou_apres,far,decouverte_de_fer,before,eboulis_contournes,after,perte_de_nourriture,before,analyse_de_la_roche,after
20,we,west,present,les_animaux_broutent,ouest_ou_est,far,recifs_evites,west,decouverte_de_fer,east,analyse_de_la_roche,east,accostage_falaise,west
11,we,center,future,seconde_rencontre,ouest_ou_est,close,lavage_des_vetements,east,eboulis_contournes,east,soiree_musicale,west,analyse_de_la_roche,west
7,we,center,present,lermite_observe,ouest_ou_est,close,decouverte_de_fer,west,analyse_de_la_roche,west,perte_de_nourriture,east,eboulis_contournes,east
8,we,center,present,lermite_observe,ouest_ou_est,far,soiree_musicale,west,peche_de_poisson,east,maladie_inconnue,west,lavage_des_vetements,east
17,we,west,present,les_animaux_broutent,avant_ou_apres,close,analyse_de_la_roche,after,decouverte_de_fer,before,traces_danimaux,before,pommade_anti_moustique,after
4,we,center,past,premiere_rencontre,ouest_ou_est,far,provision_deau,east,traces_danimaux,west,accostage_falaise,west,arrivee_sur_la_plage,east
18,we,west,present,les_animaux_broutent,avant_ou_apres,far,accostage_falaise,before,soiree_musicale,after,recifs_evites,after,maladie_inconnue,before
15,we,east,present,debit_reduit,ouest_ou_est,close,provision_deau,east,peche_de_poisson,west,attaque_crocodile,east,lavage_des_vetements,west
16,we,east,present,debit_reduit,ouest_ou_est,far,arrivee_sur_la_plage,east,perte_de_nourriture,west,eboulis_contournes,west,minerai_embarque,east
3,we,center,past,premiere_rencontre,ouest_ou_est,close,perte_de_nourriture,east,peche_de_poisson,east,maladie_inconnue,west,decouverte_de_fer,west
2,we,center,past,premiere_rencontre,avant_ou_apres,far,traces_danimaux,after,accostage_falaise,before,arrivee_sur_la_plage,before,provision_deau,after
13,we,east,present,debit_reduit,avant_ou_apres,close,eboulis_contournes,after,perte_de_nourriture,before,provision_deau,before,attaque_crocodile,after
19,we,west,present,les_animaux_broutent,ouest_ou_est,close,traces_danimaux,west,soiree_musicale,east,maladie_inconnue,east,pommade_anti_moustique,west
12,we,center,future,seconde_rencontre,ouest_ou_est,far,minerai_embarque,east,recifs_evites,west,pommade_anti_moustique,west,attaque_crocodile,east
1,we,center,past,premiere_rencontre,avant_ou_apres,close,maladie_inconnue,before,perte_de_nourriture,after,decouverte_de_fer,after,peche_de_poisson,before
14,we,east,present,debit_reduit,avant_ou_apres,far,arrivee_sur_la_plage,before,minerai_embarque,after,peche_de_poisson,before,lavage_des_vetements,after
5,we,center,present,lermite_observe,avant_ou_apres,close,provision_deau,before,attaque_crocodile,after,traces_danimaux,before,pommade_anti_moustique,after
10,we,center,future,seconde_rencontre,avant_ou_apres,far,attaque_crocodile,before,pommade_anti_moustique,before,minerai_embarque,after,recifs_evites,after
