line,island,space,time,reference_ns,cue,distance,event_ns_1,correct_answer,event_ns_2,correct_answer,event_ns_3,correct_answer,event_ns_4,correct_answer
1,sn,center,present,le_grand_pretre_observe,sud_ou_nord,close,discussions_tranquilles,south,roseaux_pour_offices,north,commerce_local,south,bain_purificateur,north
2,sn,center,present,le_grand_pretre_observe,avant_ou_apres,far,discussions_tranquilles,after,roseaux_pour_offices,after,commerce_local,before,bain_purificateur,before
3,sn,center,past,premier_rituel,avant_ou_apres,close,priere_aux_morts,before,bain_purificateur,after,arc_en_ciel_observe,before,commerce_local,after
4,sn,center,past,premier_rituel,sud_ou_nord,far,fumee_observee,south,position_des_astres,north,vivres_charges,north,onguent_contre_parasite,south
5,sn,north,present,les_feux_follets_sallument,sud_ou_nord,close,priere_aux_morts,north,onguent_contre_parasite,south,construction_de_radeaux,south,esprit_du_marais,north
6,sn,north,present,les_feux_follets_sallument,avant_ou_apres,far,fumee_observee,before,procession_terminee,after,priere_aux_morts,before,esprit_du_marais,after
7,sn,center,future,second_rituel,avant_ou_apres,close,roseaux_pour_offices,before,esprit_du_marais,after,discussions_tranquilles,before,arret_pour_manger,after
8,sn,center,future,second_rituel,sud_ou_nord,far,oiseaux_pour_augures,north,procession_terminee,south,construction_de_radeaux,south,retour_au_foyer,north
9,sn,south,present,dolmens_sous_la_pluie,sud_ou_nord,close,arret_pour_manger,south,position_des_astres,north,oiseaux_pour_augures,north,arc_en_ciel_observe,south
10,sn,south,present,dolmens_sous_la_pluie,avant_ou_apres,far,arret_pour_manger,after,arc_en_ciel_observe,before,vivres_charges,before,retour_au_foyer,after
