condition,item,pair,syntax,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
pseudoword_list,1,301,pseudoword_list,Jueur,renipe,du,aupismant,chauger,cra,dosaté,les,en,les.,aupismant,douhavion
pseudoword_list,2,302,pseudoword_list,Apilé,ansémour,la,son,en,cena,dictinre,ramame,dans,une.,cena,roubile
pseudoword_list,3,303,pseudoword_list,En,ailéte,a,arciblait,nourait,penjutait,hutu,platileur,le,en.,hutu,égage
pseudoword_list,4,304,pseudoword_list,Rhique,la,à,viocus,en,reléceste,jataude,un,conrocitait,mexe.,viocus,étèque
pseudoword_list,5,305,pseudoword_list,A,rilons,chersion,vigé,calos,merteur,une,en,pourplivait,le.,pourplivait,guge
pseudoword_list,6,306,pseudoword_list,En,onard,lanche,les,de,capait,le,carêtait,tortroute,detentaient.,onard,avultame
pseudoword_list,7,307,pseudoword_list,A,resernez,amire,acrule,quitritre,réusi,sevele,la,en,Kela.,acrule,essence
pseudoword_list,8,308,pseudoword_list,La,doupira,vece,sa,pour,marruges,le,revertuels,réteaux,cloîte.,revertuels,nobiles
pseudoword_list,9,309,pseudoword_list,Diesse,gaurisez,homnice,a,horque,sudras,losé,verle,le,grinnait.,horque,cieu
pseudoword_list,10,310,pseudoword_list,Noreilte,culanté,élivetre,en,le,coutit,cette,resader,les,dec.,coutit,carate
pseudoword_list,11,311,pseudoword_list,La,cetrés,comla,permonvre,das,sa,rélares,merrait,pour,filla.,merrait,vilsismiquer
pseudoword_list,12,312,pseudoword_list,A,coci,diamerant,touné,usintemarre,princoures,en,aglise,une,le.,princoures,bélait
pseudoword_list,13,313,pseudoword_list,Ce,a,gosru,détare,en,tuisait,inchis,élitais,che,la.,che,chauster
pseudoword_list,14,314,pseudoword_list,Le,de,cerse,olait,a,idéfin,en,plaila,la,effervais.,cerse,garnait
pseudoword_list,15,315,pseudoword_list,La,le,les,acluque,montivoyons,déveiltions,ventier,aptinard,dans,ent.,montivoyons,chopiliers
pseudoword_list,16,316,pseudoword_list,Scort,en,formin,cette,sertasions,resque,iterdre,guersenre,arpiger,les.,guersenre,devidé
pseudoword_list,17,317,pseudoword_list,Du,penné,pouverre,le,en,calouces,abac,vécamait,rassitemps,le.,calouces,piergeaient
pseudoword_list,18,318,pseudoword_list,Aptisé,le,vohui,ce,uvant,plaché,a,morif,en,âner.,plaché,demième
pseudoword_list,19,319,pseudoword_list,Moutant,a,ma,imain,oudénait,la,pour,ce,sanlé,rescée.,imain,ahui
pseudoword_list,20,320,pseudoword_list,Heute,auméreau,utrare,en,cet,la,êras,rédiosiles,une,sprouffle.,sprouffle,agage
pseudoword_list,21,321,pseudoword_list,Apsivoir,saché,de,évatés,apesent,ma,vive,en,surreilme,le.,apesent,tacespect
pseudoword_list,22,322,pseudoword_list,Placodi,les,pinée,aux,unait,des,toirais,aquilmame,îmit,amacoutes.,toirais,inclairrer
pseudoword_list,23,323,pseudoword_list,Un,tasa,un,peule,aptaplire,ronche,en,briste,lupare,a.,peule,versi
pseudoword_list,24,324,pseudoword_list,Conchici,percialota,a,d'un,sinracte,cettatalien,le,en,le,clotte.,percialota,parde
pseudoword_list,25,325,pseudoword_list,Le,le,ouge,la,restiple,et,mitir,parieure,dans,fembler.,mitir,probatsait
pseudoword_list,26,326,pseudoword_list,Voeurs,condorre,le,depuis,scrouave,sombe,scotion,que,terites,les.,scrouave,choracule
pseudoword_list,27,327,pseudoword_list,Pipore,le,uile,fidire,nanlions,que,le,abite,piais,surre.,uile,profinail
pseudoword_list,28,328,pseudoword_list,Les,biltetéle,concé,déverme,penquiler,très,réfaibre,les,que,sodote.,réfaibre,fétitres
pseudoword_list,29,329,pseudoword_list,Qui,reuil,fisande,dérare,la,a,un,honsulcire,carbas,pesque.,fisande,ler
pseudoword_list,30,330,pseudoword_list,Quarton,les,que,pourténue,atrir,soumons,loude,amarer,les,solie.,soumons,hommis
pseudoword_list,31,331,pseudoword_list,A,le,fonsie,le,intéteuils,mantramier,encaine,parcoucher,preligal,que.,encaine,touder
pseudoword_list,32,332,pseudoword_list,Clougue,défélene,que,delacoup,ieu,les,ilaient,asiclair,les,suptiler.,suptiler,muve
pseudoword_list,33,333,pseudoword_list,Que,le,couqua,mounue,longlontes,sous,aptildille,femparsons,les,ont.,couqua,sermenfie
pseudoword_list,34,334,pseudoword_list,Car,vilégea,les,ichecer,auliloir,épalez,au,égrases,ensiler,parciéte.,parciéte,partétaché
pseudoword_list,35,335,pseudoword_list,Pabarbres,les,et,êté,capédain,opmu,la,itait,l'une,suiveme.,opmu,tange
pseudoword_list,36,336,pseudoword_list,Parfort,une,checririni,le,lention,que,asnus,du,dès,chanfontat.,chanfontat,trimmellui
pseudoword_list,37,337,pseudoword_list,Détivices,que,faitisonsard,grincoulon,le,gropains,depime,agetisprès,macitrer,sonque.,depime,aumablir
