condition,item,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
jabberwocky,1,Les,voutotermes,chertontent, aux,vésociençais,et,les,rénétaits,poufreuraint,ousismennus.,vésociençais,gousiveux
jabberwocky,2,Cette,siveutit,tentadre,jourtons,l'Agna,ôcun,et,l'Utour,Davemeugea,schuille.,ôcun,ennelon
jabberwocky,3,Le,cholourai,s'extenput,sur,le,lecterte,et,le,ainchisonre,peinir.,cholourait,mabams
jabberwocky,4,Le,gonge,travtant,recrotit,et,la,vêpel,de,Luie,s'écrilées.,recrotit,suichoir
jabberwocky,5,La,reverne,a,lipilors,le,prect,de,Mondanu,en,inditée.,lipilors,remoisait
jabberwocky,6,La,faimeterde,s'étidait,en,cersomprit,une,éterve,dans,son,luc.,éterve,gaupétuble
jabberwocky,7,Le,reux,a,feuve,d'irmancer,cette,vetaient,bontrérireux,d'irir,varc.,vetaient,sounet
jabberwocky,8,Le,impauban,a,reproticé,ce,regi,élougneur,en,l'estochant,défuna.,reproticé,poutréde
jabberwocky,9,Le,raituce,monfie,à,fingogue,phrieur,que,le,siré,ciciéra.,monfie,terfiche
jabberwocky,10,La,lâtre,se,mailice,au,chanfaitif,bavre,le,rodi,bral.,chanfaitif,férétéma
jabberwocky,11,Le,cerreau,miètre,pencilté,que,le,donté,cera,vamis,fistatre.,vamis,cassanconder
jabberwocky,12,Les,hédarés,jaut,macerreux,larisent,détuce,que,les,marvanles,couliment.,marvanles,léferte
