line,condition,item,pair,syntax,probe_type,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,probe_word
48,pseudoword_list,55,355,pseudoword_list,word_absent,A,moutore,rentant,sucirieur,mouporver,le,retaigne,éprense,le,et.,gidete
19,complex_sentence,21,21,SubjRel,word_absent,La,moto,qui,double,le,scooter,s'engage,rapidement,dans,l’allée.,marché
30,word_list,46,446,word_list,word_present,Cornu,mesurer,de,la,s'assoupit,accède,mordu,dément,plier,le.,mordu
47,pseudoword_list,18,318,pseudoword_list,word_absent,Aptisé,le,vohui,ce,uvant,plaché,a,morif,en,âner.,demième
10,complex_sentence,23,23,SubjRel,word_present,Les,filles,très,actives,qui,embêtent,gentiment,les,garçons,s'amusent.,gentiment
16,complex_sentence,33,33,SubjRel,word_absent,Le,spectateur,qui,adore,le,chant,de,la,belle,s'émerveille.,écureuil
11,complex_sentence,26,26,SubjRel,word_present,Les,bars,branchés,qui,ont,remplacé,les,anciens,restaurants,prospèrent.,bars
46,pseudoword_list,60,360,pseudoword_list,word_absent,Loinreurs,me,ruislonre,convis,insmentre,le,et,âbit,un,est.,asuche
25,jabberwocky,16,216,cvp,word_absent,Cette,crielle,palstricante,touprève,l'agaripsic,ratoige,en,diliputant,les,sounés.,almetait
9,simple_sentence,20,20,cVP,word_absent,Le,patient,a,salué,le,médecin,d'un,regard,en,passant.,vides
5,simple_sentence,38,38,adj,word_absent,Une,voiture,est,arrivée,quand,un,chamois,traversait,la,route.,parle
15,complex_sentence,44,44,ObjRel,word_absent,Le,comédien,que,le,public,ému,a,applaudi,était,excellent.,verbeux
55,consonant_strings,6,1006,consonant_strings,word_absent,Kml,ssssspr,nvcsflrk,sqwjbrcrxm,cg,rwpndjvw,snz,qpmjrdwntntm,bt,spm.,lcrqr
41,pseudoword_list,37,337,pseudoword_list,word_present,Détivices,que,faitisonsard,grincoulon,le,gropains,depime,agetisprès,macitrer,sonque.,depime
