«Êtes-vous?»,0,instructions,0,Exercice:,0,0, ,E7
préoccupé,negative,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,0,E7
furieux,negative,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,0,E7
discipliné,positive,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,0,E7
aventureux,positive,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,0,E7
impopulaire,negative,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,0,E7
vicieux,negative,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,0,E7
«Gad est-il?»,0,instructions,0,Exercice:,0,0, ,E1
soucieux,positive,encoding,other,'Gad est-il?’,OUI(gauche)            NON(droite),0,0,E7
digne,positive,encoding,other,'Gad est-il?’,OUI(gauche)            NON(droite),0,0,E7
direct,positive,encoding,other,'Gad est-il?’,OUI(gauche)            NON(droite),0,0,E7
important,positive,encoding,other,'Gad est-il?’,OUI(gauche)            NON(droite),0,0,E7
intransigeant,negative,encoding,other,'Gad est-il?’,OUI(gauche)            NON(droite),0,0,E7
fou,negative,encoding,other,'Gad est-il?’,OUI(gauche)            NON(droite),0,0,E7
+,0,rest_pre,0,0,0,0,0,E7-R7
«Avez-vous vu?»,0,instructions,0,Exercice:,0,0, ,R7
aventureux,positive,recognition,self,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,2,R7
important,positive,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,2,R7
intransigeant,negative,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,2,R7
candide,positive,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,4,R7
fiable,positive,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,4,R7
délicat,positive,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,4,R7
furieux,negative,recognition,self,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,2,R7
discipliné,positive,recognition,self,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,2,R7
fou,negative,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,2,R7
susceptible,negative,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,4,R7
vicieux,negative,recognition,self,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,2,R7
crispé,negative,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,4,R7
raisonnable,positive,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,4,R7
brusque,neutral,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,4,R7
impopulaire,negative,recognition,self,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,2,R7
futile,negative,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,4,R7
impressionnant,positive,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,4,R7
soucieux,positive,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,2,R7
digne,positive,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,2,R7
doué,positive,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,4,R7
direct,positive,recognition,other,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,2,R7
démodé,neutral,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,4,R7
préoccupé,negative,recognition,self,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,2,R7
ingrat,negative,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,4,R7
+,0,rest_post,0,0,0,0,0,R7-E8
«Êtes-vous?»,0,instructions,0,Exercice:,0,0, ,E8
excentrique,positive,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,0,E8
généreux,positive,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,0,E8
spontané,positive,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,0,E8
persuasif,neutral,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,0,E8
expressif,positive,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,0,E8
gourmand,negative,encoding,self,'Êtes-vous?’,OUI(gauche)            NON(droite),0,0,E8
«Gad est-il?»,0,instructions,0,Exercice:,0,0, ,E8
radical,neutral,encoding,other,'Gad est-il?’,OUI(gauche)            NON(droite),0,0,E8
gai,positive,encoding,other,'Gad est-il?’,OUI(gauche)            NON(droite),0,0,E8
patient,positive,encoding,other,'Gad est-il?’,OUI(gauche)            NON(droite),0,0,E8
hypocrite,negative,encoding,other,'Gad est-il?’,OUI(gauche)            NON(droite),0,0,E8
sage,positive,encoding,other,'Gad est-il?’,OUI(gauche)            NON(droite),0,0,E8
touch-à-tout,negative,encoding,other,'Gad est-il?’,OUI(gauche)            NON(droite),0,0,E8
+,0,rest_pre,0,0,0,0,0,E8-R8
«Avez-vous vu?»,0,instructions,0,Exercice:,0,0, ,R8
gourmand,negative,recognition,self,'Avez-vous vu?’,OUI(gauche)            NON(droite),old,2,R8
jovial,positive,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,4,R8
dépensier,negative,recognition,0,'Avez-vous vu?’,OUI(gauche)            NON(droite),new,4,R8
