Number,88
Initials,[]
Gender,[]
Age,[]
Data type,Time,sPos (x),sPos (y), sPos(z),View Angle,jPos (x),jPos (z)
POSITION,0.039238,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.060503,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.076477,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.093124,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.110059,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.126717,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.143103,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.160662,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.176637,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.194188,0.000,1.800,-0.000,90.000,0.000,-0.000
EVENT,0.210100,Test started
EVENT,0.212063,Start displaying intro screen
POSITION,0.328018,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.387477,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.451956,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.534823,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.602313,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.668623,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.734836,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.804652,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.878268,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.944439,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.016216,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.083071,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.148408,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.214111,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.280868,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.347864,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.414802,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.480503,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,1.547936,0.000,1.800,-0.000,90.000,0.000,-0.000
