Trial,Condition,Location,Direction,Target,Response_Angle,Right_Angle,Error_Angle,Accuracy,Travel_Onset,Crosshair_Onset,Response_Time,RT,ITI_Onset,ITI_Duration
1,2,2,3,0,214.448,207.599,-6.849,1,1.523954,7.144067,10.120759,2.976692,10.121794,2.437539
1,1,3,1,0,177.932,23.97,-153.962,None,194.413038,199.772355,199.831556,0.059201,199.835628,2.636574
2,1,2,0,0,74.712,1.098,-73.614,None,203.702383,208.710706,209.089648,0.378942,209.093723,1.668567
3,1,0,2,0,251.599,42.779,151.18,None,212.023438,216.728643,217.993720,1.265077,217.999188,2.385105
4,1,0,0,1,72.393,230.29,157.897,None,221.589287,226.525713,227.738999,1.213286,227.742776,2.544752
5,1,3,0,1,87.519,267.238,179.719,None,231.534349,237.052059,237.824254,0.772195,237.828090,3.386290
6,1,1,1,1,185.802,242.143,56.341,None,242.422772,247.746433,249.113997,1.367564,249.117797,4.279973
7,1,0,0,0,72.393,42.779,-29.614,None,254.678734,260.154988,266.249684,6.094696,266.254301,3.938568
8,1,0,3,1,341.687,230.29,-111.397,None,271.493159,276.128849,277.945894,1.817045,277.950823,4.468887
9,2,0,0,3,72.393,128.161,55.768,0,283.612215,289.070350,292.021551,2.951201,292.023214,3.705489
9,2,3,2,0,266.607,225.759,-40.848,0,296.973308,302.174776,303.114848,0.940072,303.117782,4.970782
9,2,3,0,2,87.519,41.458,-46.061,0,309.279484,314.867752,321.464033,6.596281,321.465377,2.389394
9,2,1,2,2,273.702,48.517,134.814,0,325.004471,329.880744,331.264343,1.383599,331.267439,1.824318
