Number,999
Initials,[]
Gender,[]
Age,[]
Data type,Time,sPos (x),sPos (y), sPos(z),View Angle,jPos (x),jPos (z)
POSITION,0.025353,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.031329,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.049990,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.065661,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.083245,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.100451,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.117225,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.133879,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.150535,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.167220,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.184138,0.000,1.800,-0.000,90.000,0.000,-0.000
POSITION,0.200569,0.000,1.800,-0.000,90.000,0.000,-0.000
EVENT,0.222311,Test started
EVENT,0.223579,Start displaying intro screen
EVENT,0.232719,"['Starting control trial', '[3, 2, 1]']"
EVENT,0.233348,"['Setting viewpoint position to', '[-4.174, 0.146, -29.425]']"
EVENT,0.233787,Rotating to intersection center
POSITION,0.382898,-4.174,1.946,-29.425,90.000,0.000,-0.000
EVENT,0.475884,"['Displaying control cue to target', '31']"
POSITION,0.476770,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.567368,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.645599,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.721200,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.793878,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.870769,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,0.957266,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.038670,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.121603,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.201095,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.276424,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.361566,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.448319,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.525531,-4.174,1.946,-29.425,183.393,0.000,-0.000
EVENT,1.526240,"['Moving subject to center of intersection', '[-24.126, 0.172, -30.608]']"
POSITION,1.602959,-4.174,1.946,-29.425,183.393,0.000,-0.000
POSITION,1.678657,-4.552,1.946,-29.447,183.393,0.000,-0.000
POSITION,1.759163,-4.952,1.947,-29.471,183.393,0.000,-0.000
POSITION,1.839579,-5.355,1.948,-29.495,183.393,0.000,-0.000
POSITION,1.914205,-5.727,1.948,-29.517,183.393,0.000,-0.000
POSITION,1.994042,-6.125,1.949,-29.541,183.393,0.000,-0.000
POSITION,2.070787,-6.506,1.949,-29.563,183.393,0.000,-0.000
POSITION,2.152853,-6.916,1.950,-29.588,183.393,0.000,-0.000
POSITION,2.235287,-7.328,1.950,-29.612,183.393,0.000,-0.000
POSITION,2.310966,-7.706,1.951,-29.634,183.393,0.000,-0.000
POSITION,2.392990,-8.114,1.951,-29.659,183.393,0.000,-0.000
POSITION,2.485116,-8.574,1.952,-29.686,183.393,0.000,-0.000
POSITION,2.561782,-8.957,1.952,-29.709,183.393,0.000,-0.000
POSITION,2.641587,-9.354,1.953,-29.732,183.393,0.000,-0.000
POSITION,2.726675,-9.780,1.953,-29.757,183.393,0.000,-0.000
POSITION,2.800590,-10.148,1.954,-29.779,183.393,0.000,-0.000
POSITION,2.881301,-10.548,1.954,-29.803,183.393,0.000,-0.000
POSITION,2.964511,-10.964,1.955,-29.828,183.393,0.000,-0.000
POSITION,3.041316,-11.349,1.955,-29.850,183.393,0.000,-0.000
POSITION,3.116147,-11.721,1.956,-29.872,183.393,0.000,-0.000
POSITION,3.197068,-12.126,1.956,-29.896,183.393,0.000,-0.000
POSITION,3.280879,-12.543,1.957,-29.921,183.393,0.000,-0.000
POSITION,3.355429,-12.915,1.957,-29.943,183.393,0.000,-0.000
POSITION,3.437835,-13.327,1.958,-29.968,183.393,0.000,-0.000
POSITION,3.512184,-13.697,1.958,-29.990,183.393,0.000,-0.000
POSITION,3.603130,-14.150,1.959,-30.017,183.393,0.000,-0.000
POSITION,3.691198,-14.591,1.960,-30.043,183.393,0.000,-0.000
POSITION,3.763631,-14.952,1.960,-30.064,183.393,0.000,-0.000
POSITION,3.840861,-15.336,1.961,-30.087,183.393,0.000,-0.000
POSITION,3.924778,-15.755,1.961,-30.112,183.393,0.000,-0.000
POSITION,4.000126,-16.131,1.962,-30.134,183.393,0.000,-0.000
POSITION,4.071050,-16.485,1.962,-30.155,183.393,0.000,-0.000
